
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2019-01-01;32.227,93;4923828682281;34.026,78;3362643625257;34.566,98;5669012276906;32.932,96;519133428840;31.335,02;879956500720;31.561,62;7394990860634
2019-01-02;32.256,28;4928236471013;34.048,58;3364343197824;34.598,36;5676956244670;32.972,57;523319903773;31.363,92;880647220848;31.596,81;7397045988838
2019-01-03;32.354,37;4942731416953;34.147,47;3372838247166;34.696,10;5691770705353;33.051,29;524856184172;31.446,61;883500159618;31.693,23;7415904775790
2019-01-04;32.403,70;4949569766879;34.200,69;3377902342071;34.756,01;5705046364606;33.100,98;525995096494;31.496,54;884916274298;31.733,75;7427565856720
2019-01-05;32.403,70;4949569766879;34.200,69;3377902342071;34.756,01;5705046364606;33.100,98;525995096494;31.496,54;884916274298;31.733,75;7427565856720
2019-01-06;32.403,70;4949569766879;34.200,69;3377902342071;34.756,01;5705046364606;33.100,98;525995096494;31.496,54;884916274298;31.733,75;7427565856720
2019-01-07;32.471,77;4959583995424;34.266,34;3385729314943;34.813,33;5714790191709;33.163,83;527404640529;31.556,88;886562646017;31.814,02;7447581486492
2019-01-08;32.420,39;4951816734730;34.206,45;3380100777158;34.756,15;5705397636386;33.125,17;527279969253;31.505,75;884849431056;31.752,94;7433747957706
2019-01-09;32.513,87;4966585779060;34.301,98;3390295352667;34.852,93;5723356076049;33.204,40;528673396059;31.602,70;887121252878;31.850,22;7451216303658
2019-01-10;32.536,38;4969922668858;34.320,05;3390266328633;34.883,47;5723610124136;33.239,85;529278942567;31.635,81;887918600340;31.877,97;7454387435066
2019-01-11;32.533,59;4957672879895;34.319,58;3391566485734;34.871,58;5719252716145;33.235,60;529704138597;31.635,90;887429544437;31.870,85;7449500997992
2019-01-12;32.533,59;4957672879895;34.319,58;3391566485734;34.871,58;5719252716145;33.235,60;529704138597;31.635,90;887429544437;31.870,85;7449500997992
2019-01-13;32.533,59;4957672879895;34.319,58;3391566485734;34.871,58;5719252716145;33.235,60;529704138597;31.635,90;887429544437;31.870,85;7449500997992
2019-01-14;32.537,86;4960009625110;34.320,04;3387196453728;34.878,92;5717041270554;33.240,04;530901324515;31.633,96;884433540315;31.875,95;7449688681016
2019-01-15;32.531,41;4964594476778;34.317,77;3387162511283;34.869,84;5722464444758;33.231,87;532939463508;31.627,03;886587058127;31.871,01;7443596422231
