
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-02-10;20.680,21;2709249748582;20.793,77;2430713041803;20.737,55;3350423389870;20.590,97;285580198322;20.342,68;3468309377577
2010-02-11;20.645,62;2703600966947;20.790,45;2427735022925;20.715,86;3345730421181;20.585,84;285526541865;20.328,46;3465906226950
2010-02-12;20.703,55;2711771124038;20.843,32;2435907440978;20.784,40;3357047476150;20.658,49;286603595638;20.397,21;3477490456691
2010-02-13;20.703,55;2711771124038;20.843,32;2435907440978;20.784,40;3357047476150;20.658,49;286603595638;20.397,21;3477490456691
2010-02-14;20.703,55;2711771124038;20.843,32;2435907440978;20.784,40;3357047476150;20.658,49;286603595638;20.397,21;3477490456691
2010-02-15;20.645,58;2710614352372;20.818,76;2439360169166;20.749,42;3358517833994;20.638,76;284424917997;20.360,25;3481204988915
2010-02-16;20.601,08;2707227919919;20.804,98;2439223566365;20.725,13;3358986141389;20.634,26;286678851689;20.342,79;3478608190529
2010-02-17;20.765,65;2730509307958;20.950,70;2457929775452;20.900,60;3390780696045;20.773,15;288814336581;20.501,24;3507746894833
2010-02-18;20.916,72;2751734129203;21.109,29;2476987920310;21.052,12;3416172664769;20.926,25;291164389247;20.651,26;3535953012781
2010-02-19;21.018,34;2765706554491;21.180,34;2485530131027;21.131,89;3429708586144;20.982,10;291979974389;20.723,56;3548420278882
2010-02-20;21.018,34;2765706554491;21.180,34;2485530131027;21.131,89;3429708586144;20.982,10;291979974389;20.723,56;3548420278882
2010-02-21;21.018,34;2765706554491;21.180,34;2485530131027;21.131,89;3429708586144;20.982,10;291979974389;20.723,56;3548420278882
2010-02-22;20.996,63;2763741818342;21.153,57;2482418187446;21.102,74;3425872104363;20.955,48;291650233612;20.701,73;3545422732228
2010-02-23;20.996,59;2764333537370;21.176,51;2485753608202;21.128,13;3430089201323;20.979,18;292047223938;20.712,99;3548007653856
2010-02-24;20.881,85;2749471561944;21.079,08;2474413795741;21.012,15;3411344025978;20.886,84;290808009883;20.607,50;3529938087642
2010-02-25;20.896,73;2751845916039;21.066,74;2473081850837;21.015,39;3412132589259;20.881,34;290767793318;20.613,73;3531453781735
2010-02-26;20.786,56;2730831890290;20.957,26;2460407124259;20.901,57;3385333864166;20.788,08;288137030008;20.505,27;3513844087854
2010-02-27;20.786,56;2730831890290;20.957,26;2460407124259;20.901,57;3385333864166;20.788,08;288137030008;20.505,27;3513844087854
2010-02-28;20.786,56;2730831890290;20.957,26;2460407124259;20.901,57;3385333864166;20.788,08;288137030008;20.505,27;3513844087854
2010-03-01;20.885,13;2742386289788;21.064,30;2475119851177;21.007,98;3401948176835;20.880,82;287960584358;20.605,76;3530611911723
2010-03-02;20.927,98;2748362983935;21.117,57;2481165588652;21.052,36;3409336377080;20.921,15;288562833215;20.648,39;3526013937945
2010-03-03;21.010,98;2759239879383;21.223,64;2493786498737;21.167,25;3427980522334;21.021,88;291165943827;20.740,56;3541608483986
2010-03-04;20.975,95;2754417034795;21.220,50;2492764372623;21.159,49;3426458101693;21.034,35;291331027970;20.724,71;3538899823035
2010-03-05;20.941,23;2750148142249;21.180,13;2486040284115;21.121,40;3419411099424;21.009,49;291115514235;20.681,34;3531317613676
2010-03-06;20.941,23;2750148142249;21.180,13;2486040284115;21.121,40;3419411099424;21.009,49;291115514235;20.681,34;3531317613676
2010-03-07;20.941,23;2750148142249;21.180,13;2486040284115;21.121,40;3419411099424;21.009,49;291115514235;20.681,34;3531317613676
2010-03-08;21.046,35;2763203770205;21.281,66;2496623953906;21.232,09;3435722091929;21.099,67;292378875008;20.776,60;3547336183347
2010-03-09;21.100,24;2769337781187;21.352,99;2503751172986;21.302,37;3446675414496;21.177,92;293471343625;20.849,02;3559252014896
2010-03-10;21.165,63;2778427980100;21.374,21;2506077719474;21.351,73;3454743152920;21.220,44;294053630427;20.901,50;3568363860271
2010-03-11;21.276,54;2793473433962;21.472,55;2516727690303;21.467,36;3472997480934;21.317,20;295459541516;21.007,09;3585670464771
2010-03-12;21.376,08;2807128566742;21.554,45;2526917254934;21.559,35;3490772987478;21.382,45;296445297545;21.091,41;3600800112587
2010-03-13;21.376,08;2807128566742;21.554,45;2526917254934;21.559,35;3490772987478;21.382,45;296445297545;21.091,41;3600800112587
2010-03-14;21.376,08;2807128566742;21.554,45;2526917254934;21.559,35;3490772987478;21.382,45;296445297545;21.091,41;3600800112587
2010-03-15;21.331,10;2811158722174;21.525,60;2527604650134;21.539,58;3496780945311;21.369,22;295086020065;21.054,69;3603123495334
2010-03-16;21.245,84;2801667980295;21.435,74;2518393582097;21.451,37;3485298075039;21.286,18;295875037811;20.975,39;3589643910941
2010-03-17;21.389,05;2822313268468;21.568,46;2534402546773;21.602,96;3513313270622;21.414,75;298022768489;21.110,09;3614906255062
2010-03-18;21.568,72;2847830697009;21.756,83;2557850379277;21.782,24;3543976776494;21.564,05;300277028797;21.284,47;3648594302060
2010-03-19;21.497,80;2838776899162;21.703,71;2551376168916;21.709,24;3533744437162;21.503,69;299536470522;21.235,38;3641100240182
2010-03-20;21.497,80;2838776899162;21.703,71;2551376168916;21.709,24;3533744437162;21.503,69;299536470522;21.235,38;3641100240182
2010-03-21;21.497,80;2838776899162;21.703,71;2551376168916;21.709,24;3533744437162;21.503,69;299536470522;21.235,38;3641100240182
2010-03-22;21.452,30;2833201253989;21.654,43;2545473955617;21.643,71;3523002430635;21.444,89;298795650032;21.178,90;3632081484265
2010-03-23;21.478,40;2836785253900;21.649,85;2545931687379;21.666,64;3527293792092;21.455,81;298892611454;21.203,82;3636721721836
2010-03-24;21.551,36;2846886371817;21.725,01;2555732961481;21.739,06;3539416885612;21.517,14;299776841221;21.276,32;3648991955988
2010-03-25;21.509,48;2841088917453;21.703,04;2552611952098;21.686,00;3531290118139;21.471,92;299057325111;21.225,29;3640724045959
2010-03-26;21.482,31;2837857410915;21.680,70;2549928216171;21.654,45;3526382906480;21.447,57;298735470238;21.196,09;3636417441090
2010-03-27;21.482,31;2837857410915;21.680,70;2549928216171;21.654,45;3526382906480;21.447,57;298735470238;21.196,09;3636417441090
2010-03-28;21.482,31;2837857410915;21.680,70;2549928216171;21.654,45;3526382906480;21.447,57;298735470238;21.196,09;3636417441090
2010-03-29;21.488,18;2839142005509;21.685,02;2551137240528;21.676,11;3530466673915;21.461,20;298958697979;21.213,08;3639764884981
2010-03-30;21.586,62;2852741470676;21.779,73;2561819958853;21.774,45;3547115801862;21.554,69;300313192291;21.311,44;3656736440159
2010-03-31;21.592,72;2843616191585;21.785,98;2562020127365;21.775,13;3537169484843;21.570,06;299245215779;21.308,42;3656551733707
2010-04-01;21.578,06;2841319740887;21.758,74;2559495309020;21.767,79;3536923721937;21.561,30;297609942931;21.292,64;3653831354153
2010-04-02;21.578,06;2841319740887;21.758,74;2559495309020;21.767,79;3536923721937;21.561,30;297609942931;21.292,64;3653831354153
2010-04-03;21.578,06;2841319740887;21.758,74;2559495309020;21.767,79;3536923721937;21.561,30;297609942931;21.292,64;3653831354153
2010-04-04;21.578,06;2841319740887;21.758,74;2559495309020;21.767,79;3536923721937;21.561,30;297609942931;21.292,64;3653831354153
2010-04-05;21.680,98;2855682556431;21.875,99;2573473291735;21.882,29;3556101211238;21.683,66;300900692339;21.403,80;3655083633978
2010-04-06;21.733,01;2862808389442;21.921,45;2578614422899;21.917,29;3562531751211;21.723,98;301547019306;21.448,64;3663107858588
2010-04-07;21.850,44;2879068948718;22.046,21;2593221064893;22.035,88;3582600600498;21.824,25;303003235460;21.561,30;3682434125739
2010-04-08;21.814,56;2875456745476;22.014,40;2590188999202;22.014,36;3579522538714;21.797,10;302615627229;21.522,25;3676566308629
2010-04-09;21.742,81;2866357014256;21.931,44;2580036712278;21.915,13;3563985735873;21.721,82;301597264604;21.448,58;3664426125343
2010-04-10;21.742,81;2866357014256;21.931,44;2580036712278;21.915,13;3563985735873;21.721,82;301597264604;21.448,58;3664426125343
2010-04-11;21.742,81;2866357014256;21.931,44;2580036712278;21.915,13;3563985735873;21.721,82;301597264604;21.448,58;3664426125343
2010-04-12;21.800,83;2875357070319;21.995,88;2588501464346;21.980,78;3576113762821;21.794,53;302581917913;21.510,70;3675861837858
2010-04-13;21.790,60;2875454694341;21.993,27;2588438893745;21.980,38;3576662988715;21.800,19;302779970737;21.510,83;3677307208413
2010-04-14;21.754,55;2872649375137;21.953,84;2585804081143;21.936,88;3573466459611;21.758,57;302257181025;21.471,27;3671537033141
2010-04-15;21.886,58;2892605249288;22.071,70;2606375348561;22.058,77;3595472227282;21.876,91;301521491346;21.599,76;3692110330407
2010-04-16;21.982,63;2907234297225;22.147,13;2618262619845;22.139,17;3612931229202;21.941,01;305234994658;21.686,65;3707902009893
2010-04-17;21.982,63;2907234297225;22.147,13;2618262619845;22.139,17;3612931229202;21.941,01;305234994658;21.686,65;3707902009893
2010-04-18;21.982,63;2907234297225;22.147,13;2618262619845;22.139,17;3612931229202;21.941,01;305234994658;21.686,65;3707902009893
2010-04-19;21.835,69;2894776838817;22.014,28;2603418940770;21.999,13;3601823269963;21.798,37;303521749508;21.542,16;3696765336064
2010-04-20;21.727,09;2880967277324;21.887,50;2590561683776;21.877,67;3582674760363;21.686,11;302262744290;21.428,66;3678535339195
2010-04-21;21.883,63;2902475476916;22.052,28;2610587064260;22.027,22;3607941955420;21.815,94;304082305793;21.583,72;3705492600581
2010-04-22;21.863,14;2900416540891;22.035,15;2609010224047;22.002,42;3603564488256;21.798,60;303921836715;21.556,17;3700741345863
2010-04-23;21.766,71;2888118151764;21.948,43;2599866787566;21.906,68;3588989416296;21.705,93;302720139245;21.463,66;3685399024377
2010-04-24;21.766,71;2888118151764;21.948,43;2599866787566;21.906,68;3588989416296;21.705,93;302720139245;21.463,66;3685399024377
2010-04-25;21.766,71;2888118151764;21.948,43;2599866787566;21.906,68;3588989416296;21.705,93;302720139245;21.463,66;3685399024377
2010-04-26;21.841,10;2898804147026;22.014,15;2607867188602;21.980,46;3602074348322;21.782,37;303754768430;21.536,05;3697984620670
2010-04-27;21.887,15;2903260563543;22.050,72;2612278748357;22.011,68;3607534974649;21.820,94;304353207988;21.571,74;3705045144068
2010-04-28;21.687,49;2877136126447;21.887,37;2592983665415;21.815,67;3576212676227;21.641,85;301911548867;21.383,43;3673129064097
2010-04-29;21.677,53;2875419935809;21.856,74;2589675006835;21.797,31;3573930845509;21.596,95;301296801680;21.367,80;3671134693707
2010-04-30;21.768,29;2877978466447;21.940,91;2599501059224;21.895,89;3579291839170;21.692,67;301379367113;21.464,50;3688395558703
2010-05-01;21.768,29;2877978466447;21.940,91;2599501059224;21.895,89;3579291839170;21.692,67;301379367113;21.464,50;3688395558703
2010-05-02;21.768,29;2877978466447;21.940,91;2599501059224;21.895,89;3579291839170;21.692,67;301379367113;21.464,50;3688395558703
2010-05-03;21.729,39;2870737987575;21.914,65;2596553898442;21.869,13;3576834067501;21.676,86;299304022129;21.419,84;3680447275934
2010-05-04;21.734,29;2870825324811;21.918,77;2595947138342;21.883,37;3578276938570;21.689,79;299479688565;21.433,55;3668166110983
2010-05-05;21.534,24;2844913618008;21.777,22;2578238072806;21.704,32;3548552452679;21.504,49;299159583962;21.255,69;3638056660323
2010-05-06;21.352,03;2820831147873;21.617,04;2558661254645;21.544,54;3523094364057;21.332,79;296770342125;21.093,37;3610393135500
2010-05-07;21.017,54;2776921359395;21.340,01;2525974134068;21.241,16;3473241371924;21.041,49;292666961523;20.782,55;3557146477686
2010-05-08;21.017,54;2776921359395;21.340,01;2525974134068;21.241,16;3473241371924;21.041,49;292666961523;20.782,55;3557146477686
2010-05-09;21.017,54;2776921359395;21.340,01;2525974134068;21.241,16;3473241371924;21.041,49;292666961523;20.782,55;3557146477686
2010-05-10;20.863,77;2756023164808;21.187,93;2506336737446;21.069,87;3444134273899;20.861,95;290207793752;20.631,86;3531476621498
2010-05-11;21.263,52;2808335711927;21.551,07;2547741538384;21.432,17;3498401149882;21.252,82;295689877286;21.022,40;3597950603246
2010-05-12;21.299,57;2811172826207;21.603,79;2549749386727;21.480,52;3503395965169;21.269,85;295676279219;21.043,08;3599582897684
2010-05-13;21.391,72;2819246823094;21.688,48;2554163925127;21.545,50;3505067005219;21.345,83;297150337853;21.129,47;3614311111525
2010-05-14;21.450,15;2827565245132;21.731,86;2555009187166;21.581,55;3510548311925;21.371,60;297681876770;21.175,48;3623944671227
2010-05-15;21.450,15;2827565245132;21.731,86;2555009187166;21.581,55;3510548311925;21.371,60;297681876770;21.175,48;3623944671227
2010-05-16;21.450,15;2827565245132;21.731,86;2555009187166;21.581,55;3510548311925;21.371,60;297681876770;21.175,48;3623944671227
2010-05-17;21.304,25;2810837893795;21.628,75;2548290324438;21.467,84;3505738282166;21.248,81;293975435748;21.045,01;3610147623736
2010-05-18;21.201,83;2796522578008;21.509,87;2534669815121;21.388,33;3494126924950;21.134,58;292400746120;20.939,03;3591681752315
2010-05-19;21.205,32;2797790459122;21.552,87;2540156902228;21.421,16;3500498333903;21.153,28;294313987605;20.955,26;3594328045242
2010-05-20;21.039,58;2774876715385;21.381,17;2516410615185;21.275,20;3475344452225;20.988,86;291999178703;20.787,81;3564797112381
2010-05-21;21.039,58;2774876715385;21.381,17;2516410615185;21.275,20;3475344452225;20.988,86;291999178703;20.787,81;3564797112381
2010-05-22;21.039,58;2774876715385;21.381,17;2516410615185;21.275,20;3475344452225;20.988,86;291999178703;20.787,81;3564797112381
2010-05-23;21.039,58;2774876715385;21.381,17;2516410615185;21.275,20;3475344452225;20.988,86;291999178703;20.787,81;3564797112381
2010-05-24;20.634,86;2719476729804;20.991,75;2468856018323;20.941,08;3418851227889;20.667,75;287572525770;20.440,58;3503966967351
2010-05-25;20.555,96;2709036004896;20.909,09;2457298553561;20.840,97;3401268408005;20.570,80;286257131925;20.343,32;3487016809181
2010-05-26;20.338,84;2679479510197;20.716,75;2432465360210;20.652,31;3368251103712;20.359,78;283324764868;20.133,80;3450424078725
2010-05-27;20.481,83;2696280732636;20.892,53;2447445711125;20.808,56;3389212237167;20.514,82;285545996527;20.287,77;3475750023743
