
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2011-01-01;26.079,48;3694285942498;26.765,54;3780003487110;27.023,61;3613003603583;26.505,99;3732730082;25.426,52;312752112878;27.265,32;3981238447935
2011-01-02;26.079,48;3694285942498;26.765,54;3780003487110;27.023,61;3613003603583;26.505,99;3732730082;25.426,52;312752112878;27.265,32;3981238447935
2011-01-03;26.122,01;3700249103318;26.809,59;3786292245420;27.059,61;3617367559169;26.576,87;3742710999;25.486,71;313490836940;27.313,72;3988462535590
2011-01-04;26.261,80;3726009367498;26.929,54;3815695841734;27.205,54;3639625549983;26.712,51;4122901542;25.649,48;305486589233;27.467,17;3994342644758
2011-01-05;26.917,81;3821144365034;27.654,14;3919691182041;27.846,48;3727140288859;27.410,62;4232011433;26.276,34;313027511707;28.148,50;4093823999850
2011-01-06;27.087,47;3846612467896;27.857,67;3949123172577;28.008,42;3748829666681;27.594,25;4260362351;26.435,52;314983420284;28.327,91;4121119677964
2011-01-07;27.073,67;3846196014392;27.853,66;3950929062848;27.969,89;3744744033574;27.554,24;4296044051;26.370,02;321815884812;28.305,78;4119917235247
2011-01-08;27.073,67;3846196014392;27.853,66;3950929062848;27.969,89;3744744033574;27.554,24;4296044051;26.370,02;321815884812;28.305,78;4119917235247
2011-01-09;27.073,67;3846196014392;27.853,66;3950929062848;27.969,89;3744744033574;27.554,24;4296044051;26.370,02;321815884812;28.305,78;4119917235247
2011-01-10;26.956,78;3831042401155;27.732,42;3934881647277;27.863,25;3733038982490;27.419,85;4278857080;26.255,66;320473806720;28.192,52;4104604256010
2011-01-11;26.796,09;3811818219374;27.565,10;3914307070889;27.703,10;3712525255369;27.239,38;4251139220;26.094,95;318509359502;28.028,35;4083237124117
2011-01-12;26.800,46;3816279206360;27.558,33;3918378735604;27.717,20;3719238097618;27.241,79;4254055034;26.111,44;318857674559;28.025,89;4083900286248
2011-01-13;26.999,02;3847599366536;27.746,71;3951383100050;27.931,19;3752270386424;27.433,79;4284037964;26.301,62;321682330663;28.219,60;4116719338915
2011-01-14;26.965,46;3847085732498;27.731,52;3953965917391;27.898,31;3750039575881;27.391,45;4300925755;26.292,28;322007821402;28.175,39;4118672862799
2011-01-15;26.965,46;3847085732498;27.731,52;3953965917391;27.898,31;3750039575881;27.391,45;4300925755;26.292,28;322007821402;28.175,39;4118672862799
2011-01-16;26.965,46;3847085732498;27.731,52;3953965917391;27.898,31;3750039575881;27.391,45;4300925755;26.292,28;322007821402;28.175,39;4118672862799
2011-01-17;27.015,73;3866791752044;27.773,62;3973960677684;27.945,04;3773755032605;27.493,29;4610080519;26.340,91;316945295876;28.229,53;4122626523911
2011-01-18;26.939,19;3858297899369;27.699,71;3964652094832;27.854,81;3764851564180;27.405,67;4672200429;26.258,30;321066104277;28.142,34;4110630431261
2011-01-19;26.996,95;3867384192220;27.756,25;3973240927630;27.920,13;3776036816733;27.443,21;4756511036;26.313,75;321825589160;28.210,36;4121208637554
2011-01-20;26.965,68;3863880487061;27.729,44;3969645471719;27.871,72;3770828265242;27.367,88;4854271287;26.298,12;321700686817;28.173,31;4116491697217
2011-01-21;26.803,46;3841966506805;27.566,91;3948259987407;27.697,91;3748370836641;27.237,18;4878553286;26.139,04;319884659190;28.010,15;4093489900505
2011-01-22;26.803,46;3841966506805;27.566,91;3948259987407;27.697,91;3748370836641;27.237,18;4878553286;26.139,04;319884659190;28.010,15;4093489900505
2011-01-23;26.803,46;3841966506805;27.566,91;3948259987407;27.697,91;3748370836641;27.237,18;4878553286;26.139,04;319884659190;28.010,15;4093489900505
2011-01-24;26.713,24;3829413907984;27.462,32;3934908476312;27.630,08;3740661060291;27.130,04;4861301522;26.037,81;318616528759;27.898,92;4078344268617
2011-01-25;26.693,39;3827290678660;27.448,22;3934659377525;27.610,72;3739422418244;27.155,86;4865887421;26.034,44;318649092600;27.895,38;4078584581628
2011-01-26;26.657,03;3822782276401;27.409,35;3929946626329;27.550,20;3732146806301;27.078,87;4855081902;25.990,30;318203730477;27.851,08;4072256327956
2011-01-27;26.724,60;3833437682482;27.477,69;3940012684650;27.626,79;3743587840480;27.175,78;4875671426;26.068,66;319243208597;27.916,40;4082663647786
2011-01-28;26.534,30;3807212980171;27.291,29;3914317771253;27.422,99;3716569350740;26.935,19;4834483221;25.878,35;316898423469;27.704,10;4052781754252
