
Valores Confirmados

Fecha;APORTA;;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2000-06-14;10.000,00;0;10.118,74;600903911;9.115,99;206072518;17.878,27;39810434;10.215,31;9886276;10.154,46;705829524;10.191,70;343183732;10.123,05;24027161
2000-06-15;10.000,00;0;10.120,76;682167415;9.141,74;236091413;17.880,98;40198049;10.217,93;9888814;10.147,55;1002699037;10.193,35;470162600;10.122,73;113473828
2000-06-16;10.000,00;0;10.123,61;682359384;9.126,61;235700719;17.848,00;40123919;10.219,90;9890716;10.149,53;1002894890;10.197,04;470563018;10.123,36;113480818
2000-06-17;10.000,00;0;10.123,61;682359384;9.126,61;235700719;17.848,00;40123919;10.219,90;9890716;10.149,53;1002894890;10.197,04;470563018;10.123,36;113480818
2000-06-18;10.000,00;0;10.123,61;682359384;9.126,61;235700719;17.848,00;40123919;10.219,90;9890716;10.149,53;1002894890;10.197,04;470563018;10.123,36;113480818
2000-06-19;10.000,00;0;10.123,61;682359384;9.126,61;235700719;17.848,00;40123919;10.219,90;9890716;10.149,53;1002894890;10.197,04;470563018;10.123,36;113480818
2000-06-20;10.000,00;0;10.143,64;682712985;9.150,04;236305791;17.897,33;40234815;10.230,58;9901052;10.179,32;1005838597;10.207,45;471043583;10.142,11;113691035
2000-06-21;10.000,00;0;10.142,29;682622197;9.152,26;235817975;17.928,84;40305656;10.232,58;9902988;10.181,13;1006016902;10.211,27;471219822;10.145,85;113732922
2000-06-22;10.000,00;0;10.145,56;682842149;9.181,20;236563535;17.953,57;40361244;10.265,09;9934451;10.183,04;1006206230;10.213,33;471393796;10.131,44;113571442
2000-06-23;10.000,00;0;10.147,59;682978733;9.196,81;236965761;17.982,28;40425773;10.267,07;9936368;10.185,26;1006424982;10.216,44;471556303;10.243,03;114932243
2000-06-24;10.000,00;0;10.147,59;682978733;9.196,81;236965761;17.982,28;40425773;10.267,07;9936368;10.185,26;1006424982;10.216,44;471556303;10.243,03;114932243
2000-06-25;10.000,00;0;10.147,59;682978733;9.196,81;236965761;17.982,28;40425773;10.267,07;9936368;10.185,26;1006424982;10.216,44;471556303;10.243,03;114932243
2000-06-26;10.000,00;0;10.147,59;682978733;9.196,81;236965761;17.982,28;40425773;10.267,07;9936368;10.185,26;1006424982;10.216,44;471556303;10.243,03;114932243
2000-06-27;10.000,00;0;10.162,01;684070659;9.199,22;237027710;17.996,82;40458465;10.278,18;9947121;10.192,67;1007157611;10.227,04;472045780;10.250,77;115019026
2000-06-28;10.000,00;0;10.161,61;684137713;9.196,56;237186887;17.950,68;40407696;10.280,03;9948910;10.190,62;1006955174;10.232,74;472308633;10.245,88;114973936
2000-06-29;10.000,00;0;10.164,10;684599338;9.197,93;237222044;17.991,11;40498700;10.282,34;9951141;10.192,93;1007832069;10.232,84;472328851;10.249,59;115129283
2000-06-30;10.000,00;0;10.167,40;684785882;9.232,26;238107538;17.963,93;40437514;10.284,72;9953448;10.194,73;1008009450;10.241,67;472820104;10.255,12;115191350
2000-07-01;10.000,00;0;10.167,40;684785882;9.232,26;238107538;17.963,93;40437514;10.284,72;9953448;10.194,73;1008009450;10.241,67;472820104;10.255,12;115191350
2000-07-02;10.000,00;0;10.167,40;684785882;9.232,26;238107538;17.963,93;40437514;10.284,72;9953448;10.194,73;1008009450;10.241,67;472820104;10.255,12;115191350
2000-07-03;10.000,00;0;10.189,76;644987705;9.223,15;237872559;18.029,28;40584636;10.304,14;9972247;10.202,37;1008765591;10.291,93;435023694;10.267,87;115334552
2000-07-04;10.000,00;0;10.191,06;645069636;9.245,58;238451113;18.002,35;40523999;10.305,89;9973939;10.204,25;1008951409;10.300,04;435366376;10.268,42;115340724
2000-07-05;10.000,00;0;10.195,20;645331895;9.247,88;238510280;18.040,76;40610475;10.310,35;9978258;10.233,10;1011804174;10.306,47;435638474;10.302,83;115727216
2000-07-06;10.000,00;0;10.196,44;645410791;9.237,18;238234398;17.984,95;40484852;10.317,96;9985622;10.251,91;1013432112;10.309,36;435760438;10.315,28;115867129
2000-07-07;10.000,00;0;10.199,66;645614122;9.242,79;238379160;18.003,59;40526795;10.321,88;9989410;10.253,96;1006742810;10.314,25;431483691;10.318,05;115898172
2000-07-08;10.000,00;0;10.199,66;645614122;9.242,79;238379160;18.003,59;40526795;10.321,88;9989410;10.253,96;1006742810;10.314,25;431483691;10.318,05;115898172
2000-07-09;10.000,00;0;10.199,66;645614122;9.242,79;238379160;18.003,59;40526795;10.321,88;9989410;10.253,96;1006742810;10.314,25;431483691;10.318,05;115898172
2000-07-10;10.000,00;0;10.214,24;646537024;9.245,05;237870155;18.047,75;40626205;10.332,93;10000105;10.265,34;1007859898;10.321,82;431800251;10.332,08;116055841
2000-07-11;10.000,00;0;10.214,91;646400887;9.235,48;237624037;18.059,63;40652946;10.336,57;9785319;10.255,70;1006913146;10.324,22;431866902;10.321,27;115866483
2000-07-12;10.000,00;0;10.214,92;556844495;9.249,30;191294186;18.019,86;40563435;10.340,40;9788951;10.259,44;1007308238;10.331,84;432185645;10.323,40;115890342
2000-07-13;10.000,00;0;10.219,02;557067829;9.256,06;191433958;18.070,93;40553885;10.350,59;9798590;10.259,87;1007350201;10.338,52;432465251;10.325,93;115918777
2000-07-14;10.000,00;0;10.221,50;830142489;9.265,34;407712691;18.028,06;40457677;10.353,11;11769107;10.266,09;1557926193;10.342,74;487869430;10.332,00;160238824
2000-07-15;10.000,00;0;10.221,50;830142489;9.265,34;407712691;18.028,06;40457677;10.353,11;11769107;10.266,09;1557926193;10.342,74;487869430;10.332,00;160238824
2000-07-16;10.000,00;0;10.221,50;830142489;9.265,34;407712691;18.028,06;40457677;10.353,11;11769107;10.266,09;1557926193;10.342,74;487869430;10.332,00;160238824
2000-07-17;10.000,00;0;10.266,98;833836074;9.278,04;407264220;18.036,96;40477637;10.362,56;11779852;10.272,00;1558823692;10.351,90;488301714;10.341,61;160387963
2000-07-18;10.000,00;0;10.300,97;836605194;9.275,29;407143670;18.056,69;40521926;10.365,91;11783654;10.285,18;1560823257;10.351,64;488289159;10.354,08;160581327
2000-07-19;10.000,00;0;10.304,77;836913773;9.282,82;407474130;18.072,47;40557327;10.369,19;11787381;10.283,82;1560617518;10.355,04;488504092;10.363,02;160719936
2000-07-20;10.000,00;0;10.306,45;837050218;9.290,31;407802747;18.080,97;40576411;10.372,93;11791633;10.310,26;1564629907;10.357,99;488757766;10.385,63;161070681
2000-07-21;10.000,00;0;10.311,29;837338592;9.289,23;408167388;18.100,89;40621110;10.375,83;11794932;10.314,83;1565323282;10.360,81;489085117;10.390,93;161152808
2000-07-22;10.000,00;0;10.311,29;837338592;9.289,23;408167388;18.100,89;40621110;10.375,83;11794932;10.314,83;1565323282;10.360,81;489085117;10.390,93;161152808
2000-07-23;10.000,00;0;10.311,29;837338592;9.289,23;408167388;18.100,89;40621110;10.375,83;11794932;10.314,83;1565323282;10.360,81;489085117;10.390,93;161152808
2000-07-24;10.000,00;0;10.320,95;838321264;9.307,91;408988469;18.118,16;40659869;10.385,69;11806138;10.323,89;1566698081;10.373,96;489724530;10.445,89;162005167
2000-07-25;10.000,00;0;10.324,30;838728833;9.310,00;409080174;18.122,88;40670467;10.388,54;11809384;10.325,61;1566959310;10.387,49;490455463;10.442,68;161955399
2000-07-26;10.000,00;0;10.325,72;839067541;9.309,72;409196690;18.114,17;40650925;10.425,34;11851215;10.328,08;1567333024;10.397,72;490957873;10.454,92;162383084
2000-07-27;10.000,00;0;10.332,15;839541810;9.317,04;409518690;18.145,31;40773974;10.428,57;11854882;10.349,47;1570097940;10.401,02;491103009;10.473,38;162669808
2000-07-28;10.000,00;0;10.333,50;839994964;9.330,06;410117963;18.107,84;40689773;10.431,82;11858582;10.351,10;1574860820;10.407,29;491398849;10.475,04;162695572
2000-07-29;10.000,00;0;10.333,50;839994964;9.330,06;410117963;18.107,84;40689773;10.431,82;11858582;10.351,10;1574860820;10.407,29;491398849;10.475,04;162695572
2000-07-30;10.000,00;0;10.333,50;839994964;9.330,06;410117963;18.107,84;40689773;10.431,82;11858582;10.351,10;1574860820;10.407,29;491398849;10.475,04;162695572
2000-07-31;10.000,00;0;10.343,58;840773887;9.328,88;410066332;18.155,46;40796763;10.441,22;11869268;10.349,89;1574677157;10.419,01;492169931;10.474,88;162693130
2000-08-01;10.000,00;0;10.342,56;840690719;9.330,52;410138258;18.155,38;40796596;10.449,73;11878939;10.338,15;1572890433;10.422,39;492329473;10.475,50;162702795
2000-08-02;10.000,00;0;10.430,03;847800391;9.324,66;409880863;18.170,59;40830766;10.452,53;11882126;10.350,07;1574704132;10.421,61;492292721;10.478,34;162746797
2000-08-03;10.000,00;0;10.418,16;846835972;9.329,04;410073344;18.136,56;40754306;10.456,18;11886277;10.358,48;1575984351;10.425,13;492459038;10.484,60;162844103
2000-08-04;10.000,00;0;10.415,03;846581093;9.338,89;410506351;18.141,72;40765889;10.470,40;11902435;10.363,37;1574467429;10.436,49;492995470;10.488,20;162899930
2000-08-05;10.000,00;0;10.415,03;846581093;9.338,89;410506351;18.141,72;40765889;10.470,40;11902435;10.363,37;1574467429;10.436,49;492995470;10.488,20;162899930
2000-08-06;10.000,00;0;10.415,03;846581093;9.338,89;410506351;18.141,72;40765889;10.470,40;11902435;10.363,37;1574467429;10.436,49;492995470;10.488,20;162899930
2000-08-07;10.000,00;0;10.398,03;845199598;9.347,50;410924133;18.170,02;40829496;10.480,05;11913404;10.369,96;1575467537;10.448,28;489047863;10.499,10;163069311
2000-08-08;10.000,00;0;10.437,36;848396212;9.344,98;410813324;18.159,00;40804722;10.483,71;11917566;10.384,43;1577667021;10.451,07;489111347;10.513,97;163300263
2000-08-09;10.000,00;0;10.460,15;850248853;9.352,47;411142657;18.175,12;40840947;10.486,04;11920214;10.386,79;1533843491;10.454,65;489275892;10.509,77;162564952
2000-08-10;10.000,00;0;10.464,64;850614223;9.357,32;411367066;18.172,48;40835013;10.489,46;11705918;10.387,39;1533630502;10.453,13;489205021;10.517,81;162689381
2000-08-11;10.000,00;0;10.468,68;843429264;9.364,43;409316002;18.162,51;40688021;10.492,33;11709124;10.391,11;1534196316;10.457,10;489390745;10.519,67;162718182
2000-08-12;10.000,00;0;10.468,68;843429264;9.364,43;409316002;18.162,51;40688021;10.492,33;11709124;10.391,11;1534196316;10.457,10;489390745;10.519,67;162718182
2000-08-13;10.000,00;0;10.468,68;843429264;9.364,43;409316002;18.162,51;40688021;10.492,33;11709124;10.391,11;1534196316;10.457,10;489390745;10.519,67;162718182
2000-08-14;10.000,00;0;10.481,87;930198989;9.373,66;409719540;18.214,97;40805550;10.500,76;11718530;10.389,20;1652684424;10.467,46;581561409;10.516,92;209025876
2000-08-15;10.000,00;0;10.481,87;930198989;9.373,66;409719540;18.214,97;40805550;10.500,76;11718530;10.389,20;1652684424;10.467,46;581561409;10.516,92;209025876
2000-08-16;10.000,00;0;10.495,94;931447246;9.382,17;410091567;18.241,72;40865457;10.505,99;11724372;10.390,64;1650896331;10.468,65;581661028;10.516,54;209018273
2000-08-17;10.000,00;0;10.544,64;935769445;9.380,45;410016128;18.215,80;40807398;10.509,11;11727856;10.392,28;1651156681;10.472,99;582004478;10.518,73;209061673
2000-08-18;10.000,00;0;10.549,24;936177248;9.384,66;410200193;18.240,19;40862041;10.512,79;11731961;10.400,92;1652530610;10.475,11;582122155;10.528,20;209249971
2000-08-19;10.000,00;0;10.549,24;936177248;9.384,66;410200193;18.240,19;40862041;10.512,79;11731961;10.400,92;1652530610;10.475,11;582122155;10.528,20;209249971
2000-08-20;10.000,00;0;10.549,24;936177248;9.384,66;410200193;18.240,19;40862041;10.512,79;11731961;10.400,92;1652530610;10.475,11;582122155;10.528,20;209249971
