
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2013-02-09;24.788,00;3058997337047;25.617,66;2803333292983;25.528,29;4041407519555;24.764,69;209039658436;25.230,79;342336695408;24.623,38;3785775739442
2013-02-10;24.788,00;3058997337047;25.617,66;2803333292983;25.528,29;4041407519555;24.764,69;209039658436;25.230,79;342336695408;24.623,38;3785775739442
2013-02-11;24.829,54;3065913078112;25.652,02;2809571816848;25.575,10;4050308236923;24.806,39;209702061581;25.271,32;343090098829;24.661,57;3793543770645
2013-02-12;24.825,89;3067494778245;25.650,02;2812525677339;25.574,66;4053473387989;24.804,60;210456162056;25.268,63;343123022976;24.656,48;3795141392998
2013-02-13;24.836,15;3072917777067;25.659,76;2819832839353;25.586,41;4061719619995;24.812,84;212205935633;25.272,03;343914514949;24.664,31;3803719487222
2013-02-14;24.871,49;3086217346192;25.699,14;2829195253150;25.621,06;4079058232243;24.842,83;216883432797;25.300,86;344582704501;24.703,29;3818748706499
2013-02-15;24.884,52;3096125170852;25.711,60;2834412713645;25.634,61;4089959131577;24.836,86;222058394410;25.306,37;342237103824;24.709,16;3819205352261
2013-02-16;24.884,52;3096125170852;25.711,60;2834412713645;25.634,61;4089959131577;24.836,86;222058394410;25.306,37;342237103824;24.709,16;3819205352261
2013-02-17;24.884,52;3096125170852;25.711,60;2834412713645;25.634,61;4089959131577;24.836,86;222058394410;25.306,37;342237103824;24.709,16;3819205352261
2013-02-18;24.896,32;3099390852511;25.726,84;2837819186126;25.645,68;4093542665175;24.857,92;222607479809;25.319,15;344812921538;24.720,31;3821941470031
2013-02-19;24.896,76;3099203473531;25.723,06;2837059067752;25.650,94;4093230934132;24.854,15;222309850462;25.322,32;344851730277;24.724,14;3822084102833
2013-02-20;24.943,23;3105496466965;25.775,42;2843253970225;25.702,16;4101884152880;24.903,22;222783328829;25.372,77;345523557946;24.773,78;3829470490231
2013-02-21;24.889,09;3098276015820;25.725,85;2837785154928;25.654,07;4095082900511;24.837,20;222329680824;25.324,44;344870983360;24.715,52;3820930221519
2013-02-22;24.723,47;3078282610182;25.560,16;2820177772008;25.492,08;4070030938107;24.665,81;220961919319;25.166,18;342773844684;24.552,25;3796325269706
2013-02-23;24.723,47;3078282610182;25.560,16;2820177772008;25.492,08;4070030938107;24.665,81;220961919319;25.166,18;342773844684;24.552,25;3796325269706
2013-02-24;24.723,47;3078282610182;25.560,16;2820177772008;25.492,08;4070030938107;24.665,81;220961919319;25.166,18;342773844684;24.552,25;3796325269706
2013-02-25;24.785,38;3086951464898;25.621,03;2828115514173;25.545,36;4079206607262;24.731,50;221664773320;25.227,66;343568317946;24.618,60;3807064197012
2013-02-26;24.729,98;3080799207557;25.563,74;2824415096319;25.478,90;4069400090412;24.683,02;221216926360;25.165,87;342831814452;24.554,49;3797732609471
2013-02-27;24.652,85;3070723161329;25.480,51;2815410680083;25.405,88;4056749485306;24.602,40;221625521640;25.106,04;342100214893;24.485,98;3786520798141
2013-02-28;24.748,49;3078521316749;25.576,51;2829201994172;25.510,56;4065501827164;24.700,48;222316950286;25.196,21;342580729758;24.553,22;3783474654105
2013-03-01;24.835,16;3094936692596;25.670,09;2839588930454;25.595,80;4077542220340;24.783,65;224252395601;25.277,04;341004922648;24.644,21;3794903035317
2013-03-02;24.835,16;3094936692596;25.670,09;2839588930454;25.595,80;4077542220340;24.783,65;224252395601;25.277,04;341004922648;24.644,21;3794903035317
2013-03-03;24.835,16;3094936692596;25.670,09;2839588930454;25.595,80;4077542220340;24.783,65;224252395601;25.277,04;341004922648;24.644,21;3794903035317
2013-03-04;24.868,31;3097513785720;25.702,79;2840458167773;25.628,64;4079549448794;24.812,48;224499498121;25.310,82;343927793579;24.680,34;3799512606884
2013-03-05;24.843,30;3094010017902;25.682,03;2837411233145;25.608,53;4075272525770;24.782,00;224439933203;25.293,52;343718621859;24.656,61;3794710280158
2013-03-06;24.932,30;3103617361983;25.765,84;2846481596305;25.698,06;4088363955566;24.866,85;225325613645;25.364,31;344710276252;24.736,82;3806931708852
2013-03-07;24.931,66;3102769313629;25.767,54;2846083172608;25.705,91;4088427590081;24.869,45;225356196893;25.370,73;344795917478;24.742,64;3807188879302
2013-03-08;24.904,84;3099619899146;25.745,92;2843434393464;25.683,92;4084403469444;24.841,88;225242384376;25.344,54;344503090187;24.720,81;3804244793047
2013-03-09;24.904,84;3099619899146;25.745,92;2843434393464;25.683,92;4084403469444;24.841,88;225242384376;25.344,54;344503090187;24.720,81;3804244793047
2013-03-10;24.904,84;3099619899146;25.745,92;2843434393464;25.683,92;4084403469444;24.841,88;225242384376;25.344,54;344503090187;24.720,81;3804244793047
2013-03-11;24.979,23;3109047852831;25.819,38;2853860196015;25.761,11;4098985018808;24.901,77;226334414297;25.403,19;345320068156;24.780,24;3814112745508
2013-03-12;24.990,43;3111642994018;25.837,59;2857439060260;25.776,86;4104748217147;24.899,45;226760826273;25.408,18;345539730044;24.792,66;3817773975530
2013-03-13;24.922,92;3108669606559;25.772,78;2854237175522;25.704,98;4097720280384;24.826,55;227732416785;25.332,37;345342490518;24.723,54;3810696959754
2013-03-14;24.848,20;3106614894537;25.699,35;2849686049877;25.624,99;4095457376676;24.752,92;231467071381;25.256,80;344801019710;24.647,28;3809835550616
2013-03-15;24.829,31;3115074927198;25.684,98;2858137459047;25.609,15;4104757738080;24.747,87;236351479928;25.243,75;341896902497;24.629,69;3811145517520
2013-03-16;24.829,31;3115074927198;25.684,98;2858137459047;25.609,15;4104757738080;24.747,87;236351479928;25.243,75;341896902497;24.629,69;3811145517520
2013-03-17;24.829,31;3115074927198;25.684,98;2858137459047;25.609,15;4104757738080;24.747,87;236351479928;25.243,75;341896902497;24.629,69;3811145517520
2013-03-18;24.773,91;3110108988892;25.625,05;2853334891168;25.551,13;4097617243004;24.681,52;236280343670;25.187,73;343138102248;24.577,75;3804488288834
2013-03-19;24.677,87;3098872763832;25.532,81;2844490581456;25.448,52;4083056298169;24.584,33;235640382121;25.094,14;341758708480;24.484,90;3790288013597
2013-03-20;24.668,91;3098678722110;25.527,53;2847119171334;25.439,40;4083571892445;24.570,57;235625077631;25.092,84;341840285874;24.474,86;3788443068967
2013-03-21;24.752,36;3108933348185;25.608,46;2857650138922;25.525,42;4098738384090;24.653,02;236433093714;25.171,72;343063078553;24.559,19;3802040588829
2013-03-22;24.713,60;3104156104364;25.570,15;2851104664686;25.480,73;4087468749981;24.614,78;236158552711;25.143,56;342698064430;24.519,71;3795208526967
2013-03-23;24.713,60;3104156104364;25.570,15;2851104664686;25.480,73;4087468749981;24.614,78;236158552711;25.143,56;342698064430;24.519,71;3795208526967
2013-03-24;24.713,60;3104156104364;25.570,15;2851104664686;25.480,73;4087468749981;24.614,78;236158552711;25.143,56;342698064430;24.519,71;3795208526967
2013-03-25;24.701,93;3101978128936;25.553,37;2847599692748;25.473,36;4082824896791;24.606,10;236076700031;25.131,11;342530499500;24.507,79;3792800824255
2013-03-26;24.681,51;3098805570477;25.528,57;2845056529205;25.449,10;4078887721164;24.576,41;237183942770;25.104,00;342144925512;24.471,18;3787234348750
2013-03-27;24.744,09;3103252843388;25.594,16;2847047040494;25.521,56;4085893574474;24.647,87;237339967194;25.162,38;342803689503;24.536,50;3795993821414
2013-03-28;24.756,93;3099936646843;25.608,87;2849708149245;25.533,14;4078209261257;24.657,09;237233053333;25.173,99;342123881655;24.549,19;3782109831346
2013-03-29;24.756,93;3099936646843;25.608,87;2849708149245;25.533,14;4078209261257;24.657,09;237233053333;25.173,99;342123881655;24.549,19;3782109831346
2013-03-30;24.756,93;3099936646843;25.608,87;2849708149245;25.533,14;4078209261257;24.657,09;237233053333;25.173,99;342123881655;24.549,19;3782109831346
2013-03-31;24.756,93;3099936646843;25.608,87;2849708149245;25.533,14;4078209261257;24.657,09;237233053333;25.173,99;342123881655;24.549,19;3782109831346
2013-04-01;24.748,34;3101552564264;25.598,47;2852060835380;25.527,01;4073498379324;24.654,95;238688720609;25.172,71;338422815186;24.545,36;3777339408884
