
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-02-10;16.243,07;1459336430119;16.759,87;1005288726507;16.770,57;1375281097803;16.308,57;299470591259;16.272,75;2121747841011
2009-02-11;16.186,40;1454372465045;16.689,67;1001727766046;16.707,10;1370596497993;16.255,57;298555331099;16.212,87;2114152603788
2009-02-12;16.197,99;1455917977970;16.699,22;1001477839639;16.718,86;1371281624479;16.251,93;298578788729;16.219,27;2115578295491
2009-02-13;16.191,55;1456361589577;16.671,20;1000950296685;16.714,91;1372493897920;16.223,36;296312010991;16.209,74;2114868790195
2009-02-14;16.191,55;1456361589577;16.671,20;1000950296685;16.714,91;1372493897920;16.223,36;296312010991;16.209,74;2114868790195
2009-02-15;16.191,55;1456361589577;16.671,20;1000950296685;16.714,91;1372493897920;16.223,36;296312010991;16.209,74;2114868790195
2009-02-16;16.303,18;1460762666253;16.745,84;1005364477831;16.828,19;1383335508999;16.295,57;297498582620;16.309,20;2130645363074
2009-02-17;16.324,43;1463433210646;16.763,74;1006098554033;16.832,24;1384686585754;16.307,29;298175966208;16.325,18;2133480795969
2009-02-18;16.283,75;1460093966466;16.703,33;1002525476786;16.770,54;1380036497235;16.268,30;297521456861;16.268,94;2127058243103
2009-02-19;16.268,04;1458825763842;16.688,80;1001790745754;16.771,44;1379991440270;16.257,57;297440643830;16.272,57;2127394621900
2009-02-20;16.303,68;1462475556315;16.716,13;1003654830823;16.792,49;1382639630293;16.304,20;298427595229;16.296,56;2131555029632
2009-02-21;16.303,68;1462475556315;16.716,13;1003654830823;16.792,49;1382639630293;16.304,20;298427595229;16.296,56;2131555029632
2009-02-22;16.303,68;1462475556315;16.716,13;1003654830823;16.792,49;1382639630293;16.304,20;298427595229;16.296,56;2131555029632
2009-02-23;16.289,34;1462665120782;16.690,07;1002550106270;16.760,64;1380460346363;16.309,18;298792023749;16.283,60;2130087921621
2009-02-24;16.252,64;1460055789597;16.653,11;1000994467155;16.721,67;1377965784503;16.282,07;298560270039;16.248,44;2126246461128
2009-02-25;16.267,85;1461959806919;16.652,72;1001313672557;16.735,38;1379757459929;16.251,87;298165135005;16.260,28;2128310317925
2009-02-26;16.284,93;1463206326471;16.664,11;1002943353040;16.737,51;1379667076210;16.266,00;298505308450;16.273,88;2130431537688
2009-02-27;16.350,04;1480502118058;16.761,01;1015228019884;16.809,07;1395728689921;16.296,73;300538701819;16.322,42;2137440311055
2009-02-28;16.350,04;1480502118058;16.761,01;1015228019884;16.809,07;1395728689921;16.296,73;300538701819;16.322,42;2137440311055
2009-03-01;16.350,04;1480502118058;16.761,01;1015228019884;16.809,07;1395728689921;16.296,73;300538701819;16.322,42;2137440311055
2009-03-02;16.306,66;1476920900232;16.707,64;1012471334295;16.754,81;1391057902887;16.269,76;299621726214;16.285,17;2131727628796
2009-03-03;16.236,46;1470336585377;16.636,80;1008479443786;16.677,02;1384301204248;16.199,77;298477205030;16.208,68;2136265354031
2009-03-04;16.205,91;1467377756398;16.609,55;1007293973512;16.650,29;1382626459093;16.190,38;298744375189;16.186,72;2133546729457
2009-03-05;16.215,82;1468312180969;16.631,04;1008440274097;16.680,78;1383986733238;16.232,55;299056465752;16.206,20;2135347542118
2009-03-06;16.176,55;1463893493518;16.586,58;1005405766354;16.617,91;1379168428217;16.183,25;298134092910;16.145,70;2120316129778
2009-03-07;16.176,55;1463893493518;16.586,58;1005405766354;16.617,91;1379168428217;16.183,25;298134092910;16.145,70;2120316129778
2009-03-08;16.176,55;1463893493518;16.586,58;1005405766354;16.617,91;1379168428217;16.183,25;298134092910;16.145,70;2120316129778
2009-03-09;16.165,70;1462963674104;16.567,69;1004917138201;16.612,56;1378893523299;16.166,51;297835261551;16.140,32;2118322147042
2009-03-10;16.163,31;1462450768873;16.563,49;1004691607260;16.605,99;1378288143952;16.171,58;297703845851;16.141,23;2118294724272
2009-03-11;16.226,10;1468697527577;16.620,57;1008660944745;16.679,92;1380605899663;16.230,78;298807444546;16.208,34;2126981654323
2009-03-12;16.254,54;1470990054109;16.650,00;1010863917707;16.707,88;1383401907536;16.261,87;299352117191;16.234,40;2130605731595
2009-03-13;16.271,09;1473975834445;16.679,63;1014239770708;16.743,04;1387679216590;16.284,49;298096981407;16.258,81;2134573209819
2009-03-14;16.271,09;1473975834445;16.679,63;1014239770708;16.743,04;1387679216590;16.284,49;298096981407;16.258,81;2134573209819
2009-03-15;16.271,09;1473975834445;16.679,63;1014239770708;16.743,04;1387679216590;16.284,49;298096981407;16.258,81;2134573209819
2009-03-16;16.313,18;1472910883837;16.725,84;1018110049906;16.796,74;1393156199997;16.317,93;298500584437;16.288,82;2142193881654
2009-03-17;16.302,95;1473525053359;16.719,73;1018039376664;16.795,48;1395555736562;16.306,98;298285897695;16.272,91;2140972252460
2009-03-18;16.283,84;1473081639456;16.711,00;1019807110722;16.801,05;1398117040632;16.299,15;298478095063;16.253,12;2139382260494
2009-03-19;16.340,02;1479259857150;16.757,64;1025164997227;16.850,33;1402484088961;16.358,74;299933480039;16.299,49;2146207454291
2009-03-20;16.328,10;1479412772081;16.742,96;1026530460233;16.851,07;1404438198162;16.354,03;299876675077;16.293,03;2146005305970
2009-03-21;16.328,10;1479412772081;16.742,96;1026530460233;16.851,07;1404438198162;16.354,03;299876675077;16.293,03;2146005305970
2009-03-22;16.328,10;1479412772081;16.742,96;1026530460233;16.851,07;1404438198162;16.354,03;299876675077;16.293,03;2146005305970
2009-03-23;16.295,37;1477568518038;16.734,86;1027706585769;16.829,53;1404066147285;16.333,29;299756801069;16.262,00;2142575967984
