
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2011-01-01;23.492,72;3122559489786;23.954,13;2900744852507;23.945,33;3965304882502;23.071,76;2773788856;23.560,95;325519112258;23.363,40;3956077135456
2011-01-02;23.492,72;3122559489786;23.954,13;2900744852507;23.945,33;3965304882502;23.071,76;2773788856;23.560,95;325519112258;23.363,40;3956077135456
2011-01-03;23.523,95;3126689838441;23.989,29;2905051753581;23.975,78;3969731949672;23.113,51;2778808327;23.602,13;326088031835;23.395,16;3961302409206
2011-01-04;23.623,79;3141972843717;24.087,16;2925942532960;24.062,85;3983123294143;23.209,19;2817423805;23.707,77;324154209313;23.498,37;3952827499828
2011-01-05;24.059,54;3201128179238;24.546,15;2982173571869;24.492,03;4054157546943;23.690,92;3019545720;24.125,09;329918659237;23.927,65;4025301763790
2011-01-06;24.159,60;3214964289906;24.668,87;2996508850625;24.587,48;4070846107425;23.799,73;3036171312;24.225,62;331314248557;24.034,52;4044210954994
2011-01-07;24.148,52;3214511581847;24.665,22;2996820408607;24.570,44;4068317097580;23.769,88;3037671492;24.194,18;333408189514;24.022,35;4043170187275
2011-01-08;24.148,52;3214511581847;24.665,22;2996820408607;24.570,44;4068317097580;23.769,88;3037671492;24.194,18;333408189514;24.022,35;4043170187275
2011-01-09;24.148,52;3214511581847;24.665,22;2996820408607;24.570,44;4068317097580;23.769,88;3037671492;24.194,18;333408189514;24.022,35;4043170187275
2011-01-10;24.083,40;3205594023895;24.591,57;2989324752222;24.507,92;4058322443797;23.675,50;3027370672;24.112,85;332317147241;23.950,37;4031275920304
2011-01-11;23.961,79;3190619475362;24.463,91;2974592188495;24.384,57;4039651318414;23.540,83;3012564628;23.981,66;330606799344;23.829,42;4012520455825
