
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2007-01-01;15.116,33;474379164755;15.186,78;839927544712;14.801,60;1093093025480;14.495,65;257737877653;14.540,83;1694644199626;14.636,94;723711967183
2007-01-02;15.114,84;474332372184;15.184,58;839789680087;14.800,15;1092447815098;14.499,15;257829219311;14.538,26;1693658632710;14.633,98;725804133269
2007-01-03;15.134,19;474251366415;15.200,33;839627677148;14.818,66;1093431107505;14.519,64;257431993572;14.557,57;1705288717049;14.653,22;725094742530
2007-01-04;15.156,82;475109440541;15.218,92;839941798506;14.842,97;1091868744484;14.540,62;257690769965;14.581,62;1707674862185;14.677,64;725634280960
2007-01-05;15.166,48;475257559288;15.236,98;839360363611;14.856,97;1092730065560;14.552,82;257397924775;14.598,46;1704778059290;14.686,85;725901056172
2007-01-06;15.166,48;475257559288;15.236,98;839360363611;14.856,97;1092730065560;14.552,82;257397924775;14.598,46;1704778059290;14.686,85;725901056172
2007-01-07;15.166,48;475257559288;15.236,98;839360363611;14.856,97;1092730065560;14.552,82;257397924775;14.598,46;1704778059290;14.686,85;725901056172
2007-01-08;15.169,29;473646330081;15.243,86;838872601157;14.857,96;1092406888602;14.555,05;257451480145;14.598,93;1699908084040;14.687,60;722414187855
2007-01-09;15.145,78;472887158869;15.222,95;836543962928;14.839,84;1087643321454;14.530,59;257433598886;14.581,73;1696866156465;14.663,34;720928585702
2007-01-10;15.140,15;472213613817;15.217,70;836038519185;14.838,20;1087552560542;14.530,02;257341041840;14.578,51;1695650297030;14.664,06;721060317848
2007-01-11;15.109,87;470011900241;15.194,39;833798531538;14.812,26;1082204830889;14.492,50;255323630924;14.549,60;1692162615787;14.630,65;719429733554
2007-01-12;15.064,62;466405063299;15.159,64;830186820369;14.780,32;1080028591087;14.454,08;254686792844;14.503,91;1687353159586;14.587,59;717438945638
2007-01-13;15.064,62;466405063299;15.159,64;830186820369;14.780,32;1080028591087;14.454,08;254686792844;14.503,91;1687353159586;14.587,59;717438945638
2007-01-14;15.064,62;466405063299;15.159,64;830186820369;14.780,32;1080028591087;14.454,08;254686792844;14.503,91;1687353159586;14.587,59;717438945638
2007-01-15;15.144,34;469035785883;15.219,35;832987449577;14.848,81;1084958119285;14.525,70;255313862546;14.567,22;1694897832274;14.664,75;720936686688
2007-01-16;15.192,76;470801582953;15.257,45;834738731104;14.890,79;1088849231953;14.567,68;256181998792;14.609,91;1701016860813;14.704,93;723086869470
2007-01-17;15.224,77;471839306013;15.291,60;836044180966;14.926,67;1091701520098;14.596,77;256929922409;14.636,95;1704537695298;14.730,30;724164352266
2007-01-18;15.221,15;471678769633;15.288,27;835984767336;14.924,43;1089070706595;14.592,72;257008004535;14.636,44;1705582703150;14.726,41;724497727324
2007-01-19;15.233,47;472004830682;15.296,40;836951971425;14.932,18;1090574994564;14.600,12;257247695749;14.641,76;1706446818383;14.736,10;725223647037
2007-01-20;15.233,47;472004830682;15.296,40;836951971425;14.932,18;1090574994564;14.600,12;257247695749;14.641,76;1706446818383;14.736,10;725223647037
2007-01-21;15.233,47;472004830682;15.296,40;836951971425;14.932,18;1090574994564;14.600,12;257247695749;14.641,76;1706446818383;14.736,10;725223647037
2007-01-22;15.251,06;472534980561;15.307,98;837470356242;14.956,32;1092428740889;14.620,37;257736178162;14.662,46;1704630667913;14.759,03;725696434223
2007-01-23;15.257,28;472539051728;15.318,70;837974160818;14.966,41;1093611648809;14.634,88;258050522443;14.670,57;1705218724412;14.766,80;726302606154
2007-01-24;15.275,76;473073844753;15.331,03;837808444780;14.987,48;1095282853753;14.649,56;258457233727;14.685,21;1707152883430;14.786,56;727723897976
2007-01-25;15.297,02;473508505454;15.350,76;838744718302;15.011,53;1094850869400;14.673,45;258872797608;14.701,89;1710159576718;14.806,59;728797972998
2007-01-26;15.333,84;474026975333;15.381,23;839906637666;15.047,93;1097525427647;14.716,15;259773193234;14.734,66;1713663393780;14.844,43;731079933307
2007-01-27;15.333,84;474026975333;15.381,23;839906637666;15.047,93;1097525427647;14.716,15;259773193234;14.734,66;1713663393780;14.844,43;731079933307
2007-01-28;15.333,84;474026975333;15.381,23;839906637666;15.047,93;1097525427647;14.716,15;259773193234;14.734,66;1713663393780;14.844,43;731079933307
2007-01-29;15.297,16;472982378887;15.359,33;837976066810;15.024,24;1096127582138;14.685,46;259427945613;14.711,62;1711639009692;14.822,08;729182587063
2007-01-30;15.282,46;472367549931;15.349,07;835856485090;15.012,77;1095110638740;14.676,28;259330515783;14.697,14;1710846372531;14.811,08;728404108497
2007-01-31;15.253,39;474945274835;15.325,21;839795444791;14.985,90;1102933304691;14.656,28;260478972385;14.673,92;1709276269308;14.787,45;727204375792
2007-02-01;15.258,27;474888340224;15.339,37;840429388412;14.994,55;1100206147633;14.672,08;260626198709;14.682,81;1708614973188;14.800,52;730705703864
2007-02-02;15.297,02;476013329320;15.366,62;840057988686;15.034,68;1105584436304;14.712,26;261356042189;14.720,15;1723791748769;14.845,69;732978705190
