
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2020-01-29;45.770,20;10741435486064;52.969,88;10012078586176;52.298,64;17347072193999;50.416,20;2389978928685;91.491,03;1973693952522;45.131,00;15939565997295;51.302,37;13843335983
2020-01-30;45.712,34;10723765147809;52.913,95;10004430134341;52.246,14;17326719052231;50.366,00;2386871149016;91.376,19;1971107587161;45.072,15;15920057695711;51.193,74;13272197510
2020-01-31;45.713,84;10685944557410;52.928,74;9972457687057;52.275,19;17312970279691;50.370,81;2388949807412;91.390,07;1970179120988;45.059,13;15871166307890;51.247,84;13325546107
2020-02-01;45.713,84;10685944557410;52.928,74;9972457687057;52.275,19;17312970279691;50.370,81;2388949807412;91.390,07;1970179120988;45.059,13;15871166307890;51.247,84;13325546107
2020-02-02;45.713,84;10685944557410;52.928,74;9972457687057;52.275,19;17312970279691;50.370,81;2388949807412;91.390,07;1970179120988;45.059,13;15871166307890;51.247,84;13325546107
2020-02-03;45.639,27;10675525773278;52.846,42;9958827689039;52.183,37;17279650071814;50.253,38;2384982144802;91.252,42;1987133927817;44.986,77;15851907922458;51.138,90;14020006019
2020-02-04;45.408,75;10627039012744;52.564,77;9902873594682;51.895,51;17189941936522;49.977,47;2372181179460;90.757,03;1976186034091;44.754,58;15771060037037;50.888,75;14023770706
2020-02-05;45.549,79;10662556470091;52.729,62;9933601345195;52.056,66;17242730961860;50.147,58;2380806418183;91.022,27;1981906265894;44.889,90;15821715627047;51.027,08;14138832680
2020-02-06;45.580,03;10670156320049;52.772,47;9944806942845;52.093,37;17254358720846;50.189,80;2383395127978;91.099,17;1984027487729;44.927,71;15837032699769;51.100,36;14194454773
2020-02-07;45.713,15;10704065849799;52.933,32;9978841889235;52.246,03;17308850206375;50.365,90;2393066861548;91.359,76;1989753608792;45.063,34;15885049470338;51.254,43;14319655591
2020-02-08;45.713,15;10704065849799;52.933,32;9978841889235;52.246,03;17308850206375;50.365,90;2393066861548;91.359,76;1989753608792;45.063,34;15885049470338;51.254,43;14319655591
2020-02-09;45.713,15;10704065849799;52.933,32;9978841889235;52.246,03;17308850206375;50.365,90;2393066861548;91.359,76;1989753608792;45.063,34;15885049470338;51.254,43;14319655591
2020-02-10;45.823,74;10734975880158;53.047,22;10005624494385;52.369,69;17361620328588;50.471,68;2399238055365;91.559,82;1994613491669;45.170,94;15924987600027;51.355,56;14487755756
2020-02-11;45.939,53;10774564894930;53.169,86;10021937471029;52.507,57;17405474678939;50.565,76;2405419769968;91.777,22;2000211263406;45.270,21;15962100297015;51.480,01;14668811377
2020-02-12;45.966,73;10778934380449;53.210,30;10038864643346;52.540,99;17421355644146;50.581,44;2410559669809;91.816,08;2002418510120;45.300,94;15981095840596;51.488,69;14992635773
2020-02-13;45.989,88;10780747016929;53.240,96;10050788732021;52.570,09;17443210996988;50.613,86;2415034106443;91.865,36;2004668557536;45.329,53;15999539841657;51.499,65;15651391000
2020-02-14;46.023,04;10795964376942;53.283,85;10066373196950;52.624,24;17489827486543;50.644,03;2418838054624;91.927,26;2008243767293;45.362,37;16020868074048;51.527,90;16194981475
2020-02-15;46.023,04;10795964376942;53.283,85;10066373196950;52.624,24;17489827486543;50.644,03;2418838054624;91.927,26;2008243767293;45.362,37;16020868074048;51.527,90;16194981475
2020-02-16;46.023,04;10795964376942;53.283,85;10066373196950;52.624,24;17489827486543;50.644,03;2418838054624;91.927,26;2008243767293;45.362,37;16020868074048;51.527,90;16194981475
2020-02-17;45.930,65;10822394091932;53.183,31;10051539649827;52.520,57;17477869155178;50.536,14;2417708293351;91.722,92;2018918734654;45.263,90;15996129443899;51.418,66;18206030134
2020-02-18;45.902,91;10820347897241;53.140,40;10050703622734;52.491,14;17470672603526;50.506,53;2416904864873;91.672,71;2018629711427;45.239,65;15989561615961;51.404,95;18244140302
2020-02-19;45.731,96;10786051011581;52.945,99;10018203984081;52.303,66;17411547727504;50.298,33;2405386784393;91.321,60;2011480046759;45.070,03;15931325948907;51.200,53;18339480338
2020-02-20;45.663,74;10774072290391;52.862,42;10003866373432;52.240,17;17396126404141;50.237,04;2402874388930;91.166,66;2008283291794;44.994,24;15902673190527;51.112,66;18321981527
2020-02-21;45.576,89;10763088733417;52.740,28;9986739168262;52.154,01;17379677968588;50.107,94;2395787795436;90.986,75;2004683025062;44.881,86;15865849802132;51.006,66;18881055424
2020-02-22;45.576,89;10763088733417;52.740,28;9986739168262;52.154,01;17379677968588;50.107,94;2395787795436;90.986,75;2004683025062;44.881,86;15865849802132;51.006,66;18881055424
2020-02-23;45.576,89;10763088733417;52.740,28;9986739168262;52.154,01;17379677968588;50.107,94;2395787795436;90.986,75;2004683025062;44.881,86;15865849802132;51.006,66;18881055424
2020-02-24;45.457,23;10745191129487;52.585,02;9963916565371;52.036,40;17348611230369;49.960,14;2389551567437;90.725,41;1999577289448;44.749,63;15821147640025;50.856,99;18460723455
2020-02-25;45.092,18;10667645174244;52.167,31;9887385501595;51.658,84;17224773232041;49.563,02;2371512030968;90.014,76;1983043153193;44.408,74;15704032541945;50.457,57;18407442730
2020-02-26;44.937,31;10635983484085;52.002,87;9862850503100;51.485,89;17177237121285;49.400,07;2364080195032;89.751,51;1977190846408;44.273,83;15659688630201;50.277,57;18374284600
2020-02-27;44.701,68;10579822769643;51.740,97;9820513845265;51.210,83;17089631963147;49.140,97;2352606925314;89.265,36;1966664163454;44.046,72;15579092860978;50.116,20;18104699245
2020-02-28;44.225,89;10477196626013;51.163,88;9712766988030;50.712,32;16926161822207;48.620,20;2330584084610;88.370,82;1945065461098;43.576,03;15380438917414;49.635,75;18151998535
2020-02-29;44.225,89;10477196626013;51.163,88;9712766988030;50.712,32;16926161822207;48.620,20;2330584084610;88.370,82;1945065461098;43.576,03;15380438917414;49.635,75;18151998535
2020-03-01;44.225,89;10477196626013;51.163,88;9712766988030;50.712,32;16926161822207;48.620,20;2330584084610;88.370,82;1945065461098;43.576,03;15380438917414;49.635,75;18151998535
2020-03-02;43.849,65;10414422099364;50.703,04;9629691080931;50.259,79;16780006568832;48.168,34;2310952835404;87.578,19;1946546461221;43.163,54;15235486092350;49.294,29;18852588752
2020-03-03;44.144,27;10496501236040;51.029,83;9694834433192;50.607,43;16890008312045;48.496,44;2327579594572;88.099,30;1957452387976;43.449,03;15338213331039;49.567,93;18995119508
2020-03-04;44.345,04;10550384447594;51.247,63;9730737546596;50.857,61;16957839531783;48.679,43;2336017442805;88.448,99;1964731010159;43.652,94;15409787343098;49.635,99;19006437709
2020-03-05;44.859,99;10652444233908;51.884,97;9857827743097;51.440,21;17110402438710;49.302,75;2364447777644;89.497,47;1987502156129;44.197,55;15596098071644;50.316,92;19278051009
2020-03-06;44.968,57;10673560953714;52.004,27;9882959220055;51.591,89;17145533558395;49.412,68;2368237872727;89.742,91;1993210800628;44.315,67;15637594445760;50.450,42;19400057748
2020-03-07;44.968,57;10673560953714;52.004,27;9882959220055;51.591,89;17145533558395;49.412,68;2368237872727;89.742,91;1993210800628;44.315,67;15637594445760;50.450,42;19400057748
2020-03-08;44.968,57;10673560953714;52.004,27;9882959220055;51.591,89;17145533558395;49.412,68;2368237872727;89.742,91;1993210800628;44.315,67;15637594445760;50.450,42;19400057748
2020-03-09;44.735,54;10923732881870;51.716,55;10161435213707;51.274,25;17526595275566;49.076,47;2463466364403;89.252,01;2003574261167;44.059,19;15692613367830;50.238,51;20311594111
2020-03-10;44.024,46;10902355220434;50.945,02;10198718116831;50.523,73;17761693476067;48.331,83;2494145179610;87.968,01;1983881850071;43.386,37;15520881364856;49.545,90;21106745578
2020-03-11;44.021,69;10941652290845;50.898,19;10227485961948;50.481,49;17922900599554;48.292,94;2508930764672;87.800,65;1984129425588;43.323,62;15522284838890;49.382,31;21737865912
2020-03-12;43.557,19;10858807398241;50.369,68;10162276469430;50.003,83;17809679430200;47.796,22;2497666731221;86.908,06;1967432974130;42.908,84;15396003984545;48.898,68;22059889159
2020-03-13;41.882,39;10455010618695;48.432,91;9784527006309;48.238,50;17201523724405;46.026,48;2411178732935;83.617,89;1895191735014;41.225,88;14806698530332;47.187,16;22103505824
2020-03-14;41.882,39;10455010618695;48.432,91;9784527006309;48.238,50;17201523724405;46.026,48;2411178732935;83.617,89;1895191735014;41.225,88;14806698530332;47.187,16;22103505824
2020-03-15;41.882,39;10455010618695;48.432,91;9784527006309;48.238,50;17201523724405;46.026,48;2411178732935;83.617,89;1895191735014;41.225,88;14806698530332;47.187,16;22103505824
2020-03-16;41.999,67;10524921529716;48.458,35;9793487744677;48.271,18;17239205107085;46.155,94;2425094866753;83.696,50;1910699414904;41.294,41;14847895423705;47.210,98;22896450261
2020-03-17;41.067,35;10281951411237;47.296,18;9555679634381;47.280,54;16876718235310;44.987,95;2366638540255;81.785,99;1869530426354;40.364,49;14520419270823;46.265,35;23563580050
2020-03-18;40.979,06;10049642686392;47.284,27;9338448108106;47.160,43;16520241673824;45.046,03;2297103026733;81.661,41;1844432638510;40.299,06;14336635480977;46.280,83;22945746314
2020-03-19;39.613,85;9507577198833;45.721,00;8808096481317;45.678,39;15656560913719;43.516,20;2144958944691;79.094,42;1777812456645;38.916,34;13777280272694;44.767,72;21567329472
