
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2019-01-01;40.092,87;4371482893029;42.095,42;4861624961311;38.405,84;6394264916758;42.188,63;1659761903427;65.598,69;636508826409;38.250,24;3830102599559
2019-01-02;40.119,02;4397011485684;42.118,16;4896497680234;38.439,18;6463253449074;42.222,40;1677776934319;65.648,56;636602502476;38.278,39;3837481999338
2019-01-03;40.193,57;4416483086340;42.181,68;4911610338303;38.501,27;6509926956419;42.276,59;1688256812778;65.748,97;638411201876;38.344,22;3847703902306
2019-01-04;40.243,33;4427006736804;42.239,12;4918732417923;38.552,58;6531935411187;42.318,52;1691951412421;65.843,89;639562232323;38.404,06;3854639992560
2019-01-05;40.243,33;4427006736804;42.239,12;4918732417923;38.552,58;6531935411187;42.318,52;1691951412421;65.843,89;639562232323;38.404,06;3854639992560
2019-01-06;40.243,33;4427006736804;42.239,12;4918732417923;38.552,58;6531935411187;42.318,52;1691951412421;65.843,89;639562232323;38.404,06;3854639992560
2019-01-07;40.320,01;4438708702447;42.301,96;4929825643930;38.613,14;6544841721691;42.385,04;1695433464131;65.951,53;640857174928;38.470,88;3863520561089
2019-01-08;40.254,20;4433246940425;42.231,62;4924117018837;38.547,14;6538753776133;42.337,20;1694465903874;65.838,44;639976608798;38.398,39;3858328312046
2019-01-09;40.335,48;4447004054973;42.317,16;4941805663999;38.622,67;6561068692054;42.395,37;1698274572186;65.982,85;641139383670;38.485,85;3868554502302
2019-01-10;40.282,67;4441958729503;42.256,46;4939939841194;38.579,98;6554272421071;42.358,91;1697108853030;65.915,48;640807349173;38.442,86;3864624327725
2019-01-11;40.274,17;4440380964691;42.246,16;4942784497465;38.562,70;6553072596842;42.347,89;1697917996808;65.897,20;640684983370;38.431,02;3865949881518
