
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2008-01-01;22.114,52;2455412849972;22.387,83;3913030319589;21.179,30;5523368321452;40.122,27;844772116062;19.830,52;7509149853418;19.949,61;2673954922621
2008-01-02;22.136,91;2457899216055;22.408,73;3915346604852;21.198,93;5528329849847;40.162,21;845617698037;19.848,19;7512999250240;19.967,97;2676090043585
2008-01-03;22.131,52;2451506679204;22.405,47;3921058841418;21.190,11;5521003615816;40.132,13;841519261613;19.841,84;7502602540523;19.959,20;2668832436052
2008-01-04;22.021,32;2437879211463;22.288,88;3899793673109;21.070,45;5489795555438;39.906,32;837455101288;19.736,34;7463067112710;19.845,70;2653187825018
2008-01-05;22.021,32;2437879211463;22.288,88;3899793673109;21.070,45;5489795555438;39.906,32;837455101288;19.736,34;7463067112710;19.845,70;2653187825018
2008-01-06;22.021,32;2437879211463;22.288,88;3899793673109;21.070,45;5489795555438;39.906,32;837455101288;19.736,34;7463067112710;19.845,70;2653187825018
2008-01-07;21.915,29;2426048907009;22.195,73;3883206731432;20.961,36;5457098913962;39.711,33;833190490130;19.632,41;7420897863193;19.739,34;2637996264149
2008-01-08;21.768,31;2408289743680;22.099,99;3865553903865;20.820,29;5417141093454;39.465,41;827993148223;19.516,66;7375172512475;19.615,18;2620406299181
2008-01-09;21.712,54;2402141594335;22.045,65;3856221383032;20.780,83;5406030290910;39.351,11;825406628088;19.470,96;7356934481437;19.567,02;2613189438169
2008-01-10;21.583,93;2387715573306;21.938,46;3837447559921;20.656,94;5373723989858;39.095,10;820031326568;19.356,41;7313205805756;19.441,65;2595929085755
2008-01-11;21.583,66;2387012124644;21.960,03;3841518145510;20.676,52;5380040365966;39.126,66;820738341596;19.374,42;7320986400172;19.443,14;2595997380804
2008-01-12;21.583,66;2387012124644;21.960,03;3841518145510;20.676,52;5380040365966;39.126,66;820738341596;19.374,42;7320986400172;19.443,14;2595997380804
2008-01-13;21.583,66;2387012124644;21.960,03;3841518145510;20.676,52;5380040365966;39.126,66;820738341596;19.374,42;7320986400172;19.443,14;2595997380804
2008-01-14;21.580,87;2386721409387;21.945,55;3841537980916;20.673,21;5377809216100;39.092,74;819662472755;19.358,74;7317170804189;19.423,32;2595555847188
2008-01-15;21.496,05;2372825535555;21.857,03;3830703712806;20.581,93;5353899887331;38.911,08;814430951358;19.266,60;7276971973254;19.331,58;2585881579383
2008-01-16;21.332,84;2358714191345;21.708,27;3804901041429;20.413,63;5315462955724;38.572,24;807292451275;19.106,33;7229728553555;19.168,87;2563984909310
2008-01-17;21.101,06;2333852929165;21.514,15;3772198745775;20.155,88;5252849025139;38.137,50;799815565858;18.916,95;7158070274213;18.954,62;2538054471375
2008-01-18;21.005,03;2325391083582;21.427,94;3758897104912;20.074,23;5232607847835;37.959,97;796662143635;18.847,47;7133348769076;18.877,48;2524926069859
2008-01-19;21.005,03;2325391083582;21.427,94;3758897104912;20.074,23;5232607847835;37.959,97;796662143635;18.847,47;7133348769076;18.877,48;2524926069859
2008-01-20;21.005,03;2325391083582;21.427,94;3758897104912;20.074,23;5232607847835;37.959,97;796662143635;18.847,47;7133348769076;18.877,48;2524926069859
2008-01-21;20.929,04;2317939273665;21.348,81;3751270909802;19.995,73;5213437729371;37.799,40;793315307580;18.762,43;7101434937315;18.808,62;2516580406784
2008-01-22;20.627,43;2284157344695;21.093,69;3707810646373;19.659,63;5125337209869;37.188,40;781145310889;18.470,82;6993009192209;18.488,61;2475053582860
2008-01-23;20.577,58;2279216702043;21.008,49;3695325517869;19.583,32;5105641763704;37.092,91;779174183214;18.413,60;6972044043289;18.460,90;2471616994959
2008-01-24;20.488,40;2270200092631;20.977,88;3691235456641;19.563,81;5102145325124;36.989,03;777007006061;18.359,13;6952643157289;18.401,23;2463718998997
2008-01-25;20.753,81;2300216379991;21.185,58;3730852709749;19.848,59;5177823357453;37.505,95;788281343146;18.620,14;7053664750154;18.653,27;2497273515373
2008-01-26;20.753,81;2300216379991;21.185,58;3730852709749;19.848,59;5177823357453;37.505,95;788281343146;18.620,14;7053664750154;18.653,27;2497273515373
2008-01-27;20.753,81;2300216379991;21.185,58;3730852709749;19.848,59;5177823357453;37.505,95;788281343146;18.620,14;7053664750154;18.653,27;2497273515373
2008-01-28;20.956,41;2323424316508;21.380,22;3769214463911;20.058,26;5232915620926;37.845,89;795580855898;18.785,96;7123330623233;18.836,98;2524749085620
2008-01-29;20.838,88;2310661504659;21.291,51;3757376054571;19.918,62;5198352733141;37.602,51;790697914437;18.678,66;7083660337440;18.711,52;2508036161926
2008-01-30;20.953,27;2324624282789;21.381,47;3777386828553;20.073,98;5238585885109;37.862,56;797479218626;18.799,42;7130440277227;18.832,32;2524181122013
2008-01-31;21.033,45;2332582395399;21.460,75;3791798993515;20.149,75;5258732160276;37.991,50;799728195118;18.870,01;7157075260409;18.922,96;2534134588176
2008-02-01;21.030,16;2330916610812;21.450,21;3793629215795;20.143,35;5256173597738;37.990,84;798065178082;18.866,36;7152241593398;18.919,88;2531565497077
2008-02-02;21.030,16;2330916610812;21.450,21;3793629215795;20.143,35;5256173597738;37.990,84;798065178082;18.866,36;7152241593398;18.919,88;2531565497077
2008-02-03;21.030,16;2330916610812;21.450,21;3793629215795;20.143,35;5256173597738;37.990,84;798065178082;18.866,36;7152241593398;18.919,88;2531565497077
2008-02-04;21.171,78;2346990375719;21.577,83;3819031470271;20.313,18;5299621063294;38.298,83;804525206835;19.021,85;7210438942368;19.072,15;2552855716274
2008-02-05;21.251,84;2354011081623;21.678,75;3837475611073;20.397,15;5318795377228;38.473,93;809300825086;19.087,15;7234945338636;19.152,46;2562885489684
2008-02-06;21.150,55;2342709961134;21.587,11;3820902516380;20.266,62;5284553405325;38.244,92;803941328999;18.955,52;7182799896042;19.052,08;2549549896216
2008-02-07;21.071,82;2335377537805;21.485,79;3801408193688;20.152,98;5255723054122;38.062,56;800167088707;18.889,27;7155232462552;18.973,76;2538834559940
2008-02-08;20.998,54;2327544479872;21.416,78;3790118152075;20.080,69;5234938359532;37.920,30;797062072278;18.820,10;7128282787858;18.904,81;2529545375949
2008-02-09;20.998,54;2327544479872;21.416,78;3790118152075;20.080,69;5234938359532;37.920,30;797062072278;18.820,10;7128282787858;18.904,81;2529545375949
2008-02-10;20.998,54;2327544479872;21.416,78;3790118152075;20.080,69;5234938359532;37.920,30;797062072278;18.820,10;7128282787858;18.904,81;2529545375949
2008-02-11;21.015,29;2330203905059;21.427,69;3792835181611;20.090,74;5237514877126;37.940,61;797488401907;18.835,18;7133571131048;18.916,47;2530753608298
2008-02-12;21.009,74;2328341349273;21.418,66;3791562416667;20.086,22;5236830164807;37.908,84;796467032455;18.829,92;7132619780546;18.911,16;2529960429280
2008-02-13;21.155,43;2343890304983;21.552,25;3815164923118;20.246,84;5278756960696;38.216,13;802909975053;18.972,76;7188168067472;19.051,23;2552148277606
