
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-02-04;19.160,42;870419254444;19.122,29;1427244631617;18.389,31;1316727835779;17.593,07;172743668362;19.184,89;1444144527475;18.369,63;509240151171
2006-02-05;19.160,42;870419254444;19.122,29;1427244631617;18.389,31;1316727835779;17.593,07;172743668362;19.184,89;1444144527475;18.369,63;509240151171
2006-02-06;19.079,62;866794229151;19.034,13;1422193385588;18.309,15;1310977748779;17.505,70;177965581200;19.103,01;1446382143842;18.286,22;506905862027
2006-02-07;18.955,60;861296307175;18.919,71;1415442635440;18.184,10;1302202115297;17.382,35;176728482885;18.958,33;1435458768130;18.162,40;503467194971
2006-02-08;19.037,00;866899292124;18.996,02;1422358132162;18.269,91;1307754891621;17.471,44;177630833086;19.056,37;1443301936859;18.259,23;506135231681
2006-02-09;18.999,24;865754438939;18.953,89;1419942810762;18.231,36;1309399460273;17.436,48;177273790116;19.024,37;1440741039811;18.219,32;505083907107
2006-02-10;18.912,37;864310833051;18.889,79;1416136176552;18.150,10;1303892797419;17.354,60;176455139222;18.925,59;1433062364166;18.133,33;502813300800
2006-02-11;18.912,37;864310833051;18.889,79;1416136176552;18.150,10;1303892797419;17.354,60;176455139222;18.925,59;1433062364166;18.133,33;502813300800
2006-02-12;18.912,37;864310833051;18.889,79;1416136176552;18.150,10;1303892797419;17.354,60;176455139222;18.925,59;1433062364166;18.133,33;502813300800
2006-02-13;18.978,73;867362493161;18.946,63;1421656196887;18.211,69;1308284847412;17.420,70;177127202171;18.989,96;1438000770843;18.204,38;504936527607
2006-02-14;19.016,22;869287089090;18.985,04;1425595118902;18.247,55;1310835234775;17.457,79;177513574010;19.031,20;1441072845712;18.238,41;509365902659
2006-02-15;18.915,68;879396018548;18.882,63;1423524388831;18.150,89;1305199620162;17.357,48;172332209773;18.921,69;1441282968600;18.119,78;509158690172
2006-02-16;18.917,68;879702344984;18.899,75;1428972821719;18.150,77;1309945302385;17.362,48;178091892362;18.928,13;1441800743251;18.139,03;510157399391
2006-02-17;18.900,33;881071556005;18.880,85;1429570251813;18.136,35;1313418778815;17.345,49;177916066316;18.913,40;1440686561936;18.121,98;509778158735
2006-02-18;18.900,33;881071556005;18.880,85;1429570251813;18.136,35;1313418778815;17.345,49;177916066316;18.913,40;1440686561936;18.121,98;509778158735
2006-02-19;18.900,33;881071556005;18.880,85;1429570251813;18.136,35;1313418778815;17.345,49;177916066316;18.913,40;1440686561936;18.121,98;509778158735
2006-02-20;18.919,79;883650483494;18.901,81;1432452042365;18.153,77;1314640116308;17.362,72;178363062759;18.938,74;1454391109193;18.150,54;510706006026
2006-02-21;18.985,46;886948145706;18.952,32;1437327444133;18.220,08;1319482935833;17.428,83;179098412163;19.012,37;1460609592188;18.210,83;512393446688
2006-02-22;18.969,76;888467656494;18.942,57;1437880222197;18.199,61;1319005193557;17.402,90;178830398385;18.988,61;1460609950693;18.183,59;511699186850
2006-02-23;19.030,25;892316968144;18.992,79;1442456683439;18.256,28;1328671254433;17.465,42;179526142387;19.049,92;1465581508856;18.248,74;513523525471
2006-02-24;19.063,74;895709061775;19.033,44;1447330371248;18.291,75;1332199092482;17.496,11;179946986117;19.086,07;1468445177695;18.278,46;514865089511
2006-02-25;19.063,74;895709061775;19.033,44;1447330371248;18.291,75;1332199092482;17.496,11;179946986117;19.086,07;1468445177695;18.278,46;514865089511
2006-02-26;19.063,74;895709061775;19.033,44;1447330371248;18.291,75;1332199092482;17.496,11;179946986117;19.086,07;1468445177695;18.278,46;514865089511
2006-02-27;19.126,38;898655803399;19.088,95;1452413951935;18.361,50;1337642734632;17.554,65;180690416899;19.154,61;1475106252414;18.337,75;516837134849
2006-02-28;19.203,37;904590026486;19.170,10;1458138741824;18.440,60;1343161370897;17.625,80;181482735873;19.232,78;1481603584131;18.419,66;519314099533
2006-03-01;19.306,45;915318481183;19.273,27;1466948319059;18.556,17;1355098519743;17.729,62;180256752076;19.346,96;1498547164352;18.533,42;522246592279
