
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2003-01-31;10.334,68;458653510384;10.127,79;644424321377;10.165,41;97857837476;10.216,91;78578420970;10.163,92;815630148306;10.141,74;347649488210;10.265,30;288893149219
2003-02-01;10.334,68;458653510384;10.127,79;644424321377;10.165,41;97857837476;10.216,91;78578420970;10.163,92;815630148306;10.141,74;347649488210;10.265,30;288893149219
2003-02-02;10.334,68;458653510384;10.127,79;644424321377;10.165,41;97857837476;10.216,91;78578420970;10.163,92;815630148306;10.141,74;347649488210;10.265,30;288893149219
2003-02-03;10.362,22;459850638888;10.148,41;645748942013;10.169,27;97859931119;10.230,47;78631402020;10.177,74;825388270016;10.157,75;348145992077;10.284,89;289444548414
2003-02-04;10.361,54;459897645560;10.148,55;645723568556;10.174,48;97908473006;10.229,47;78623794875;10.174,78;824967063209;10.154,65;348029199370;10.285,08;289452187424
2003-02-05;10.421,03;461645660097;10.190,79;648405154524;10.227,32;98410817505;10.273,34;78879661921;10.231,48;829173123064;10.202,68;349624160887;10.336,81;290498376823
2003-02-06;10.403,84;460891098107;10.193,72;648238823998;10.214,83;98376395653;10.275,51;78931888763;10.220,79;828051869391;10.204,34;349605346876;10.335,61;288708302666
2003-02-07;10.416,01;461112765148;10.188,96;647939679752;10.183,59;97434255695;10.268,60;78835548373;10.209,52;827078525076;10.189,56;349033220495;10.330,73;288572150061
2003-02-08;10.416,01;461112765148;10.188,96;647939679752;10.183,59;97434255695;10.268,60;78835548373;10.209,52;827078525076;10.189,56;349033220495;10.330,73;288572150061
2003-02-09;10.416,01;461112765148;10.188,96;647939679752;10.183,59;97434255695;10.268,60;78835548373;10.209,52;827078525076;10.189,56;349033220495;10.330,73;288572150061
2003-02-10;10.385,65;459387148793;10.171,01;645721826432;10.178,10;97375484554;10.253,71;78721887292;10.196,81;825645309907;10.175,68;348335747649;10.323,93;288356881074
2003-02-11;10.387,48;459688508503;10.185,60;646715495228;10.180,83;97477001597;10.262,01;78807960957;10.203,82;825519798297;10.184,79;348666079063;10.334,45;288787297124
2003-02-12;10.389,52;459716761988;10.186,64;646768144377;10.178,17;97380912827;10.265,63;78825782162;10.211,64;826219294055;10.184,96;348722889109;10.329,59;288666979817
2003-02-13;10.401,70;460344433818;10.196,25;647498412143;10.196,56;97643674976;10.270,65;78903056293;10.219,71;826756713725;10.199,46;349448144184;10.340,38;288885343321
2003-02-14;10.378,49;459533998695;10.180,84;646751993886;10.160,13;97398222320;10.249,36;78780716733;10.186,63;824397944960;10.169,83;348607287516;10.321,14;288271989774
