
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-01-01;21.516,29;491622775679;22.975,94;461936429864;20.285,24;633495588570;36.924,52;57851602150;21.265,58;530278900087
2010-01-02;21.516,29;491622775679;22.975,94;461936429864;20.285,24;633495588570;36.924,52;57851602150;21.265,58;530278900087
2010-01-03;21.516,29;491622775679;22.975,94;461936429864;20.285,24;633495588570;36.924,52;57851602150;21.265,58;530278900087
2010-01-04;21.511,81;491492432819;22.970,17;460677691392;20.284,97;632500825321;36.917,06;57743499837;21.264,17;529342205151
2010-01-05;21.524,16;485743971433;22.985,69;459936845873;20.292,31;630819640049;36.927,47;57084211367;21.278,56;527071534409
2010-01-06;21.549,53;485198124713;23.024,73;459728963664;20.350,55;631558836574;36.986,17;57026863282;21.318,83;528456564333
2010-01-07;21.551,22;484945560644;23.041,16;458632463537;20.373,51;630892270901;37.021,19;57098720776;21.325,86;528134403414
2010-01-08;21.571,44;484037835240;23.052,16;456768113570;20.397,05;630669715757;37.053,43;57144961147;21.338,54;526207247565
2010-01-09;21.571,44;484037835240;23.052,16;456768113570;20.397,05;630669715757;37.053,43;57144961147;21.338,54;526207247565
2010-01-10;21.571,44;484037835240;23.052,16;456768113570;20.397,05;630669715757;37.053,43;57144961147;21.338,54;526207247565
2010-01-11;21.582,84;482266490498;23.054,28;454409316379;20.403,43;627135307110;37.046,00;57063516173;21.337,09;525138235352
2010-01-12;21.582,22;480238533593;23.053,81;451607582495;20.403,66;625120267781;37.056,01;57113753246;21.334,58;523099141456
2010-01-13;21.566,90;478027678385;23.029,63;449777253704;20.382,20;624185144827;37.051,83;56844904294;21.327,31;521939851282
2010-01-14;21.560,31;477056273052;23.023,59;447860904915;20.387,84;622857371790;37.023,19;56652797113;21.323,38;520906681100
2010-01-15;21.585,57;474656672109;23.040,36;446748934750;20.410,44;618474093877;37.038,04;56264241604;21.330,13;517584935518
2010-01-16;21.585,57;474656672109;23.040,36;446748934750;20.410,44;618474093877;37.038,04;56264241604;21.330,13;517584935518
2010-01-17;21.585,57;474656672109;23.040,36;446748934750;20.410,44;618474093877;37.038,04;56264241604;21.330,13;517584935518
2010-01-18;21.577,72;472937087753;23.031,54;444501191435;20.403,83;617318056839;37.043,47;56124547832;21.332,89;517257998527
2010-01-19;21.571,66;471898409837;23.036,08;443602240613;20.403,02;614838902038;37.037,38;55949897356;21.323,10;515419369498
2010-01-20;21.572,51;470992361104;23.027,02;440906040534;20.408,34;612230536355;37.034,10;55841140545;21.316,42;513719718737
