
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2014-01-01;26.538,94;6619197235242;30.751,25;5644407607101;29.784,95;8186767790086;29.812,04;192818120573;55.024,67;1026544850237;26.437,22;10074561399009
2014-01-02;26.592,96;6632622426256;30.808,86;5655123028841;29.832,79;8202063094466;29.867,12;193108424532;55.124,42;1028139264005;26.482,94;10092513031996
2014-01-03;26.588,08;6627991071233;30.830,24;5670893100663;29.841,13;8202032710345;29.892,63;195838570144;55.182,24;1025635008543;26.491,55;10094599570485
2014-01-04;26.588,08;6627991071233;30.830,24;5670893100663;29.841,13;8202032710345;29.892,63;195838570144;55.182,24;1025635008543;26.491,55;10094599570485
2014-01-05;26.588,08;6627991071233;30.830,24;5670893100663;29.841,13;8202032710345;29.892,63;195838570144;55.182,24;1025635008543;26.491,55;10094599570485
2014-01-06;26.538,84;6615205216116;30.770,52;5661631563402;29.794,61;8188262446561;29.842,69;195617771274;55.074,46;1023642843972;26.445,29;10076705447927
2014-01-07;26.552,13;6618414609552;30.781,24;5664058734648;29.810,01;8193320746957;29.855,42;195776626221;55.113,45;1028364479779;26.459,81;10083344850121
2014-01-08;26.589,34;6627269551422;30.827,63;5670754617959;29.849,07;8204874850633;29.898,57;196159430679;55.179,64;1029626562796;26.492,81;10096589147789
2014-01-09;26.637,46;6638067295391;30.879,83;5681619151483;29.902,50;8219108593799;29.935,20;196776101530;55.273,28;1031465533767;26.550,26;10118420829586
2014-01-10;26.632,45;6636146206281;30.881,39;5683289500218;29.902,24;8221776228977;29.939,51;197132536550;55.273,35;1031558581967;26.542,42;10115509470757
2014-01-11;26.632,45;6636146206281;30.881,39;5683289500218;29.902,24;8221776228977;29.939,51;197132536550;55.273,35;1031558581967;26.542,42;10115509470757
2014-01-12;26.632,45;6636146206281;30.881,39;5683289500218;29.902,24;8221776228977;29.939,51;197132536550;55.273,35;1031558581967;26.542,42;10115509470757
2014-01-13;26.589,76;6627142583236;30.828,91;5670495379305;29.854,18;8207276735514;29.881,63;196920711971;55.164,68;1028931850808;26.498,65;10101188234471
2014-01-14;26.526,76;6617911958242;30.767,25;5666034278924;29.803,80;8198372325473;29.818,01;197401751649;55.072,50;1028983565175;26.448,22;10094648176200
2014-01-15;26.587,05;6636298416197;30.842,63;5690739839816;29.856,07;8224698535493;29.874,09;203947632733;55.161,19;1028308611688;26.499,15;10128076815423
2014-01-16;26.660,16;6653602479198;30.929,43;5705274769816;29.935,61;8244604454741;29.958,14;204691381451;55.307,71;1030768885803;26.572,73;10155277383233
