
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-01-01;20.932,11;5390116533954;23.675,34;4374167328396;22.895,57;6157385207086;42.626,59;841402040121;20.869,66;8103640042214
2010-01-02;20.932,11;5390116533954;23.675,34;4374167328396;22.895,57;6157385207086;42.626,59;841402040121;20.869,66;8103640042214
2010-01-03;20.932,11;5390116533954;23.675,34;4374167328396;22.895,57;6157385207086;42.626,59;841402040121;20.869,66;8103640042214
2010-01-04;20.954,68;5395836315503;23.707,50;4380241994034;22.912,91;6161566496295;42.655,35;842016570830;20.892,54;8110321552591
2010-01-05;21.052,08;5413966813611;23.824,90;4401348843706;23.026,71;6190764965622;42.815,65;842748289572;20.987,33;8141685179269
2010-01-06;21.171,40;5444942244678;23.977,11;4429866353735;23.154,39;6226579032575;43.026,94;846470617990;21.107,62;8187727750603
2010-01-07;21.179,06;5446378106152;23.984,40;4430732604030;23.174,70;6230727146656;43.039,92;848120807174;21.115,11;8190513360918
2010-01-08;21.168,56;5438980218552;23.957,59;4425366195947;23.172,00;6228380273005;43.041,27;848176988928;21.109,31;8184554645005
2010-01-09;21.168,56;5438980218552;23.957,59;4425366195947;23.172,00;6228380273005;43.041,27;848176988928;21.109,31;8184554645005
2010-01-10;21.168,56;5438980218552;23.957,59;4425366195947;23.172,00;6228380273005;43.041,27;848176988928;21.109,31;8184554645005
2010-01-11;21.219,95;5451062738094;24.004,47;4435091502478;23.231,69;6243810953718;43.136,08;850128342004;21.157,12;8203136888226
2010-01-12;21.281,25;5467598484383;24.061,48;4447074128033;23.297,82;6259173072249;43.239,77;852358953772;21.215,19;8224177661211
2010-01-13;21.230,17;5454027080190;23.985,06;4433791084943;23.236,89;6246399708862;43.164,89;851028898212;21.159,15;8203457430281
2010-01-14;21.209,21;5451862186450;23.961,78;4430781110627;23.218,37;6243521243114;43.149,65;851197328741;21.140,75;8201241020342
2010-01-15;21.271,12;5468673676228;24.027,69;4449464565174;23.293,73;6268579111607;43.247,83;851862431718;21.195,63;8222588493040
2010-01-16;21.271,12;5468673676228;24.027,69;4449464565174;23.293,73;6268579111607;43.247,83;851862431718;21.195,63;8222588493040
2010-01-17;21.271,12;5468673676228;24.027,69;4449464565174;23.293,73;6268579111607;43.247,83;851862431718;21.195,63;8222588493040
2010-01-18;21.220,42;5462851581406;23.969,13;4440140595375;23.228,93;6257304297434;43.146,87;851133170178;21.140,87;8215263919977
2010-01-19;21.227,68;5464466430607;23.971,73;4441239252602;23.240,59;6261506415182;43.170,70;851635423460;21.144,82;8216302591640
