
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2005-02-04;13.930,86;1106313805933;13.248,43;1748489898659;13.298,02;241808215209;13.551,70;2265510151586;13.426,92;802059097233;13.872,86;912785504622
2005-02-05;13.930,86;1106313805933;13.248,43;1748489898659;13.298,02;241808215209;13.551,70;2265510151586;13.426,92;802059097233;13.872,86;912785504622
2005-02-06;13.930,86;1106313805933;13.248,43;1748489898659;13.298,02;241808215209;13.551,70;2265510151586;13.426,92;802059097233;13.872,86;912785504622
2005-02-07;13.946,34;1108371172405;13.264,48;1750829438232;13.319,32;242194997818;13.576,71;2269566579809;13.447,07;803347091533;13.892,47;913970427726
2005-02-08;14.013,14;1114409834708;13.320,43;1757940114173;13.373,91;243404573628;13.635,28;2279431373266;13.505,07;807632240776;13.962,55;918942268756
2005-02-09;14.066,30;1118813162500;13.377,81;1765595320196;13.426,92;244363506262;13.690,58;2279702954823;13.560,45;810994417354;14.012,45;922306324640
2005-02-10;14.069,72;1119576768610;13.390,72;1766722282802;13.433,84;244487848512;13.696,29;2280485642905;13.569,44;811525961820;14.020,05;922991827588
2005-02-11;14.008,15;1114607036157;13.334,61;1760658033433;13.377,50;243426100258;13.639,57;2270987657334;13.513,97;808193824025;13.965,01;919677049248
2005-02-12;14.008,15;1114607036157;13.334,61;1760658033433;13.377,50;243426100258;13.639,57;2270987657334;13.513,97;808193824025;13.965,01;919677049248
2005-02-13;14.008,15;1114607036157;13.334,61;1760658033433;13.377,50;243426100258;13.639,57;2270987657334;13.513,97;808193824025;13.965,01;919677049248
2005-02-14;14.005,18;1114775699123;13.324,33;1759633226486;13.368,23;243306276229;13.633,31;2269906660710;13.505,49;807912245271;13.956,97;919147206702
2005-02-15;14.040,28;1118004179448;13.353,85;1764419552902;13.403,76;243959809195;13.670,53;2276120517237;13.538,85;809898492338;13.990,30;921350947792
2005-02-16;14.076,15;1130589550405;13.389,32;1765860678351;13.441,80;236423729489;13.706,04;2288014635359;13.577,20;810314296536;14.030,30;923853066619
2005-02-17;14.114,01;1135358097001;13.423,60;1771321671367;13.480,75;237103667344;13.742,04;2294123186529;13.615,63;812566044312;14.070,10;927360671207
2005-02-18;14.078,66;1133538224117;13.397,12;1773158149484;13.451,07;242918910059;13.714,52;2289536625452;13.583,99;810614851339;14.040,22;927579772353
2005-02-19;14.078,66;1133538224117;13.397,12;1773158149484;13.451,07;242918910059;13.714,52;2289536625452;13.583,99;810614851339;14.040,22;927579772353
2005-02-20;14.078,66;1133538224117;13.397,12;1773158149484;13.451,07;242918910059;13.714,52;2289536625452;13.583,99;810614851339;14.040,22;927579772353
2005-02-21;14.095,81;1136490425338;13.412,99;1775254504899;13.468,28;243229834016;13.729,73;2293437522582;13.597,12;812316940403;14.057,65;928976200318
2005-02-22;14.114,55;1138693560139;13.425,73;1777035922936;13.484,69;243528037531;13.745,69;2296454256195;13.613,08;813522565617;14.076,00;930197613665
2005-02-23;14.117,19;1139481476814;13.434,15;1780910293817;13.494,50;243722285840;13.749,68;2300989855730;13.620,76;813720270923;14.080,90;931256173126
2005-02-24;14.157,64;1143067096540;13.473,50;1787408597619;13.537,18;244623156660;13.793,25;2312707162475;13.661,49;818480222392;14.124,62;934596899671
2005-02-25;14.179,20;1145512260590;13.489,99;1789676861880;13.552,88;245055758133;13.810,75;2317434174495;13.680,33;819596762327;14.143,69;936338221665
2005-02-26;14.179,20;1145512260590;13.489,99;1789676861880;13.552,88;245055758133;13.810,75;2317434174495;13.680,33;819596762327;14.143,69;936338221665
2005-02-27;14.179,20;1145512260590;13.489,99;1789676861880;13.552,88;245055758133;13.810,75;2317434174495;13.680,33;819596762327;14.143,69;936338221665
2005-02-28;14.303,32;1154801301884;13.607,28;1807150820786;13.666,52;246964479226;13.934,50;2342346863772;13.795,80;827054950101;14.261,58;942199231334

Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2005-03-01;14.262,16;942243346871;14.298,91;1154436176728;13.603,31;1806707189123;13.665,37;246942701163;13.932,69;2342004598729;13.793,40;826889340393
2005-03-02;14.354,89;948354101737;14.389,11;1161826889192;13.688,85;1818035660052;13.752,32;248524604155;14.023,47;2357375410461;13.879,28;832025389985
2005-03-03;14.425,92;952936343089;14.464,87;1168659863748;13.758,04;1829630704637;13.815,47;249668300153;14.088,84;2368276039421;13.944,01;835911313859
2005-03-04;14.380,56;951279359914;14.416,74;1165646730974;13.718,60;1824421328762;13.774,73;248932138188;14.043,39;2356817118276;13.900,50;833524105696
2005-03-05;14.380,56;951279359914;14.416,74;1165646730974;13.718,60;1824421328762;13.774,73;248932138188;14.043,39;2356817118276;13.900,50;833524105696
2005-03-06;14.380,56;951279359914;14.416,74;1165646730974;13.718,60;1824421328762;13.774,73;248932138188;14.043,39;2356817118276;13.900,50;833524105696
2005-03-07;14.414,00;953502691674;14.452,49;1168915952360;13.753,88;1829368935026;13.808,15;249527801327;14.078,14;2363195035450;13.934,58;835526895373
2005-03-08;14.423,20;954111782346;14.471,27;1171218035494;13.754,12;1829278447467;13.816,52;249679125209;14.088,38;2364916475863;13.942,30;836459753784
2005-03-09;14.470,79;957474647296;14.510,23;1174479956931;13.818,13;1837904250995;13.862,01;250499226851;14.133,59;2372499721062;13.994,86;839732759708
2005-03-10;14.525,54;961141971424;14.561,14;1178875075394;13.873,92;1845528035667;13.916,93;251797438497;14.186,28;2381808142817;14.048,18;842926680788
2005-03-11;14.475,29;957881245675;14.508,64;1174972552825;13.820,60;1838504209770;13.867,15;250892510534;14.134,03;2372932882691;13.996,95;839846240698
2005-03-12;14.475,29;957881245675;14.508,64;1174972552825;13.820,60;1838504209770;13.867,15;250892510534;14.134,03;2372932882691;13.996,95;839846240698
2005-03-13;14.475,29;957881245675;14.508,64;1174972552825;13.820,60;1838504209770;13.867,15;250892510534;14.134,03;2372932882691;13.996,95;839846240698
2005-03-14;14.406,78;953427065547;14.445,94;1170256288205;13.754,58;1829824054291;13.800,51;249681377746;14.064,09;2361280046036;13.933,58;836057537380
2005-03-15;14.410,72;953784808491;14.448,75;1171599096506;13.766,13;1831352872183;13.806,84;249813552309;14.075,47;2363161140236;13.943,72;836875153699
2005-03-16;14.357,46;948099808772;14.402,04;1174944363180;13.710,62;1821445784007;13.748,66;243101551623;14.015,90;2353140128977;13.888,52;833760850579
2005-03-17;14.350,07;949524558175;14.398,50;1175205727567;13.707,23;1823434773920;13.743,55;249430895962;14.013,12;2352607870700;13.883,06;833403672677
2005-03-18;14.311,11;948626154027;14.351,99;1173403712974;13.664,51;1823673356526;13.704,41;248953113377;13.966,89;2348108027502;13.842,32;830975826009
2005-03-19;14.311,11;948626154027;14.351,99;1173403712974;13.664,51;1823673356526;13.704,41;248953113377;13.966,89;2348108027502;13.842,32;830975826009
2005-03-20;14.311,11;948626154027;14.351,99;1173403712974;13.664,51;1823673356526;13.704,41;248953113377;13.966,89;2348108027502;13.842,32;830975826009
2005-03-21;14.281,93;946583816154;14.324,00;1172314371132;13.629,62;1820844243591;13.672,91;248376641311;13.936,95;2346969821549;13.813,30;830984298564
2005-03-22;14.342,82;950622136314;14.384,82;1177667366969;13.690,63;1829147155312;13.731,80;249439085282;13.995,21;2357092642242;13.872,45;835378100545
2005-03-23;14.291,44;947667571613;14.322,66;1174237995074;13.643,04;1822584479205;13.690,68;248806359157;13.945,22;2349115013292;13.822,07;832382664017
2005-03-24;14.284,40;947519244912;14.314,75;1174599034699;13.638,06;1825505521203;13.680,98;248787535757;13.941,40;2351766462323;13.820,48;832273799794
2005-03-25;14.284,40;947519244912;14.314,75;1174599034699;13.638,06;1825505521203;13.680,98;248787535757;13.941,40;2351766462323;13.820,48;832273799794
2005-03-26;14.284,40;947519244912;14.314,75;1174599034699;13.638,06;1825505521203;13.680,98;248787535757;13.941,40;2351766462323;13.820,48;832273799794
2005-03-27;14.284,40;947519244912;14.314,75;1174599034699;13.638,06;1825505521203;13.680,98;248787535757;13.941,40;2351766462323;13.820,48;832273799794
2005-03-28;14.197,47;941571599975;14.235,41;1169684192219;13.549,39;1815059200286;13.596,10;247293825862;13.856,54;2341171578204;13.733,82;829518548190
2005-03-29;14.243,70;944808131004;14.281,48;1174245175300;13.591,67;1820617070644;13.643,57;248256762179;13.899,89;2349386112919;13.781,26;832355515643
2005-03-30;14.245,84;944907137675;14.277,72;1174416757392;13.589,75;1820424899208;13.642,08;248364471030;13.897,07;2350075829964;13.778,40;832170968405
2005-03-31;14.195,02;940229503045;14.223,60;1167896710132;13.547,90;1816556876327;13.595,52;247149664222;13.850,16;2342281083249;13.729,98;829615057122
2005-04-01;14.223,28;942101362459;14.269,82;1171666120455;13.575,30;1820240918063;13.623,03;247601442946;13.884,03;2347903820337;13.759,50;831384551343
2005-04-02;14.223,28;942101362459;14.269,82;1171666120455;13.575,30;1820240918063;13.623,03;247601442946;13.884,03;2347903820337;13.759,50;831384551343
2005-04-03;14.223,28;942101362459;14.269,82;1171666120455;13.575,30;1820240918063;13.623,03;247601442946;13.884,03;2347903820337;13.759,50;831384551343
2005-04-04;14.258,14;944412004763;14.293,72;1173705548040;13.608,99;1824632000798;13.659,42;248261035503;13.919,75;2353743018257;13.795,14;833704549804
2005-04-05;14.285,48;946220112521;14.324,51;1177090493057;13.630,84;1827790991297;13.675,68;248556943623;13.935,32;2356356412356;13.822,11;835529163171
2005-04-06;14.237,85;942475588958;14.284,51;1174725477375;13.599,71;1823543842515;13.644,80;247998521155;13.900,12;2350461227703;13.787,78;833458297910
2005-04-07;14.268,73;944346330136;14.304,11;1177025733567;13.623,54;1831113732623;13.664,61;248349136454;13.918,25;2353513045386;13.809,80;834884765358
2005-04-08;14.269,28;945105958824;14.304,63;1178645998835;13.621,44;1830594073165;13.661,37;248391895029;13.919,88;2352095827527;13.806,32;834651032465
2005-04-09;14.269,28;945105958824;14.304,63;1178645998835;13.621,44;1830594073165;13.661,37;248391895029;13.919,88;2352095827527;13.806,32;834651032465
2005-04-10;14.269,28;945105958824;14.304,63;1178645998835;13.621,44;1830594073165;13.661,37;248391895029;13.919,88;2352095827527;13.806,32;834651032465
2005-04-11;14.328,41;949017931181;14.368,88;1184222405209;13.683,79;1838924981028;13.716,09;249382959663;13.977,64;2361824331463;13.862,52;838037201020
2005-04-12;14.325,61;948845596263;14.361,89;1184500308886;13.683,19;1838386370167;13.715,02;249382868981;13.974,76;2364694866107;13.860,70;838049066489
2005-04-13;14.363,05;951172657500;14.399,72;1188077886466;13.714,87;1843407599468;13.747,61;250004398364;14.003,65;2361071752886;13.897,87;840229669189
2005-04-14;14.348,05;950139171684;14.378,80;1186698564670;13.696,01;1843230660761;13.732,97;249745522111;13.986,49;2358082768817;13.883,39;839349067795
2005-04-15;14.351,61;949227154588;14.393,09;1195301418370;13.708,03;1843574558706;13.737,26;245100047506;13.992,41;2358089115104;13.889,81;838173327914
2005-04-16;14.351,61;949227154588;14.393,09;1195301418370;13.708,03;1843574558706;13.737,26;245100047506;13.992,41;2358089115104;13.889,81;838173327914
2005-04-17;14.351,61;949227154588;14.393,09;1195301418370;13.708,03;1843574558706;13.737,26;245100047506;13.992,41;2358089115104;13.889,81;838173327914
2005-04-18;14.263,91;946484590024;14.307,08;1189162551410;13.625,52;1838485267527;13.651,33;248515634122;13.908,49;2347235511871;13.803,29;833357135331
2005-04-19;14.229,15;945106261308;14.268,35;1187045176250;13.598,32;1834835917413;13.624,80;248032230948;13.874,43;2341730403659;13.775,22;832223055546
2005-04-20;14.135,09;938887658608;14.168,51;1179828023015;13.505,43;1822312777607;13.530,86;246322865019;13.781,92;2330129465223;13.683,18;826689019448
2005-04-21;14.219,39;944612816887;14.255,19;1187550251493;13.583,44;1834749705302;13.610,87;247795149381;13.862,02;2344881538556;13.764,13;831493057977
2005-04-22;14.213,10;944025006374;14.243,56;1187414034756;13.580,98;1837618574941;13.607,49;247867929901;13.860,65;2345707155701;13.758,92;831025885913
2005-04-23;14.213,10;944025006374;14.243,56;1187414034756;13.580,98;1837618574941;13.607,49;247867929901;13.860,65;2345707155701;13.758,92;831025885913
2005-04-24;14.213,10;944025006374;14.243,56;1187414034756;13.580,98;1837618574941;13.607,49;247867929901;13.860,65;2345707155701;13.758,92;831025885913
2005-04-25;14.218,88;944381681886;14.259,93;1189373241747;13.581,56;1839819472512;13.610,75;247981673786;13.864,79;2349143687892;13.759,60;834004448778
2005-04-26;14.227,11;945360238720;14.266,01;1190494286718;13.597,60;1841991119478;13.617,35;248231483390;13.876,85;2352948787073;13.778,45;835153040870
2005-04-27;14.283,21;947801737346;14.326,65;1196413531925;13.644,00;1848343325744;13.656,18;249192079069;13.924,22;2362011501424;13.828,34;838170584246
2005-04-28;14.243,39;945243280011;14.284,28;1193619594845;13.609,86;1845192367833;13.619,26;248660539070;13.884,81;2357718614122;13.791,61;835922697811
2005-04-29;14.209,10;941200406943;14.260,72;1190049825558;13.574,06;1840009094559;13.584,26;247314064906;13.860,14;2353803874417;13.756,24;834411429676
2005-04-30;14.209,10;941200406943;14.260,72;1190049825558;13.574,06;1840009094559;13.584,26;247314064906;13.860,14;2353803874417;13.756,24;834411429676
2005-05-01;14.209,10;941200406943;14.260,72;1190049825558;13.574,06;1840009094559;13.584,26;247314064906;13.860,14;2353803874417;13.756,24;834411429676
2005-05-02;14.139,90;936616970279;14.181,98;1183471910229;13.510,07;1831278291160;13.519,36;246130790766;13.796,32;2342894457307;13.687,66;830242827194
2005-05-03;14.159,41;937919667499;14.209,48;1185752236791;13.526,78;1833512449103;13.538,20;246474055869;13.816,13;2338130001216;13.707,65;831221781184
2005-05-04;14.179,91;939168662534;14.229,89;1187506202104;13.547,51;1836293874779;13.557,54;246822875320;13.832,49;2340724167392;13.728,30;832686261014
2005-05-05;14.200,06;940290825932;14.247,27;1189074277827;13.569,67;1839243813637;13.579,50;247221832696;13.858,17;2345189494594;13.747,54;833852040707
2005-05-06;14.270,85;944969481729;14.318,25;1195018807471;13.632,20;1849823026008;13.648,84;248494954301;13.925,98;2357171882906;13.821,01;838238066483
2005-05-07;14.270,85;944969481729;14.318,25;1195018807471;13.632,20;1849823026008;13.648,84;248494954301;13.925,98;2357171882906;13.821,01;838238066483
2005-05-08;14.270,85;944969481729;14.318,25;1195018807471;13.632,20;1849823026008;13.648,84;248494954301;13.925,98;2357171882906;13.821,01;838238066483
2005-05-09;14.272,64;945045759315;14.324,81;1195766287591;13.634,88;1850104270487;13.646,57;248452628736;13.922,18;2359261400131;13.821,65;838439011299
2005-05-10;14.343,50;949869439305;14.392,68;1201681852582;13.714,31;1860800943069;13.712,40;249821959662;13.989,78;2370688876019;13.891,68;842630182350
2005-05-11;14.345,55;949998384900;14.405,34;1203245604668;13.713,31;1860685026799;13.713,40;249851954645;13.992,94;2371557030895;13.893,94;842754534264
2005-05-12;14.307,57;947663333256;14.361,78;1199666541464;13.678,97;1856499350603;13.672,70;249128069847;13.952,38;2365334339927;13.852,48;840383900026
2005-05-13;14.260,74;944484675076;14.318,31;1196359033433;13.619,88;1849155124334;13.624,47;248272032759;13.901,06;2356829286876;13.806,48;837586146009
2005-05-14;14.260,74;944484675076;14.318,31;1196359033433;13.619,88;1849155124334;13.624,47;248272032759;13.901,06;2356829286876;13.806,48;837586146009
2005-05-15;14.260,74;944484675076;14.318,31;1196359033433;13.619,88;1849155124334;13.624,47;248272032759;13.901,06;2356829286876;13.806,48;837586146009
2005-05-16;14.210,52;941151238805;14.268,27;1192682660280;13.572,58;1842817743310;13.573,23;247336864590;13.851,99;2348370725049;13.754,40;834414373360
2005-05-17;14.193,64;940025881870;14.255,92;1203872749014;13.559,31;1845664271377;13.555,13;238281616494;13.828,69;2340709895899;13.735,86;829854868026
2005-05-18;14.185,48;942544057652;14.252,09;1205609927498;13.539,96;1843066366782;13.542,09;244885693335;13.818,68;2341818531831;13.724,08;830371219114
2005-05-19;14.233,32;945873330945;14.292,19;1209922354621;13.593,16;1850314713777;13.596,96;246137435066;13.868,05;2351409133856;13.779,26;833684958771
2005-05-20;14.260,69;947382589602;14.322,46;1212941412751;13.619,54;1853022894109;13.622,06;246591495596;13.893,70;2359245209643;13.802,57;835214911106
2005-05-21;14.260,69;947382589602;14.322,46;1212941412751;13.619,54;1853022894109;13.622,06;246591495596;13.893,70;2359245209643;13.802,57;835214911106
2005-05-22;14.260,69;947382589602;14.322,46;1212941412751;13.619,54;1853022894109;13.622,06;246591495596;13.893,70;2359245209643;13.802,57;835214911106
2005-05-23;14.260,69;947382589602;14.322,46;1212941412751;13.619,54;1853022894109;13.622,06;246591495596;13.893,70;2359245209643;13.802,57;835214911106
2005-05-24;14.340,71;952698746227;14.404,25;1220229186480;13.703,44;1864403370885;13.696,32;247936331887;13.972,85;2375120297022;13.887,43;840311664710
2005-05-25;14.296,68;950062738500;14.358,88;1217577058096;13.663,30;1861225650782;13.655,04;247329397227;13.931,55;2368034977767;13.844,83;837759007534
2005-05-26;14.313,86;951511888471;14.376,20;1219581054825;13.685,19;1863514285129;13.669,70;247760140895;13.945,02;2371297673143;13.859,02;841606617677
