
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2014-01-01;29.010,94;1963684915500;30.735,89;2926064189952;27.532,53;2858946727680;31.032,48;150351491165;48.649,86;157374590650;28.274,39;2059917119594
2014-01-02;29.028,05;1961634067610;30.754,94;2926581030951;27.541,66;2852476375596;31.043,30;150407766490;48.668,99;157326033007;28.285,99;2054692114334
2014-01-03;29.022,16;1950944902109;30.752,34;2909769307642;27.535,20;2824633435135;31.042,00;149664766701;48.665,58;154900129051;28.288,33;2052115927541
2014-01-04;29.022,16;1950944902109;30.752,34;2909769307642;27.535,20;2824633435135;31.042,00;149664766701;48.665,58;154900129051;28.288,33;2052115927541
2014-01-05;29.022,16;1950944902109;30.752,34;2909769307642;27.535,20;2824633435135;31.042,00;149664766701;48.665,58;154900129051;28.288,33;2052115927541
2014-01-06;29.033,35;1943712195036;30.754,38;2902106046841;27.542,53;2814223501672;31.062,90;148974120319;48.677,52;154219441141;28.295,74;2048880569889
2014-01-07;29.055,13;1942920259610;30.768,12;2902262021191;27.557,64;2813731929876;31.087,69;148983020760;48.707,73;156284156243;28.304,81;2046218400907
2014-01-08;29.095,74;1944865415358;30.826,38;2899954756952;27.606,74;2816804084612;31.129,03;149049676786;48.779,47;156557773712;28.338,76;2047022384822
2014-01-09;29.125,73;1945229082269;30.858,58;2902040114583;27.640,60;2818327834811;31.146,28;149080524984;48.831,04;156737060216;28.385,29;2050372091097
2014-01-10;29.153,57;1945302209439;30.895,30;2901156612759;27.664,87;2819937876637;31.165,15;149042774984;48.872,30;156675388964;28.399,02;2049281601254
2014-01-11;29.153,57;1945302209439;30.895,30;2901156612759;27.664,87;2819937876637;31.165,15;149042774984;48.872,30;156675388964;28.399,02;2049281601254
2014-01-12;29.153,57;1945302209439;30.895,30;2901156612759;27.664,87;2819937876637;31.165,15;149042774984;48.872,30;156675388964;28.399,02;2049281601254
2014-01-13;29.171,61;1946555544425;30.923,58;2900803062489;27.689,86;2818843045833;31.186,83;149004916679;48.906,85;156699436684;28.418,99;2050205588535
2014-01-14;29.160,30;1947482297436;30.917,08;2905689013371;27.687,08;2821214016997;31.173,76;149010343846;48.895,28;157001360829;28.419,07;2052690327874
2014-01-15;29.209,45;1956007460251;30.992,44;2929953719819;27.742,70;2841545304033;31.221,48;152951938104;48.991,39;156105739828;28.469,47;2066518608913
2014-01-16;29.224,63;1961402945346;31.008,50;2942826546102;27.757,14;2853354720212;31.232,24;153348191597;49.015,31;156284489235;28.474,72;2071086192080
2014-01-17;29.240,24;1964605890823;31.021,49;2947312539848;27.769,82;2861784974039;31.250,36;153153052496;49.045,38;157844070957;28.491,81;2073006178638
2014-01-18;29.240,24;1964605890823;31.021,49;2947312539848;27.769,82;2861784974039;31.250,36;153153052496;49.045,38;157844070957;28.491,81;2073006178638
2014-01-19;29.240,24;1964605890823;31.021,49;2947312539848;27.769,82;2861784974039;31.250,36;153153052496;49.045,38;157844070957;28.491,81;2073006178638
2014-01-20;29.276,18;1967833832380;31.057,68;2952864801424;27.803,65;2866002764559;31.290,55;153576302693;49.096,19;157948255797;28.518,92;2076602875261
2014-01-21;29.306,07;1969932197651;31.085,32;2956855855522;27.833,83;2869026726068;31.317,87;153475107091;49.139,13;158339502894;28.542,15;2079192008738
2014-01-22;29.352,91;1974354462174;31.148,08;2963843782978;27.894,16;2877491166031;31.354,31;153707623980;49.228,24;158783842007;28.601,14;2085239432502
2014-01-23;29.391,51;1977445631422;31.200,56;2971178971760;27.933,67;2881566498647;31.380,45;154022384680;49.294,68;158904099595;28.632,56;2089034062332
2014-01-24;29.394,24;1978566331515;31.202,91;2972779646873;27.937,74;2886012878901;31.391,71;154311159530;49.306,03;158999173575;28.632,73;2091146742796
2014-01-25;29.394,24;1978566331515;31.202,91;2972779646873;27.937,74;2886012878901;31.391,71;154311159530;49.306,03;158999173575;28.632,73;2091146742796
2014-01-26;29.394,24;1978566331515;31.202,91;2972779646873;27.937,74;2886012878901;31.391,71;154311159530;49.306,03;158999173575;28.632,73;2091146742796
2014-01-27;29.416,81;1981313575551;31.225,34;2973835850248;27.952,99;2887301948946;31.401,81;154267299078;49.334,87;159234281163;28.691,93;2097793814243
2014-01-28;29.426,42;1981332971370;31.247,43;2975921581772;27.962,83;2889063321353;31.400,31;154378412003;49.349,72;159166505539;28.689,21;2101766029183
2014-01-29;29.432,42;1984323316469;31.265,47;2980826875949;27.968,28;2891492738722;31.404,90;154698361718;49.357,25;159195823368;28.689,45;2104167571243
2014-01-30;29.455,76;2081660795412;31.294,41;3132996548615;27.990,33;3037556867920;31.408,29;162503622210;49.396,77;160685941634;28.707,81;2176546466831
2014-01-31;29.506,26;2185067507096;31.349,38;3286344217442;28.048,07;3188740265756;31.446,50;170461979947;49.521,39;162331138118;28.794,29;2250121184342
2014-02-01;29.506,26;2185067507096;31.349,38;3286344217442;28.048,07;3188740265756;31.446,50;170461979947;49.521,39;162331138118;28.794,29;2250121184342
2014-02-02;29.506,26;2185067507096;31.349,38;3286344217442;28.048,07;3188740265756;31.446,50;170461979947;49.521,39;162331138118;28.794,29;2250121184342
2014-02-03;29.517,97;2239488256937;31.371,31;3445911061280;28.061,48;3335801109645;31.458,43;178628682289;49.554,45;162699107941;28.818,02;2273402548052
2014-02-04;29.507,22;2248219849921;31.359,59;3613344761381;28.043,45;3490175985387;31.443,43;188322625079;49.533,60;161082837895;28.808,23;2284537161252
2014-02-05;29.528,60;2257672818487;31.374,72;3660091287538;28.056,22;3637390740077;31.460,03;193048623677;49.556,91;161294428283;28.823,41;2293533830743
2014-02-06;29.536,05;2264413257284;31.381,10;3673586782778;28.067,23;3651480746825;31.471,18;194542345010;49.572,30;161573445539;28.832,67;2298992777947
2014-02-07;29.554,50;2274050311945;31.411,62;3693311591516;28.084,93;3668465973400;31.500,19;195617882167;49.603,95;163388535928;28.851,59;2306257972375
2014-02-08;29.554,50;2274050311945;31.411,62;3693311591516;28.084,93;3668465973400;31.500,19;195617882167;49.603,95;163388535928;28.851,59;2306257972375
2014-02-09;29.554,50;2274050311945;31.411,62;3693311591516;28.084,93;3668465973400;31.500,19;195617882167;49.603,95;163388535928;28.851,59;2306257972375
2014-02-10;29.575,49;2278319118954;31.442,74;3704248471199;28.112,32;3678098791025;31.530,59;196333875789;49.647,52;163287263516;28.879,82;2311364903737
2014-02-11;29.577,31;2281307119613;31.448,91;3706478520079;28.115,01;3680332776941;31.525,25;196567466580;49.658,89;163402934008;28.898,95;2315618681223
2014-02-12;29.577,78;2285729934798;31.460,10;3709828796757;28.129,47;3689237109573;31.529,30;196916599775;49.659,28;163686282934;28.904,27;2319032735762
2014-02-13;29.585,27;2287731425624;31.469,82;3714846769394;28.124,39;3691348772288;31.541,97;198568612410;49.666,63;163480776983;28.909,63;2322070999729
2014-02-14;29.597,68;2291393641249;31.484,74;3722961267933;28.132,07;3698712740481;31.558,98;199176236623;49.692,48;163942959025;28.928,88;2326521142775
2014-02-15;29.597,68;2291393641249;31.484,74;3722961267933;28.132,07;3698712740481;31.558,98;199176236623;49.692,48;163942959025;28.928,88;2326521142775
2014-02-16;29.597,68;2291393641249;31.484,74;3722961267933;28.132,07;3698712740481;31.558,98;199176236623;49.692,48;163942959025;28.928,88;2326521142775
2014-02-17;29.613,74;2293298122481;31.509,23;3727382392342;28.162,48;3692609657079;31.571,70;199517167721;49.718,23;164159295075;28.951,27;2328798422755
2014-02-18;29.616,13;2295844823349;31.514,30;3731991817453;28.171,94;3684845973648;31.583,94;201002437602;49.730,23;163026582228;28.962,02;2331458139880
2014-02-19;29.633,37;2296930638358;31.523,55;3730555999470;28.175,54;3681987366519;31.602,62;200768469011;49.751,90;163256221802;28.972,58;2333216218977
2014-02-20;29.652,02;2296475471872;31.539,37;3728267265651;28.193,68;3679130435703;31.620,80;200637762017;49.781,69;163335306785;28.991,25;2335287188995
2014-02-21;29.663,03;2298516104985;31.554,45;3728060873064;28.205,77;3678057072126;31.634,18;200384075458;49.804,88;165717399915;29.010,24;2336815544813
2014-02-22;29.663,03;2298516104985;31.554,45;3728060873064;28.205,77;3678057072126;31.634,18;200384075458;49.804,88;165717399915;29.010,24;2336815544813
2014-02-23;29.663,03;2298516104985;31.554,45;3728060873064;28.205,77;3678057072126;31.634,18;200384075458;49.804,88;165717399915;29.010,24;2336815544813
2014-02-24;29.660,38;2299301282647;31.543,59;3729148715502;28.201,47;3680827041412;31.644,21;200548748382;49.794,79;165697304694;29.001,91;2338891528506
2014-02-25;29.664,86;2300390854780;31.539,04;3732123161850;28.205,93;3682653275725;31.650,41;200684926314;49.791,35;165547562494;28.988,72;2338988536267
2014-02-26;29.641,39;2299402223913;31.507,81;3728125750693;28.173,61;3679687237374;31.656,07;200793401334;49.751,97;165423846164;28.973,63;2340372640194
2014-02-27;29.635,00;2298186473683;31.489,34;3728679495609;28.164,08;3680337851444;31.669,25;200825043165;49.736,48;164603946518;28.968,79;2342711744376
2014-02-28;29.620,24;2295928180045;31.468,60;3711841502356;28.137,78;3659591439847;31.646,24;199667111780;49.698,92;164459695983;28.950,46;2336298240113
2014-03-01;29.620,24;2295928180045;31.468,60;3711841502356;28.137,78;3659591439847;31.646,24;199667111780;49.698,92;164459695983;28.950,46;2336298240113
2014-03-02;29.620,24;2295928180045;31.468,60;3711841502356;28.137,78;3659591439847;31.646,24;199667111780;49.698,92;164459695983;28.950,46;2336298240113
2014-03-03;29.611,32;2291966183555;31.461,31;3705034379655;28.136,26;3654565687555;31.649,36;198989035115;49.697,56;164274565147;28.954,69;2335353386921
