
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2003-01-31;14.342,20;401000598234;12.399,18;468630580943;23.882,67;63331157580;13.802,80;14602412399;13.650,90;322008566249;13.607,78;128846535791;14.143,05;103773295407
2003-02-01;14.342,20;401000598234;12.399,18;468630580943;23.882,67;63331157580;13.802,80;14602412399;13.650,90;322008566249;13.607,78;128846535791;14.143,05;103773295407
2003-02-02;14.342,20;401000598234;12.399,18;468630580943;23.882,67;63331157580;13.802,80;14602412399;13.650,90;322008566249;13.607,78;128846535791;14.143,05;103773295407
2003-02-03;14.364,28;401581938280;12.422,73;469526150340;23.924,87;63420856834;13.813,05;14613248707;13.662,99;323030843603;13.616,75;128928828430;14.165,20;103935802894
2003-02-04;14.362,72;400790968888;12.416,92;469138551032;23.901,32;63356645201;13.808,18;14608098593;13.660,25;322898661065;13.614,28;128903317944;14.163,66;103900044253
2003-02-05;14.417,90;402249667224;12.458,99;470717431564;24.034,57;63707261983;13.848,46;14657962926;13.702,88;323935305595;13.659,01;129352694834;14.216,10;104161820323
2003-02-06;14.417,82;402468414454;12.457,06;470247487895;24.040,68;63764521102;13.847,83;14657293818;13.702,96;323793407262;13.669,72;129451377742;14.217,87;103999788260
2003-02-07;14.400,88;401743237723;12.452,54;470072646637;23.966,31;63463190203;13.835,22;14643942976;13.693,61;323568696876;13.646,34;129161907809;14.206,10;104691791154
2003-02-08;14.400,88;401743237723;12.452,54;470072646637;23.966,31;63463190203;13.835,22;14643942976;13.693,61;323568696876;13.646,34;129161907809;14.206,10;104691791154
2003-02-09;14.400,88;401743237723;12.452,54;470072646637;23.966,31;63463190203;13.835,22;14643942976;13.693,61;323568696876;13.646,34;129161907809;14.206,10;104691791154
2003-02-10;14.393,74;401074884312;12.435,33;468442527690;23.975,93;63486810932;13.826,71;14614546680;13.677,58;322974707043;13.642,82;128978141465;14.201,38;104656897534
2003-02-11;14.402,17;401371757267;12.452,86;468639995961;24.003,41;63589866475;13.844,26;14633097915;13.690,57;322628063421;13.657,04;129216019421;14.227,46;104886723825
2003-02-12;14.398,54;401237616807;12.456,49;468770847482;23.968,78;63375074269;13.856,04;14705509421;13.698,38;322744862045;13.661,36;129260832042;14.210,19;104743575192
