
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2008-01-01;21.591,04;1538206102639;21.317,60;2435993992367;20.613,46;3274756468260;20.661,91;335348311634;20.735,82;3630680297647;20.861,94;1227738888486
2008-01-02;21.606,97;1539340546905;21.340,33;2438557741272;20.630,04;3277140421705;20.677,00;335593236332;20.757,76;3634128535216;20.877,68;1228584406707
2008-01-03;21.583,14;1533033640025;21.316,14;2442201335918;20.603,81;3271016920586;20.660,48;332520373935;20.724,16;3623430226124;20.852,48;1226848628955
2008-01-04;21.448,39;1523485921130;21.169,60;2424040703756;20.462,22;3248588424575;20.511,11;333183706401;20.611,24;3590434391886;20.714,72;1218816291593
2008-01-05;21.448,39;1523485921130;21.169,60;2424040703756;20.462,22;3248588424575;20.511,11;333183706401;20.611,24;3590434391886;20.714,72;1218816291593
2008-01-06;21.448,39;1523485921130;21.169,60;2424040703756;20.462,22;3248588424575;20.511,11;333183706401;20.611,24;3590434391886;20.714,72;1218816291593
2008-01-07;21.318,91;1514208657741;21.060,54;2411144077471;20.333,14;3226306470459;20.379,63;331066009343;20.463,02;3564951676134;20.580,83;1210704731076
2008-01-08;21.168,31;1503114690058;20.920,83;2395042065732;20.173,05;3200584061753;20.231,05;328648451071;20.344,05;3544108170788;20.435,71;1202150231866
2008-01-09;21.096,20;1498258172708;20.850,01;2387005907422;20.127,86;3193460592640;20.167,73;327719194675;20.285,27;3533544570880;20.368,38;1198122571044
2008-01-10;21.005,48;1492104225196;20.771,14;2378194537641;20.017,92;3175390230184;20.043,86;325700553626;20.203,39;3519754967153;20.277,24;1192856265029
2008-01-11;21.003,87;1491952016357;20.790,58;2380908908197;20.054,84;3182293608328;20.066,26;326077150589;20.235,50;3525999309673;20.287,78;1193506824387
2008-01-12;21.003,87;1491952016357;20.790,58;2380908908197;20.054,84;3182293608328;20.066,26;326077150589;20.235,50;3525999309673;20.287,78;1193506824387
2008-01-13;21.003,87;1491952016357;20.790,58;2380908908197;20.054,84;3182293608328;20.066,26;326077150589;20.235,50;3525999309673;20.287,78;1193506824387
