
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2007-02-03;20.120,58;2391698026855;20.250,94;3580147667959;19.214,21;5131180748921;36.308,60;823452516338;18.052,58;7078835659616;18.079,57;2555498436857
2007-02-04;20.120,58;2391698026855;20.250,94;3580147667959;19.214,21;5131180748921;36.308,60;823452516338;18.052,58;7078835659616;18.079,57;2555498436857
2007-02-05;20.264,33;2407197951775;20.401,58;3604620944015;19.357,36;5168386111774;36.594,34;828160871842;18.186,61;7117394535684;18.211,42;2574063966427
2007-02-06;20.307,40;2411212320473;20.446,84;3611792617301;19.397,42;5179013621621;36.670,34;829926950979;18.223,42;7131687906116;18.254,21;2577795326789
2007-02-07;20.339,65;2414283413881;20.478,11;3616187903656;19.430,72;5184010200358;36.731,41;831313455763;18.254,85;7142742288758;18.284,99;2582189895621
2007-02-08;20.421,72;2423719955730;20.555,08;3628000494344;19.513,70;5204716248060;36.873,82;834342322423;18.323,88;7168436035511;18.354,84;2592042113115
2007-02-09;20.461,48;2429564815267;20.589,72;3633653410950;19.547,78;5210821133470;36.943,03;834934407386;18.362,39;7181528945880;18.392,32;2596687363653
2007-02-10;20.461,48;2429564815267;20.589,72;3633653410950;19.547,78;5210821133470;36.943,03;834934407386;18.362,39;7181528945880;18.392,32;2596687363653
2007-02-11;20.461,48;2429564815267;20.589,72;3633653410950;19.547,78;5210821133470;36.943,03;834934407386;18.362,39;7181528945880;18.392,32;2596687363653
2007-02-12;20.452,94;2427872644752;20.565,77;3629418556017;19.537,99;5206090632068;36.924,16;834484980628;18.350,29;7175417664132;18.384,14;2593273242305
2007-02-13;20.481,61;2431115256723;20.580,67;3629273038882;19.565,66;5212944812003;36.972,42;835602207052;18.379,53;7186007531767;18.409,03;2596896837047
2007-02-14;20.444,36;2426927239647;20.539,26;3622691673346;19.530,11;5204613801581;36.896,04;833917058242;18.345,97;7173157733980;18.372,56;2592135856456
2007-02-15;20.497,37;2431206873385;20.604,58;3633414804779;19.583,80;5210040381054;37.003,38;834146955679;18.391,11;7184589416838;18.413,75;2601340436314
2007-02-16;20.596,11;2444592640143;20.697,88;3650724335598;19.672,70;5237171573054;37.179,47;837302113156;18.475,78;7215900776794;18.497,34;2612380387588
2007-02-17;20.596,11;2444592640143;20.697,88;3650724335598;19.672,70;5237171573054;37.179,47;837302113156;18.475,78;7215900776794;18.497,34;2612380387588
2007-02-18;20.596,11;2444592640143;20.697,88;3650724335598;19.672,70;5237171573054;37.179,47;837302113156;18.475,78;7215900776794;18.497,34;2612380387588
2007-02-19;20.616,37;2447546446915;20.718,66;3658033016127;19.686,79;5241875550000;37.208,80;838621510363;18.489,81;7225331570129;18.515,23;2612463125553
2007-02-20;20.626,53;2449989721851;20.734,67;3658268708569;19.691,87;5241017640849;37.226,45;838985704088;18.496,72;7231313784882;18.519,70;2611705102717
2007-02-21;20.563,36;2441017165007;20.690,27;3648203800463;19.636,83;5229485236826;37.126,02;836759730596;18.445,49;7211321421867;18.470,19;2605466586270
2007-02-22;20.448,00;2426887724957;20.610,54;3631177081915;19.533,72;5199259479041;36.937,21;833274086054;18.350,51;7172904989623;18.380,90;2594193030805
2007-02-23;20.408,83;2421917585406;20.562,67;3622315836309;19.492,27;5188562282122;36.856,99;831126431824;18.307,78;7156451609782;18.342,49;2588683171977
2007-02-24;20.408,83;2421917585406;20.562,67;3622315836309;19.492,27;5188562282122;36.856,99;831126431824;18.307,78;7156451609782;18.342,49;2588683171977
2007-02-25;20.408,83;2421917585406;20.562,67;3622315836309;19.492,27;5188562282122;36.856,99;831126431824;18.307,78;7156451609782;18.342,49;2588683171977
2007-02-26;20.478,17;2429092522577;20.621,63;3632207297959;19.564,71;5207507242761;36.984,96;834303246550;18.371,22;7180285787635;18.407,46;2596190150465
2007-02-27;20.382,78;2417720733131;20.565,60;3623462825278;19.482,32;5183258355655;36.838,54;831293641080;18.296,97;7150004953967;18.333,42;2585579380709
2007-02-28;20.298,68;2407599044204;20.503,50;3613281857036;19.399,00;5162719690783;36.690,20;827685098238;18.230,48;7127080457984;18.265,09;2575791215801
2007-03-01;20.115,28;2384676964131;20.319,79;3578609238018;19.206,03;5108102149715;36.276,76;815053105549;18.045,00;7047693280812;18.084,37;2544776173908
2007-03-02;20.042,52;2374980260801;20.234,86;3562253432596;19.153,93;5093924156322;36.169,20;812333505851;18.001,78;7032296334400;18.023,50;2536445947535
2007-03-03;20.042,52;2374980260801;20.234,86;3562253432596;19.153,93;5093924156322;36.169,20;812333505851;18.001,78;7032296334400;18.023,50;2536445947535
2007-03-04;20.042,52;2374980260801;20.234,86;3562253432596;19.153,93;5093924156322;36.169,20;812333505851;18.001,78;7032296334400;18.023,50;2536445947535
2007-03-05;20.042,18;2373951809349;20.224,02;3559562351193;19.139,39;5089507954241;36.135,61;811941593967;17.988,71;7027653588753;18.014,64;2534260829899
2007-03-06;19.989,40;2364007446768;20.166,58;3548202966718;19.081,44;5075089792038;36.026,69;809551271618;17.939,69;7007858318992;17.972,24;2527649896435
2007-03-07;19.864,30;2350244731586;20.034,59;3524629932285;18.950,14;5038480579900;35.787,85;803940795390;17.826,66;6963259037369;17.852,49;2510751776898
2007-03-08;20.008,44;2366307913429;20.175,81;3550920715742;19.090,20;5075624811501;36.060,91;809999923474;17.955,57;7013027916209;17.983,23;2528940424292
2007-03-09;20.050,45;2371676508242;20.208,76;3560991184453;19.128,34;5086252357883;36.141,80;811395276864;17.990,47;7026457591273;18.019,26;2533319795467
2007-03-10;20.050,45;2371676508242;20.208,76;3560991184453;19.128,34;5086252357883;36.141,80;811395276864;17.990,47;7026457591273;18.019,26;2533319795467
2007-03-11;20.050,45;2371676508242;20.208,76;3560991184453;19.128,34;5086252357883;36.141,80;811395276864;17.990,47;7026457591273;18.019,26;2533319795467
2007-03-12;20.165,82;2384788066630;20.320,11;3582542740696;19.245,06;5116709686889;36.352,37;815989850090;18.087,79;7063860463025;18.123,13;2548368280365
2007-03-13;20.227,29;2391637029786;20.387,95;3593684731573;19.301,58;5134007447025;36.467,76;818609708484;18.141,76;7085493346657;18.176,64;2555462412011
2007-03-14;20.265,30;2396582984624;20.419,62;3600709468303;19.332,24;5143522308281;36.522,56;819877955936;18.168,86;7096036058639;18.209,04;2560392469368
2007-03-15;20.146,91;2381429122333;20.296,93;3580101148530;19.209,79;5105482470161;36.268,59;811174826449;18.058,70;7044067555163;18.099,43;2543292568984
2007-03-16;20.112,35;2378097807317;20.294,21;3580922776555;19.179,09;5100310652049;36.216,69;810433056127;18.030,22;7033950423472;18.060,63;2541093168125
2007-03-17;20.112,35;2378097807317;20.294,21;3580922776555;19.179,09;5100310652049;36.216,69;810433056127;18.030,22;7033950423472;18.060,63;2541093168125
2007-03-18;20.112,35;2378097807317;20.294,21;3580922776555;19.179,09;5100310652049;36.216,69;810433056127;18.030,22;7033950423472;18.060,63;2541093168125
2007-03-19;20.205,49;2391614886125;20.357,83;3594251050083;19.273,63;5128958652645;36.398,79;815830638045;18.113,23;7067806693880;18.151,42;2555749354486
2007-03-20;20.234,29;2396612511321;20.371,46;3599533292548;19.307,74;5138114642769;36.455,73;817089221543;18.142,03;7079552427509;18.175,83;2557918207500
2007-03-21;20.318,79;2406968010102;20.447,85;3613066893032;19.395,13;5162311901024;36.628,58;821023069763;18.219,12;7110210221537;18.258,24;2568647579393
2007-03-22;20.353,29;2410692472713;20.494,69;3621087030365;19.430,91;5171626864504;36.708,17;822800012590;18.251,59;7128335193380;18.292,05;2572619745246
2007-03-23;20.431,40;2419810737587;20.589,06;3638967058001;19.509,48;5197091926148;36.861,96;826144769521;18.324,24;7160939588745;18.364,16;2585210765234
