
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-02-04;16.284,99;1129950707160;16.245,81;1530208131398;15.556,82;2286855104078;15.476,82;270463970548;15.736,93;2732552584045;15.724,49;941882587682
2006-02-05;16.284,99;1129950707160;16.245,81;1530208131398;15.556,82;2286855104078;15.476,82;270463970548;15.736,93;2732552584045;15.724,49;941882587682
2006-02-06;16.232,30;1126260988417;16.190,90;1525767035985;15.508,65;2279837966733;15.425,36;272464218046;15.691,77;2726106851331;15.672,25;938687259195
2006-02-07;16.170,18;1122002724102;16.133,57;1521178520943;15.437,59;2269669421090;15.365,79;271416053712;15.622,72;2714176965314;15.603,62;934551360941
2006-02-08;16.205,69;1124829044745;16.170,70;1524901430875;15.483,87;2276361074117;15.410,57;272205562539;15.670,27;2722097465934;15.655,69;937633712089
2006-02-09;16.183,70;1123526153714;16.143,08;1522368289955;15.463,94;2275303549172;15.385,65;271763811280;15.652,35;2718792162705;15.631,39;936216019677
2006-02-10;16.136,59;1120773391238;16.112,54;1520301625559;15.410,91;2268019795114;15.341,22;271018720350;15.601,00;2709808706990;15.585,29;933606296512
2006-02-11;16.136,59;1120773391238;16.112,54;1520301625559;15.410,91;2268019795114;15.341,22;271018720350;15.601,00;2709808706990;15.585,29;933606296512
2006-02-12;16.136,59;1120773391238;16.112,54;1520301625559;15.410,91;2268019795114;15.341,22;271018720350;15.601,00;2709808706990;15.585,29;933606296512
2006-02-13;16.186,22;1124219941252;16.153,30;1524865208158;15.455,57;2274651501266;15.394,20;271953920364;15.648,54;2718177435262;15.635,27;936798853111
2006-02-14;16.210,06;1126029537834;16.178,95;1527206757441;15.476,33;2277832518613;15.411,73;272276185376;15.673,47;2722598679132;15.654,92;939090020721
2006-02-15;16.143,92;1126234535393;16.106,00;1523080826762;15.413,74;2269821879785;15.349,06;267566192671;15.603,31;2707409996488;15.580,22;933967736648
2006-02-16;16.142,93;1126147885427;16.119,54;1527542419826;15.408,75;2271696126725;15.348,60;270004937565;15.603,56;2707534263356;15.587,74;935149232888
2006-02-17;16.132,14;1125866025052;16.107,70;1527493176513;15.401,74;2278006358764;15.340,08;269854858706;15.599,42;2707025989514;15.578,85;934745439986
2006-02-18;16.132,14;1125866025052;16.107,70;1527493176513;15.401,74;2278006358764;15.340,08;269854858706;15.599,42;2707025989514;15.578,85;934745439986
2006-02-19;16.132,14;1125866025052;16.107,70;1527493176513;15.401,74;2278006358764;15.340,08;269854858706;15.599,42;2707025989514;15.578,85;934745439986
2006-02-20;16.143,71;1128700750600;16.119,24;1529217073823;15.413,06;2279720944263;15.352,32;270477325795;15.606,64;2716465588843;15.588,64;935506488686
