
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2005-02-05;16.134,47;219343599159;13.938,85;267133650244;26.748,32;36641823471;15.238,83;269457259907;15.085,15;96882375303;15.967,23;82199288207
2005-02-06;16.134,47;219343599159;13.938,85;267133650244;26.748,32;36641823471;15.238,83;269457259907;15.085,15;96882375303;15.967,23;82199288207
2005-02-07;16.130,83;218769175860;13.945,03;266774778474;26.746,11;36569507892;15.242,98;269416214563;15.086,20;96818483978;15.971,82;82120285029
2005-02-08;16.130,15;218338641960;13.946,24;266349919654;26.753,54;36367087786;15.245,87;269375237047;15.081,31;96180840004;15.969,96;82112654093
2005-02-09;16.162,12;218557603477;13.952,14;266464940397;26.765,21;36381870995;15.258,34;269084268383;15.088,79;96089860808;15.989,21;82098278517
2005-02-10;16.178,70;218586335889;13.967,32;266235118412;26.765,03;36294018882;15.262,31;268231456361;15.098,69;96091459946;15.996,89;82095657232
2005-02-11;16.167,03;216941810406;13.959,18;265251902844;26.747,05;36207226138;15.260,54;268068761108;15.094,16;96067677764;15.988,91;81791360056
2005-02-12;16.167,03;216941810406;13.959,18;265251902844;26.747,05;36207226138;15.260,54;268068761108;15.094,16;96067677764;15.988,91;81791360056
2005-02-13;16.167,03;216941810406;13.959,18;265251902844;26.747,05;36207226138;15.260,54;268068761108;15.094,16;96067677764;15.988,91;81791360056
2005-02-14;16.160,32;216688758141;13.960,61;265286278337;26.741,52;36206680157;15.260,58;268174588973;15.090,71;96095499823;15.986,47;81828726012
2005-02-15;16.176,41;216559844589;13.969,13;265512496334;26.776,66;36253252290;15.274,90;268438520558;15.100,11;96153764816;15.999,95;81898207605
2005-02-16;16.188,84;216147326324;13.980,06;265599124631;26.787,24;35825808981;15.288,27;268348979498;15.113,77;95629465954;16.014,64;81781281712
2005-02-17;16.203,31;215734484674;14.002,46;265248411732;26.834,52;35888836547;15.307,62;268739108304;15.133,85;95865154253;16.037,18;81966886403
2005-02-18;16.182,56;215439642862;13.991,98;265215859627;26.803,05;35985624551;15.294,45;268507010801;15.121,35;95785374477;16.018,09;81694839397
2005-02-19;16.182,56;215439642862;13.991,98;265215859627;26.803,05;35985624551;15.294,45;268507010801;15.121,35;95785374477;16.018,09;81694839397
2005-02-20;16.182,56;215439642862;13.991,98;265215859627;26.803,05;35985624551;15.294,45;268507010801;15.121,35;95785374477;16.018,09;81694839397
2005-02-21;16.184,36;215236900165;13.988,81;265148243603;26.806,22;35964803413;15.286,16;266702963195;15.117,35;95706016847;16.014,90;81691227744
2005-02-22;16.178,87;214967304270;13.985,60;265089803442;26.801,40;35969387442;15.286,59;266685242739;15.112,45;95472146177;16.010,41;81670434186
2005-02-23;16.177,52;214353915835;13.981,57;265187845476;26.806,12;35990387284;15.284,32;266911707381;15.106,23;95430518218;16.007,04;81488238819
2005-02-24;16.205,56;214710058288;14.000,44;264412510228;26.848,19;36038125798;15.302,99;267442171304;15.121,71;95678056161;16.022,35;81541704234
2005-02-25;16.225,09;215037584275;14.011,42;264598615112;26.866,07;36075466187;15.319,89;267824607705;15.141,54;95803438017;16.042,35;81618321545
2005-02-26;16.225,09;215037584275;14.011,42;264598615112;26.866,07;36075466187;15.319,89;267824607705;15.141,54;95803438017;16.042,35;81618321545
2005-02-27;16.225,09;215037584275;14.011,42;264598615112;26.866,07;36075466187;15.319,89;267824607705;15.141,54;95803438017;16.042,35;81618321545
2005-02-28;16.215,73;215127698000;14.042,23;265298424211;26.917,68;36158837779;15.359,61;268731069426;15.162,35;95888771142;16.071,18;81769127150

Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2005-03-01;16.051,53;81669193107;16.219,70;215178620799;14.030,93;265077595092;26.874,42;36100459836;15.344,88;268455857934;15.152,56;95762238255
2005-03-02;16.081,04;81547106450;16.245,28;214881981366;14.052,40;265386468990;26.918,08;36172588652;15.367,51;268845437791;15.170,73;95875365814
2005-03-03;16.119,90;81743720562;16.279,77;214545977631;14.074,79;264623558301;26.958,57;36227000971;15.386,73;269034395420;15.199,71;96037625654
2005-03-04;16.102,48;81186358438;16.271,75;213578981445;14.062,89;264403728466;26.937,76;35924050961;15.378,13;268887469209;15.194,25;95895665661
2005-03-05;16.102,48;81186358438;16.271,75;213578981445;14.062,89;264403728466;26.937,76;35924050961;15.378,13;268887469209;15.194,25;95895665661
2005-03-06;16.102,48;81186358438;16.271,75;213578981445;14.062,89;264403728466;26.937,76;35924050961;15.378,13;268887469209;15.194,25;95895665661
2005-03-07;16.111,26;81230604372;16.274,57;213147265620;14.065,29;263997179644;26.950,08;35687359203;15.385,79;268307823396;15.200,71;95853561371
2005-03-08;16.104,44;80705809023;16.271,38;212473287887;14.063,68;263498602305;26.939,59;35673473647;15.381,71;268130059736;15.196,25;95285518620
2005-03-09;16.122,96;80566082059;16.286,56;211898071470;14.080,25;263886810492;26.973,49;35715867071;15.397,68;267574311244;15.208,29;95219255155
