
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-02-05;13.647,55;444521498933;13.756,58;844032800781;13.322,60;1011878146858;13.080,66;246203887368;13.184,43;1608808799944;13.260,75;695520984102
2006-02-06;13.633,31;443781249755;13.743,97;842351639880;13.306,88;1008595490242;13.067,30;245115838668;13.172,62;1603991178368;13.245,92;693870547110
2006-02-07;13.622,77;443512978862;13.725,61;839927628898;13.287,98;1007295813888;13.050,84;244806996154;13.156,03;1602338851343;13.229,02;692574145391
2006-02-08;13.620,04;442509010278;13.736,42;838650905561;13.295,83;1007937686529;13.058,30;244954521735;13.161,34;1602962096969;13.239,34;690506111369
2006-02-09;13.609,18;442295830444;13.725,14;836860050449;13.291,90;1001914845694;13.052,48;244889653028;13.157,89;1601837879397;13.230,12;689786026875
2006-02-10;13.597,56;441735323525;13.718,03;835936508363;13.273,15;999245153978;13.045,38;243626096438;13.146,97;1593996504526;13.218,64;689415685916
2006-02-11;13.597,56;441735323525;13.718,03;835936508363;13.273,15;999245153978;13.045,38;243626096438;13.146,97;1593996504526;13.218,64;689415685916
2006-02-12;13.597,56;441735323525;13.718,03;835936508363;13.273,15;999245153978;13.045,38;243626096438;13.146,97;1593996504526;13.218,64;689415685916
2006-02-13;13.620,47;442284310258;13.733,16;834515342728;13.292,17;1001017479323;13.067,49;244043612668;13.164,25;1596206977450;13.239,56;690689441213
2006-02-14;13.624,35;442709958734;13.745,07;835268411190;13.299,23;1001996886151;13.075,05;244364249476;13.172,12;1597764804911;13.244,91;690130286923
2006-02-15;13.603,39;439430330203;13.724,29;833607072738;13.270,62;999688472675;13.058,46;243405607775;13.147,57;1594202692407;13.218,90;688379946251
