
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2011-02-16;23.538,25;455444639113;24.882,30;462926032161;21.961,25;587208041738;25.346,13;1545303199;39.726,31;48710738254;22.888,62;507575131248
2011-02-17;23.552,50;455477680300;24.903,94;460882318203;21.965,56;587723620457;25.364,92;1488083150;39.773,35;48814716881;22.918,06;507900285577
2011-02-18;23.596,59;456512729400;24.957,65;461407343975;21.984,71;588011321641;25.378,32;1491145373;39.828,06;48882067759;22.955,70;508157576828
2011-02-19;23.596,59;456512729400;24.957,65;461407343975;21.984,71;588011321641;25.378,32;1491145373;39.828,06;48882067759;22.955,70;508157576828
2011-02-20;23.596,59;456512729400;24.957,65;461407343975;21.984,71;588011321641;25.378,32;1491145373;39.828,06;48882067759;22.955,70;508157576828
2011-02-21;23.610,39;455785347382;24.970,51;460954904199;22.004,58;588640627840;25.368,28;1493980602;39.846,91;48835703574;22.970,51;507685776039
2011-02-22;23.644,23;456168701229;25.022,68;461406015995;22.072,42;589621351264;25.393,56;1495469612;39.879,19;48915858674;23.009,91;508216455830
2011-02-23;23.639,42;454727200334;25.034,85;460457245185;22.076,55;589660669366;25.394,82;1498735727;39.892,94;48935138815;23.006,63;507459891283
2011-02-24;23.628,76;454333540454;25.025,79;462201393662;22.065,06;589484001399;25.386,86;1502824174;39.901,13;48887445946;23.001,39;507300926014
2011-02-25;23.641,53;455342252801;25.037,78;463306371918;22.084,10;590717901029;25.385,49;1503124597;39.923,59;48958176891;23.012,86;507544584892
2011-02-26;23.641,53;455342252801;25.037,78;463306371918;22.084,10;590717901029;25.385,49;1503124597;39.923,59;48958176891;23.012,86;507544584892
2011-02-27;23.641,53;455342252801;25.037,78;463306371918;22.084,10;590717901029;25.385,49;1503124597;39.923,59;48958176891;23.012,86;507544584892
2011-02-28;23.784,65;459815402968;25.189,40;469657345264;22.218,45;596760147103;25.516,31;1513863950;40.103,86;49017690048;23.141,46;513487252407
2011-03-01;23.799,12;459725259262;25.192,13;475131504863;22.224,82;602773013153;25.534,07;1468122940;40.113,98;48895872167;23.153,73;515013879076
2011-03-02;23.833,91;467969745852;25.267,93;485287773685;22.285,30;610340305033;25.543,27;2325389615;40.207,63;48977523596;23.207,25;519394201842
2011-03-03;23.896,74;473347772934;25.339,35;495400776506;22.359,77;616210411855;25.569,70;2317098440;40.260,72;49068264990;23.253,35;525544132431
2011-03-04;23.918,00;475672533967;25.324,36;499663779828;22.351,73;616815208115;25.584,89;2318557658;40.265,86;49054799504;23.252,12;527654779429
2011-03-05;23.918,00;475672533967;25.324,36;499663779828;22.351,73;616815208115;25.584,89;2318557658;40.265,86;49054799504;23.252,12;527654779429
2011-03-06;23.918,00;475672533967;25.324,36;499663779828;22.351,73;616815208115;25.584,89;2318557658;40.265,86;49054799504;23.252,12;527654779429
2011-03-07;23.919,52;477284367105;25.335,73;503890548848;22.361,06;619659003761;25.568,65;2317045227;40.285,32;49124265728;23.259,25;529116429751
2011-03-08;23.898,95;478663035398;25.291,98;506018302961;22.338,69;621611846074;25.563,06;2316489066;40.279,27;49196921916;23.263,11;529090150656
2011-03-09;23.922,99;480281510289;25.308,56;506041414708;22.347,00;623345954312;25.584,29;2305094154;40.305,71;49237219816;23.275,15;527648747270
2011-03-10;23.937,94;482975532308;25.335,30;507649291172;22.372,80;625204147617;25.586,81;2305647617;40.313,35;49395912234;23.291,75;528387380039
2011-03-11;23.914,92;484126778382;25.342,13;507551132480;22.372,13;625480076469;25.571,82;2304872024;40.323,58;49270526420;23.283,12;529221494514
2011-03-12;23.914,92;484126778382;25.342,13;507551132480;22.372,13;625480076469;25.571,82;2304872024;40.323,58;49270526420;23.283,12;529221494514
2011-03-13;23.914,92;484126778382;25.342,13;507551132480;22.372,13;625480076469;25.571,82;2304872024;40.323,58;49270526420;23.283,12;529221494514
2011-03-14;23.930,31;483344914118;25.359,49;507201886336;22.378,29;624797690489;25.573,94;2306192514;40.347,72;49314803577;23.297,32;530632381533
2011-03-15;23.980,32;485371733660;25.390,65;506788964818;22.396,17;624574713145;25.569,19;2305889535;40.417,11;49326665202;23.321,83;531773156273
2011-03-16;23.976,01;487400808672;25.394,06;511756337964;22.429,46;631068222233;25.598,20;2299643449;40.443,06;49374525462;23.328,95;534556952344
2011-03-17;23.974,49;501439131289;25.390,40;537395460006;22.423,76;649459533259;25.607,08;2342625160;40.443,78;49660421546;23.328,71;544710630733
2011-03-18;24.050,85;515078932303;25.494,80;563661949710;22.528,10;664972437577;25.652,26;2347412607;40.536,38;50199353632;23.414,80;559438704263
2011-03-19;24.050,85;515078932303;25.494,80;563661949710;22.528,10;664972437577;25.652,26;2347412607;40.536,38;50199353632;23.414,80;559438704263
2011-03-20;24.050,85;515078932303;25.494,80;563661949710;22.528,10;664972437577;25.652,26;2347412607;40.536,38;50199353632;23.414,80;559438704263
2011-03-21;24.064,81;531105028099;25.513,23;591151712423;22.548,55;691817016377;25.698,07;2370021799;40.557,73;50512944196;23.439,66;576562325272
2011-03-22;24.087,57;553195522605;25.528,53;619665770173;22.561,46;722183638657;25.712,75;2385229945;40.571,86;51163184837;23.453,47;597569793719
2011-03-23;24.087,49;571473523809;25.543,57;649628951787;22.574,41;740919415294;25.727,63;2405251257;40.591,86;52255140339;23.465,89;612179187990
2011-03-24;24.104,76;589331721004;25.566,18;678969286604;22.592,99;755135296755;25.761,35;2413605861;40.628,49;53159949667;23.484,36;623695776507
2011-03-25;24.130,81;600063151833;25.580,09;686892780303;22.602,11;763542050467;25.790,11;2456042668;40.651,24;53930481857;23.493,50;629858890948
2011-03-26;24.130,81;600063151833;25.580,09;686892780303;22.602,11;763542050467;25.790,11;2456042668;40.651,24;53930481857;23.493,50;629858890948
2011-03-27;24.130,81;600063151833;25.580,09;686892780303;22.602,11;763542050467;25.790,11;2456042668;40.651,24;53930481857;23.493,50;629858890948
2011-03-28;24.144,56;606476224185;25.599,65;689454435041;22.619,38;766526440117;25.810,00;2482596726;40.683,83;54509643155;23.514,41;631771400716
2011-03-29;24.151,25;610565108165;25.610,33;691679865135;22.625,32;769301304708;25.810,12;2483726510;40.696,33;55008852334;23.521,73;635082892594
2011-03-30;24.159,29;612216535096;25.625,32;690435007995;22.644,55;768838762566;25.779,56;2480872812;40.678,59;56253195526;23.519,09;633125967366
2011-03-31;24.214,83;613980202233;25.663,67;690217183295;22.699,53;766342980121;25.789,16;2483178164;40.784,09;56945331886;23.599,11;634115742727
2011-04-01;24.189,94;614839409254;25.608,26;686570275573;22.632,48;764330558989;25.769,90;2443364141;40.761,02;56671325547;23.555,57;631373510569
2011-04-02;24.189,94;614839409254;25.608,26;686570275573;22.632,48;764330558989;25.769,90;2443364141;40.761,02;56671325547;23.555,57;631373510569
2011-04-03;24.189,94;614839409254;25.608,26;686570275573;22.632,48;764330558989;25.769,90;2443364141;40.761,02;56671325547;23.555,57;631373510569
2011-04-04;24.213,86;614402849665;25.637,62;684754126109;22.658,12;759339357754;25.805,09;3229741525;40.778,35;56890205083;23.569,01;630121905204
2011-04-05;24.243,19;613989724499;25.677,59;681831249330;22.721,46;757350035067;25.826,16;3232378656;40.785,77;57232496430;23.606,46;629725052694
2011-04-06;24.250,75;610444707400;25.685,90;674568755454;22.723,97;749483190090;25.841,77;3208629330;40.791,71;57326065286;23.611,63;626962258215
2011-04-07;24.273,33;608691562423;25.712,55;666864755945;22.759,14;750658265281;25.852,69;3210299893;40.802,55;57597550570;23.643,33;625038738772
2011-04-08;24.277,12;604639614598;25.731,23;662130268016;22.755,97;742284652153;25.872,90;3212882226;40.828,69;57524060017;23.643,96;620214838035
2011-04-09;24.277,12;604639614598;25.731,23;662130268016;22.755,97;742284652153;25.872,90;3212882226;40.828,69;57524060017;23.643,96;620214838035
