
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-01-01;16.019,64;1913760170701;16.074,90;1642580373950;15.935,82;2325148540852;16.075,33;227137715178;15.745,58;2638255084725
2009-01-02;16.105,98;1924074877044;16.173,57;1652611127630;15.997,06;2333432543478;16.174,97;228545447463;15.821,22;2649983849004
2009-01-03;16.105,98;1924074877044;16.173,57;1652611127630;15.997,06;2333432543478;16.174,97;228545447463;15.821,22;2649983849004
2009-01-04;16.105,98;1924074877044;16.173,57;1652611127630;15.997,06;2333432543478;16.174,97;228545447463;15.821,22;2649983849004
2009-01-05;16.262,05;1940993732188;16.310,94;1665768730238;16.138,14;2352959794241;16.314,09;230523978314;15.977,57;2661545969044
2009-01-06;16.443,80;1961720430672;16.521,79;1686756785316;16.314,77;2375954084751;16.503,30;230807097993;16.152,57;2689137522751
2009-01-07;16.568,37;1976571272480;16.650,02;1698445051990;16.430,66;2392026850295;16.628,35;233768194172;16.282,54;2710677097788
2009-01-08;16.399,90;1956042888190;16.555,75;1688544117519;16.315,65;2375042805012;16.539,08;232505831885;16.172,67;2691942371681
2009-01-09;16.267,81;1940002752199;16.402,87;1672328587119;16.208,53;2358790185037;16.374,06;230066180803;16.024,75;2667207084174
2009-01-10;16.267,81;1940002752199;16.402,87;1672328587119;16.208,53;2358790185037;16.374,06;230066180803;16.024,75;2667207084174
2009-01-11;16.267,81;1940002752199;16.402,87;1672328587119;16.208,53;2358790185037;16.374,06;230066180803;16.024,75;2667207084174
2009-01-12;16.204,37;1932533283724;16.341,36;1666136285937;16.150,45;2350985874709;16.284,86;228830459249;15.963,45;2657313835626
2009-01-13;16.013,16;1909184719871;16.186,26;1650117468579;15.981,15;2327099004558;16.128,19;226626969721;15.807,97;2631411991397
2009-01-14;15.963,12;1905339037191;16.114,96;1643517999294;15.915,16;2320041037697;16.045,84;225218495529;15.726,86;2619803113158
