
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-02-10;18.008,28;4564436579093;20.284,23;3628630399297;19.592,56;5081723966239;36.962,15;741719398904;17.961,04;6868005595592
2009-02-11;17.880,64;4531979442368;20.150,27;3603792992012;19.456,15;5047692533322;36.731,97;737099878232;17.850,00;6826958526688
2009-02-12;17.860,02;4529181860829;20.123,51;3598747141722;19.439,51;5042814843293;36.655,15;735612736951;17.825,00;6819633835795
2009-02-13;17.801,59;4519600158243;20.042,45;3585975621689;19.384,91;5034474998394;36.491,61;732096095112;17.773,24;6803901629402
2009-02-14;17.801,59;4519600158243;20.042,45;3585975621689;19.384,91;5034474998394;36.491,61;732096095112;17.773,24;6803901629402
2009-02-15;17.801,59;4519600158243;20.042,45;3585975621689;19.384,91;5034474998394;36.491,61;732096095112;17.773,24;6803901629402
2009-02-16;17.897,89;4543433081916;20.116,91;3601266157478;19.487,18;5066316902657;36.626,64;732175895288;17.867,85;6850727455421
2009-02-17;17.911,38;4547928911650;20.136,30;3604751776588;19.490,46;5069480699166;36.652,00;734952171362;17.882,23;6856967057996
2009-02-18;17.786,44;4516440393400;20.000,63;3582402271553;19.347,48;5032498297928;36.449,22;730862015910;17.761,25;6813032309432
2009-02-19;17.769,99;4512544575012;19.964,97;3576108395215;19.329,84;5027456215994;36.374,73;729623191222;17.747,39;6807731619331
2009-02-20;17.826,98;4528198568592;20.020,74;3586425249273;19.375,51;5038763085455;36.516,99;732823917773;17.798,36;6828828186053
2009-02-21;17.826,98;4528198568592;20.020,74;3586425249273;19.375,51;5038763085455;36.516,99;732823917773;17.798,36;6828828186053
2009-02-22;17.826,98;4528198568592;20.020,74;3586425249273;19.375,51;5038763085455;36.516,99;732823917773;17.798,36;6828828186053
2009-02-23;17.762,61;4511964755049;19.946,56;3573224925451;19.298,55;5020355850646;36.471,09;732563669229;17.739,63;6805326653564
2009-02-24;17.688,52;4492698033052;19.875,01;3561557575414;19.218,16;4999053809305;36.347,08;730508111478;17.673,65;6779995419788
2009-02-25;17.674,34;4489126502965;19.811,33;3550208926780;19.200,00;4994436330068;36.136,06;726705191242;17.638,67;6767236739228
2009-02-26;17.687,67;4491451583919;19.825,36;3552363028835;19.200,74;4994005257858;36.184,21;727732577461;17.650,76;6772183272522
2009-02-27;17.741,04;4502615739131;19.927,56;3568689856520;19.258,20;5008558053127;36.251,64;728642837404;17.703,40;6793886717752
2009-02-28;17.741,04;4502615739131;19.927,56;3568689856520;19.258,20;5008558053127;36.251,64;728642837404;17.703,40;6793886717752
2009-03-01;17.741,04;4502615739131;19.927,56;3568689856520;19.258,20;5008558053127;36.251,64;728642837404;17.703,40;6793886717752
2009-03-02;17.651,39;4479388125056;19.823,06;3551231532957;19.150,99;4978587177832;36.091,54;723433707471;17.620,26;6761155224356
2009-03-03;17.509,53;4441484133765;19.667,23;3520849493430;18.974,68;4931830463945;35.791,41;717306475339;17.462,64;6700073270731
