
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-02-10;16.898,79;1845081914062;17.172,08;1818388473550;16.970,43;1660326379540;16.189,87;156670951187;17.412,83;2130653460143
2009-02-11;16.675,20;1820629776901;16.971,50;1796569934140;16.733,58;1637894460862;15.989,14;154650304701;17.195,36;2103728701602
2009-02-12;16.589,12;1812817131842;16.864,62;1785625121212;16.668,27;1631137200528;15.880,20;153607494600;17.092,94;2092610815211
2009-02-13;16.438,14;1800237751822;16.690,46;1769735701614;16.524,04;1620885033001;15.700,22;151865861438;16.935,98;2075577003097
2009-02-14;16.438,14;1800237751822;16.690,46;1769735701614;16.524,04;1620885033001;15.700,22;151865861438;16.935,98;2075577003097
2009-02-15;16.438,14;1800237751822;16.690,46;1769735701614;16.524,04;1620885033001;15.700,22;151865861438;16.935,98;2075577003097
2009-02-16;16.476,20;1804281588767;16.709,16;1778097797969;16.566,76;1627785905427;15.735,67;149383599040;16.996,52;2081734006171
2009-02-17;16.481,80;1806117112511;16.710,59;1778656489030;16.549,48;1626576873138;15.732,84;151395188485;16.987,69;2081173702171
2009-02-18;16.202,02;1775298936042;16.397,09;1747280531828;16.238,02;1596350006644;15.453,26;148704399286;16.662,53;2042496550276
2009-02-19;16.105,20;1764994265427;16.286,87;1735704150404;16.137,30;1586250001604;15.335,01;147679111869;16.574,92;2031471618828
2009-02-20;16.193,77;1775027678770;16.372,82;1744677588359;16.234,32;1595723519132;15.421,43;148636218378;16.672,93;2044631479474
2009-02-21;16.193,77;1775027678770;16.372,82;1744677588359;16.234,32;1595723519132;15.421,43;148636218378;16.672,93;2044631479474
2009-02-22;16.193,77;1775027678770;16.372,82;1744677588359;16.234,32;1595723519132;15.421,43;148636218378;16.672,93;2044631479474
2009-02-23;16.072,49;1761590769885;16.219,95;1728223181334;16.092,46;1582458780689;15.312,80;147754532591;16.519,22;2025236003648
2009-02-24;15.969,73;1750385431263;16.119,64;1719225649119;15.965,93;1569341524043;15.221,34;147022893737;16.421,26;2012575513989
2009-02-25;15.850,78;1737181527416;15.980,27;1703638406487;15.880,75;1560979784780;15.047,38;145478684924;16.299,35;1996977717903
2009-02-26;15.860,67;1737621842883;15.984,52;1703385125053;15.883,15;1560251702584;15.056,22;145589779190;16.302,85;1996888881652
2009-02-27;15.851,96;1734561574450;16.009,27;1703712788127;15.896,24;1559075098715;15.054,64;145502171797;16.315,67;1998357173795
2009-02-28;15.851,96;1734561574450;16.009,27;1703712788127;15.896,24;1559075098715;15.054,64;145502171797;16.315,67;1998357173795
2009-03-01;15.851,96;1734561574450;16.009,27;1703712788127;15.896,24;1559075098715;15.054,64;145502171797;16.315,67;1998357173795
2009-03-02;15.716,03;1717404524700;15.847,39;1687146605201;15.741,22;1541529215118;14.918,75;141889349548;16.163,20;1978178611470
2009-03-03;15.382,77;1679668914133;15.520,37;1650790037396;15.382,21;1505886625264;14.593,84;138538286753;15.823,31;1933911048433
2009-03-04;15.296,08;1670191448301;15.410,47;1638002835092;15.298,33;1497282383390;14.528,84;139037304018;15.729,21;1922651485478
2009-03-05;15.533,22;1694613773826;15.618,26;1659509291015;15.561,53;1522509654429;14.774,66;141310564416;15.967,11;1951036705458
2009-03-06;15.424,01;1681861296612;15.543,20;1650586883576;15.418,21;1506763811395;14.675,87;140393986416;15.847,92;1936458650648
2009-03-07;15.424,01;1681861296612;15.543,20;1650586883576;15.418,21;1506763811395;14.675,87;140393986416;15.847,92;1936458650648
2009-03-08;15.424,01;1681861296612;15.543,20;1650586883576;15.418,21;1506763811395;14.675,87;140393986416;15.847,92;1936458650648
2009-03-09;15.358,24;1672532376650;15.479,37;1642096539408;15.377,42;1501464586176;14.601,48;139537834748;15.798,20;1927689244773
2009-03-10;15.309,91;1666350364290;15.412,99;1633924931549;15.299,74;1492510441944;14.550,08;139050345831;15.730,77;1917986787339
2009-03-11;15.581,92;1694796295102;15.688,71;1660811279777;15.633,80;1524167463389;14.802,32;141349734712;16.025,56;1953626172770
2009-03-12;15.736,10;1710405438643;15.857,26;1676778244571;15.775,03;1538839144804;14.980,14;143059166446;16.179,71;1971897206593
2009-03-13;15.792,83;1719045877408;15.914,70;1684919595044;15.857,96;1547944567197;15.026,40;143499856003;16.247,91;1979811324699
2009-03-14;15.792,83;1719045877408;15.914,70;1684919595044;15.857,96;1547944567197;15.026,40;143499856003;16.247,91;1979811324699
2009-03-15;15.792,83;1719045877408;15.914,70;1684919595044;15.857,96;1547944567197;15.026,40;143499856003;16.247,91;1979811324699
2009-03-16;15.962,69;1735948881037;16.122,76;1709506153675;16.039,96;1566672110558;15.203,15;142639982896;16.438,42;2004342313547
2009-03-17;16.063,79;1744928124724;16.231,56;1719187666352;16.134,47;1573784405711;15.291,96;142940562708;16.538,79;2011221079194
2009-03-18;16.117,35;1747365946116;16.271,58;1723386537261;16.203,85;1577586785715;15.326,99;145028263369;16.596,10;2015483651187
2009-03-19;16.325,43;1768484212831;16.439,59;1737231893078;16.405,72;1596478903058;15.552,67;146738356431;16.789,72;2037653635258
2009-03-20;16.383,13;1773036130390;16.549,57;1744799097731;16.474,76;1598837215260;15.631,19;147615074857;16.873,71;2044442389831
2009-03-21;16.383,13;1773036130390;16.549,57;1744799097731;16.474,76;1598837215260;15.631,19;147615074857;16.873,71;2044442389831
2009-03-22;16.383,13;1773036130390;16.549,57;1744799097731;16.474,76;1598837215260;15.631,19;147615074857;16.873,71;2044442389831
2009-03-23;16.297,21;1761929966899;16.479,82;1734763646141;16.383,83;1588478893368;15.578,82;146626454071;16.801,80;2032056992852
2009-03-24;16.684,94;1802825369349;16.835,16;1771460469211;16.832,52;1630304742342;15.932,68;149965406131;17.200,17;2077435846090
2009-03-25;16.681,33;1801073536377;16.856,48;1772108366825;16.788,11;1624593771998;15.939,82;149629581247;17.189,52;2073647884070
2009-03-26;16.715,19;1803760583131;16.900,31;1776131219974;16.861,15;1629699381339;16.033,36;150529977610;17.249,94;2080198830630
2009-03-27;16.868,66;1820433931345;17.038,79;1789906608387;17.005,42;1642860243679;16.170,91;151602735176;17.402,46;2098583423093
2009-03-28;16.868,66;1820433931345;17.038,79;1789906608387;17.005,42;1642860243679;16.170,91;151602735176;17.402,46;2098583423093
2009-03-29;16.868,66;1820433931345;17.038,79;1789906608387;17.005,42;1642860243679;16.170,91;151602735176;17.402,46;2098583423093
2009-03-30;16.751,47;1808207291955;16.930,87;1776911156216;16.861,10;1629995723821;16.037,84;150362420696;17.278,22;2084239919851
2009-03-31;16.412,41;1769861524667;16.589,31;1735051827517;16.520,20;1594166451834;15.692,11;146805099063;16.910,55;2039262882019
2009-04-01;16.447,53;1766209902413;16.625,83;1738203303762;16.581,69;1596875629659;15.737,50;144467876188;16.975,95;2044058843932
2009-04-02;16.570,01;1779683105777;16.749,51;1752263034345;16.710,35;1609816986068;15.865,30;147303665363;17.108,92;2060400545925
2009-04-03;16.974,53;1822263318532;17.169,02;1797109995657;17.125,73;1648595059039;16.314,16;151479705334;17.546,89;2110512798316
2009-04-04;16.974,53;1822263318532;17.169,02;1797109995657;17.125,73;1648595059039;16.314,16;151479705334;17.546,89;2110512798316
2009-04-05;16.974,53;1822263318532;17.169,02;1797109995657;17.125,73;1648595059039;16.314,16;151479705334;17.546,89;2110512798316
2009-04-06;17.126,76;1837948225704;17.311,93;1813786509719;17.291,59;1663911308845;16.478,64;152868556256;17.702,29;2128204093182
2009-04-07;17.157,89;1841743295395;17.350,01;1818136710621;17.315,36;1665890435953;16.517,34;153230629363;17.725,87;2131336103629
2009-04-08;17.015,94;1826704622293;17.204,09;1802902577575;17.154,04;1650671717505;16.373,43;151717661134;17.572,26;2113394604608
2009-04-09;17.019,68;1828497726337;17.215,05;1803975630345;17.176,08;1655667848288;16.375,12;151733702624;17.585,51;2116654230233
2009-04-10;17.019,68;1828497726337;17.215,05;1803975630345;17.176,08;1655667848288;16.375,12;151733702624;17.585,51;2116654230233
2009-04-11;17.019,68;1828497726337;17.215,05;1803975630345;17.176,08;1655667848288;16.375,12;151733702624;17.585,51;2116654230233
2009-04-12;17.019,68;1828497726337;17.215,05;1803975630345;17.176,08;1655667848288;16.375,12;151733702624;17.585,51;2116654230233
2009-04-13;17.287,34;1857950341819;17.448,84;1829797667786;17.427,76;1680598054123;16.609,60;153784037916;17.855,46;2149974924272
2009-04-14;17.411,71;1872296468385;17.587,12;1847842451649;17.582,99;1696456000103;16.764,66;155266479906;17.985,19;2166473319732
2009-04-15;17.555,05;1889909736720;17.756,33;1868924255651;17.719,87;1710623632646;16.940,68;153409795756;18.143,35;2172230466989
2009-04-16;17.575,29;1895615351137;17.758,61;1870900776018;17.734,17;1715315643158;16.938,44;155573312784;18.153,66;2174738922674
2009-04-17;17.666,88;1909883080367;17.859,28;1885636864964;17.838,25;1727402092140;17.024,83;156698650066;18.254,45;2187849250360
2009-04-18;17.666,88;1909883080367;17.859,28;1885636864964;17.838,25;1727402092140;17.024,83;156698650066;18.254,45;2187849250360
2009-04-19;17.666,88;1909883080367;17.859,28;1885636864964;17.838,25;1727402092140;17.024,83;156698650066;18.254,45;2187849250360
2009-04-20;17.701,05;1920120160786;17.908,10;1894749993221;17.857,92;1738569606119;17.052,02;156955005979;18.286,35;2207604402676
2009-04-21;17.492,93;1900721786155;17.700,80;1876775280822;17.646,47;1721812991311;16.846,02;155285764940;18.072,70;2184324158617
2009-04-22;17.491,96;1903201586760;17.692,00;1880077937031;17.673,39;1726360470254;16.815,48;155081946050;18.073,11;2187522947456
2009-04-23;17.544,82;1911901385018;17.758,82;1891136346296;17.727,96;1733962893773;16.898,75;155978356100;18.130,50;2197634488301
2009-04-24;17.645,49;1924283412073;17.863,67;1906167719005;17.836,03;1746834628175;17.003,94;156991210474;18.243,05;2213874779463
2009-04-25;17.645,49;1924283412073;17.863,67;1906167719005;17.836,03;1746834628175;17.003,94;156991210474;18.243,05;2213874779463
2009-04-26;17.645,49;1924283412073;17.863,67;1906167719005;17.836,03;1746834628175;17.003,94;156991210474;18.243,05;2213874779463
2009-04-27;17.824,70;1945515179867;18.037,46;1929816693669;18.017,66;1766489407053;17.198,64;158796863801;18.424,41;2237229819359
2009-04-28;17.741,88;1938374808263;17.931,45;1924271220588;17.918,63;1758283695616;17.112,50;158138009832;18.332,17;2227356828738
2009-04-29;17.627,80;1926929626909;17.831,98;1915408009269;17.817,91;1750531842432;16.988,64;157084980188;18.216,81;2214648109788
2009-04-30;17.864,50;1951828374767;18.119,38;1945568961027;18.063,49;1771942100524;17.249,01;159096214099;18.478,14;2248492372157
2009-05-01;17.864,50;1951828374767;18.119,38;1945568961027;18.063,49;1771942100524;17.249,01;159096214099;18.478,14;2248492372157
2009-05-02;17.864,50;1951828374767;18.119,38;1945568961027;18.063,49;1771942100524;17.249,01;159096214099;18.478,14;2248492372157
2009-05-03;17.864,50;1951828374767;18.119,38;1945568961027;18.063,49;1771942100524;17.249,01;159096214099;18.478,14;2248492372157
2009-05-04;18.053,60;1973288063502;18.266,05;1962843125067;18.209,08;1787178533782;17.450,41;158491286055;18.656,71;2268917032443
2009-05-05;18.389,11;2009903645653;18.596,16;1998677770621;18.534,12;1818856554395;17.754,61;163775294869;18.997,39;2306846125787
2009-05-06;18.550,09;2030234421631;18.772,20;2020655747930;18.705,73;1838602858885;17.945,31;165601462258;19.152,37;2326956117757
2009-05-07;18.758,74;2056115491408;18.959,09;2047101790397;18.946,98;1866610955584;18.145,67;167647843357;19.360,89;2354396960463
2009-05-08;18.773,69;2061213652126;18.986,61;2055841587136;18.949,04;1872982198860;18.186,56;168038990159;19.375,26;2361217913905
2009-05-09;18.773,69;2061213652126;18.986,61;2055841587136;18.949,04;1872982198860;18.186,56;168038990159;19.375,26;2361217913905
2009-05-10;18.773,69;2061213652126;18.986,61;2055841587136;18.949,04;1872982198860;18.186,56;168038990159;19.375,26;2361217913905
