
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2008-01-01;16.633,44;505674774155;16.730,56;838026445155;16.410,53;1206530228156;16.044,90;276846639884;16.080,27;1896322101236;16.184,38;797518672358
2008-01-02;16.642,78;505958711090;16.738,93;838242857762;16.420,67;1207225591792;16.056,96;277054778292;16.089,42;1895955775712;16.194,66;797252078092
2008-01-03;16.641,51;505222840517;16.734,61;837306821705;16.415,62;1204870530835;16.050,60;275667939287;16.082,73;1894028430843;16.189,14;795277044289
2008-01-04;16.605,13;503718835945;16.678,96;833580989297;16.371,52;1201548909995;16.001,55;274687377053;16.054,78;1905808314051;16.140,50;792851391881
2008-01-05;16.605,13;503718835945;16.678,96;833580989297;16.371,52;1201548909995;16.001,55;274687377053;16.054,78;1905808314051;16.140,50;792851391881
2008-01-06;16.605,13;503718835945;16.678,96;833580989297;16.371,52;1201548909995;16.001,55;274687377053;16.054,78;1905808314051;16.140,50;792851391881
2008-01-07;16.565,28;502444250332;16.653,02;831912274310;16.326,44;1195903951939;15.973,57;274098527196;16.022,63;1895837773655;16.102,60;790402849575
2008-01-08;16.505,28;499576776779;16.622,15;829787017380;16.262,27;1187478853145;15.922,96;273004525290;15.979,86;1888247424191;16.044,71;786432346022
2008-01-09;16.475,26;498619193036;16.603,36;828581179015;16.252,88;1186686111430;15.892,72;272401529661;15.957,14;1884982443771;16.021,93;782102166879
2008-01-10;16.421,30;497127398574;16.548,44;824262868743;16.187,17;1181391808629;15.824,50;271234323416;15.906,59;1878548751933;15.955,89;778609090136
2008-01-11;16.417,28;496579305311;16.556,31;824713470193;16.197,65;1183194144842;15.839,31;271581569986;15.911,68;1879216689529;15.965,78;779255012908
2008-01-12;16.417,28;496579305311;16.556,31;824713470193;16.197,65;1183194144842;15.839,31;271581569986;15.911,68;1879216689529;15.965,78;779255012908
2008-01-13;16.417,28;496579305311;16.556,31;824713470193;16.197,65;1183194144842;15.839,31;271581569986;15.911,68;1879216689529;15.965,78;779255012908
