
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2003-01-31;10.328,99;59028821781;10.139,45;104734271970;10.313,98;7046897997;10.330,84;5045943484;10.362,04;90306424210;10.191,63;36169106633;10.315,08;58864017192
2003-02-01;10.328,99;59028821781;10.139,45;104734271970;10.313,98;7046897997;10.330,84;5045943484;10.362,04;90306424210;10.191,63;36169106633;10.315,08;58864017192
2003-02-02;10.328,99;59028821781;10.139,45;104734271970;10.313,98;7046897997;10.330,84;5045943484;10.362,04;90306424210;10.191,63;36169106633;10.315,08;58864017192
2003-02-03;10.347,92;59134266750;10.171,11;105057623456;10.332,06;7059250435;10.369,14;5064650151;10.384,97;91381144376;10.222,19;36276700502;10.342,62;59046666096
2003-02-04;10.372,46;59273285077;10.197,67;105329032319;10.355,19;7074653165;10.382,51;5071176923;10.402,09;91528752839;10.236,35;36326657012;10.367,05;59182300735
2003-02-05;10.444,96;59686095864;10.284,16;106224770649;10.416,60;7116519378;10.468,71;5113921360;10.486,80;92271318499;10.325,61;36659806043;10.440,09;59598203407
2003-02-06;10.437,62;59664740405;10.287,97;106289775366;10.418,36;7117526032;10.457,94;5102798878;10.469,63;92134421316;10.313,26;36615416996;10.442,36;59614907302
2003-02-07;10.453,22;59746038763;10.288,70;106296131513;10.430,92;7269311326;10.475,07;5111141318;10.482,27;92227678831;10.315,86;36644801440;10.451,15;59829492666
2003-02-08;10.453,22;59746038763;10.288,70;106296131513;10.430,92;7269311326;10.475,07;5111141318;10.482,27;92227678831;10.315,86;36644801440;10.451,15;59829492666
2003-02-09;10.453,22;59746038763;10.288,70;106296131513;10.430,92;7269311326;10.475,07;5111141318;10.482,27;92227678831;10.315,86;36644801440;10.451,15;59829492666
2003-02-10;10.401,42;59451160347;10.225,28;105637525620;10.382,24;7234352229;10.414,04;5081671133;10.427,91;91747997881;10.254,31;36425310014;10.395,02;59508174558
2003-02-11;10.387,91;59386796725;10.214,59;105489490240;10.379,02;7232595745;10.406,10;5076219212;10.417,76;91656721692;10.245,76;36722896235;10.379,27;59428166282
2003-02-12;10.391,35;59359737927;10.206,89;105409251537;10.380,99;7234161557;10.397,32;5110039452;10.421,46;91687704090;10.234,86;36683461966;10.382,91;59507576746
2003-02-13;10.417,36;59511437831;10.238,29;105814426384;10.411,87;7255547573;10.428,44;5125658588;10.454,29;91975400376;10.266,11;36818892051;10.412,62;59612064075
2003-02-14;10.392,41;59373208075;10.220,04;105689569388;10.400,93;7248846480;10.410,09;5116517425;10.431,23;91771518252;10.238,04;36717898535;10.386,85;59776479594
2003-02-15;10.392,41;59373208075;10.220,04;105689569388;10.400,93;7248846480;10.410,09;5116517425;10.431,23;91771518252;10.238,04;36717898535;10.386,85;59776479594
2003-02-16;10.392,41;59373208075;10.220,04;105689569388;10.400,93;7248846480;10.410,09;5116517425;10.431,23;91771518252;10.238,04;36717898535;10.386,85;59776479594
2003-02-17;10.363,33;60347338934;10.189,46;105605959594;10.382,53;7237814391;10.376,16;5099841177;10.392,79;91503240271;10.206,87;36613225395;10.357,95;59616574308
2003-02-18;10.346,80;60257036586;10.162,72;105327173090;10.359,63;7221830709;10.344,16;5084098052;10.378,68;91377729359;10.181,49;36520896498;10.335,25;59483493049
2003-02-19;10.363,59;60358291436;10.185,76;105750512702;10.365,44;7225819478;10.372,22;5097890968;10.394,81;91519026012;10.213,52;36663175640;10.354,90;59595765471
2003-02-20;10.430,42;60808221926;10.278,22;106709805064;10.402,94;7258607795;10.445,04;5133683795;10.488,80;92343761279;10.281,80;36908044910;10.440,60;60087097895
2003-02-21;10.426,47;60797946392;10.267,21;106594679122;10.400,04;7287921370;10.437,28;5129870665;10.477,92;92243740046;10.275,81;36913242910;10.424,66;60035573168
