
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2013-01-01;27.062,24;1703243827250;28.608,04;2773460994847;25.696,23;2732710182413;29.022,12;96086854139;45.343,39;131114343733;26.378,37;1602789508099
2013-01-02;27.076,12;1703923802193;28.621,23;2776520664411;25.698,19;2732116522946;29.018,85;96364511372;45.348,42;130924990100;26.391,69;1603606794018
2013-01-03;27.021,16;1706186600778;28.562,11;2782110980675;25.626,63;2731614717904;28.995,51;101489845147;45.233,82;128921142217;26.325,02;1604126108482
2013-01-04;27.021,74;1705235174926;28.538,26;2781332931218;25.612,14;2731875240793;28.991,22;101599008023;45.219,61;131283069865;26.324,95;1604941560356
2013-01-05;27.021,74;1705235174926;28.538,26;2781332931218;25.612,14;2731875240793;28.991,22;101599008023;45.219,61;131283069865;26.324,95;1604941560356
2013-01-06;27.021,74;1705235174926;28.538,26;2781332931218;25.612,14;2731875240793;28.991,22;101599008023;45.219,61;131283069865;26.324,95;1604941560356
2013-01-07;27.010,98;1702208877185;28.527,65;2778321682490;25.602,84;2728005191006;28.975,83;101432143064;45.198,27;131247833368;26.312,02;1605041989374
2013-01-08;26.982,86;1625045832536;28.493,44;2634697482072;25.580,63;2587904695661;28.976,31;96411050017;45.161,50;130241331697;26.268,19;1566304923614
2013-01-09;26.967,64;1576420373989;28.482,93;2497197061203;25.550,96;2449169331410;28.988,89;91426073517;45.131,83;128973916461;26.234,78;1514724738549
2013-01-10;26.979,03;1555688238723;28.495,05;2386723365522;25.554,74;2312318963346;28.999,68;86633379212;45.154,52;128727126664;26.255,38;1500891411048
2013-01-11;26.989,84;1549569308454;28.503,22;2365551520062;25.549,71;2276600440690;29.004,44;82247563118;45.155,70;128408629494;26.268,74;1489043294407
2013-01-12;26.989,84;1549569308454;28.503,22;2365551520062;25.549,71;2276600440690;29.004,44;82247563118;45.155,70;128408629494;26.268,74;1489043294407
2013-01-13;26.989,84;1549569308454;28.503,22;2365551520062;25.549,71;2276600440690;29.004,44;82247563118;45.155,70;128408629494;26.268,74;1489043294407
2013-01-14;27.008,66;1543092190684;28.517,49;2354063434600;25.580,30;2265833208502;29.007,07;80776727151;45.195,08;128321739238;26.306,75;1486839370687
2013-01-15;26.970,05;1538697074144;28.474,39;2339039914390;25.540,67;2259025732943;28.981,32;85806678266;45.142,57;127513033422;26.290,34;1485381891207
2013-01-16;26.984,92;1533492189265;28.481,25;2326281735880;25.561,46;2248517811954;28.995,17;85539382518;45.157,33;129234414484;26.298,25;1484390234758
2013-01-17;27.013,63;1529313391363;28.516,53;2315697983279;25.583,92;2236391292707;29.023,07;85072973916;45.200,88;129102140020;26.317,12;1483776530412
2013-01-18;27.021,29;1524675346152;28.525,78;2306826462415;25.587,89;2229106068678;29.030,29;83859539581;45.207,15;128704799453;26.323,47;1481964359283
2013-01-19;27.021,29;1524675346152;28.525,78;2306826462415;25.587,89;2229106068678;29.030,29;83859539581;45.207,15;128704799453;26.323,47;1481964359283
2013-01-20;27.021,29;1524675346152;28.525,78;2306826462415;25.587,89;2229106068678;29.030,29;83859539581;45.207,15;128704799453;26.323,47;1481964359283
2013-01-21;27.032,09;1519779800697;28.547,07;2300839199088;25.608,53;2222514571541;29.047,18;83031194372;45.242,26;128673604879;26.331,33;1479673121624
2013-01-22;27.035,36;1514693065598;28.551,65;2293138042282;25.612,66;2215420448504;29.062,78;82622270342;45.251,10;128510323763;26.331,21;1476756103127
2013-01-23;27.060,49;1509144956740;28.577,67;2285744761098;25.633,91;2211909839378;29.071,82;82402510167;45.287,35;128376177498;26.356,56;1474444066850
2013-01-24;27.063,38;1500617013226;28.579,38;2269921147031;25.636,26;2196443200420;29.071,71;81771550448;45.289,17;128181835826;26.349,67;1470395058610
2013-01-25;27.056,27;1491432455281;28.577,95;2261489887541;25.630,90;2186097488974;29.061,12;81056233320;45.288,25;128251576000;26.339,15;1465168636973
2013-01-26;27.056,27;1491432455281;28.577,95;2261489887541;25.630,90;2186097488974;29.061,12;81056233320;45.288,25;128251576000;26.339,15;1465168636973
2013-01-27;27.056,27;1491432455281;28.577,95;2261489887541;25.630,90;2186097488974;29.061,12;81056233320;45.288,25;128251576000;26.339,15;1465168636973
2013-01-28;27.075,34;1485474579846;28.594,78;2245181856481;25.645,71;2169457032619;29.077,32;79250094205;45.315,31;128044776020;26.362,13;1461853641059
2013-01-29;27.070,64;1479962854752;28.593,71;2233463793824;25.638,91;2157901834540;29.074,65;78522988077;45.311,14;127807689199;26.347,49;1457748132371
2013-01-30;27.075,66;1475418764061;28.599,25;2223802301300;25.645,50;2147464106226;29.076,88;78159404694;45.317,24;127724267397;26.358,57;1456274078495
2013-01-31;27.065,97;1470736471500;28.590,80;2210906999767;25.635,62;2136167814315;29.090,91;77911143933;45.299,75;127595331713;26.339,18;1453702185659
2013-02-01;27.052,66;1463772767322;28.581,53;2197636341974;25.624,68;2128374854007;29.094,08;79421779713;45.282,29;126384858331;26.318,24;1449286865495
2013-02-02;27.052,66;1463772767322;28.581,53;2197636341974;25.624,68;2128374854007;29.094,08;79421779713;45.282,29;126384858331;26.318,24;1449286865495
2013-02-03;27.052,66;1463772767322;28.581,53;2197636341974;25.624,68;2128374854007;29.094,08;79421779713;45.282,29;126384858331;26.318,24;1449286865495
2013-02-04;27.054,36;1459002039062;28.591,79;2190626771155;25.630,39;2121722362845;29.100,94;79566898616;45.280,64;125929364407;26.321,69;1447537321203
2013-02-05;27.048,97;1450998311003;28.577,96;2182147651228;25.626,20;2115939523475;29.106,88;79483532133;45.269,54;125752495475;26.310,63;1443175349931
2013-02-06;27.048,96;1445964284057;28.584,44;2178519171682;25.625,48;2112354277800;29.103,13;77990001004;45.270,12;126627466084;26.312,40;1441829636734
2013-02-07;27.056,38;1441304984606;28.588,69;2168149481945;25.632,38;2105351303772;29.118,53;77653018013;45.285,05;126830354205;26.317,17;1440908606115
2013-02-08;27.037,62;1438763582798;28.578,85;2163885111582;25.619,85;2099012837764;29.121,13;77193017015;45.254,49;126755617058;26.290,63;1436040554957
2013-02-09;27.037,62;1438763582798;28.578,85;2163885111582;25.619,85;2099012837764;29.121,13;77193017015;45.254,49;126755617058;26.290,63;1436040554957
2013-02-10;27.037,62;1438763582798;28.578,85;2163885111582;25.619,85;2099012837764;29.121,13;77193017015;45.254,49;126755617058;26.290,63;1436040554957
