
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2002-01-01;12.504,39;5321565780;11.034,93;3827773448;21.571,19;611384485;12.255,80;527759850;12.140,56;6646823142;12.156,37;1185968424;12.329,92;997224690
2002-01-02;12.499,03;5318905687;11.037,19;3825009192;21.574,36;611474402;12.258,44;527873338;12.148,58;6615835571;12.159,49;1186272985;12.332,49;997432501
2002-01-03;12.529,24;5331657124;11.024,84;3820329853;21.556,78;610975929;12.287,93;529143480;12.145,16;6613917392;12.176,68;1187949758;12.340,12;998050099
2002-01-04;12.529,30;5331680646;11.041,84;3826221948;21.571,73;611399818;12.305,72;529909514;12.161,16;6632119034;12.184,30;1188683496;12.355,97;999331957
2002-01-05;12.529,30;5331680646;11.041,84;3826221948;21.571,73;611399818;12.305,72;529909514;12.161,16;6632119034;12.184,30;1188683496;12.355,97;999331957
2002-01-06;12.529,30;5331680646;11.041,84;3826221948;21.571,73;611399818;12.305,72;529909514;12.161,16;6632119034;12.184,30;1188683496;12.355,97;999331957
2002-01-07;12.502,52;5320266390;11.012,98;3816222940;21.535,80;610381299;12.263,17;528077293;12.135,22;6619413764;12.147,86;1184964581;12.302,64;995018226
2002-01-08;12.509,15;5323006200;11.023,74;3818658812;21.551,06;610813821;12.257,96;527852889;12.141,11;6576014891;12.152,20;1185384690;12.309,01;995533492
2002-01-09;12.540,95;5336547334;11.056,25;3834289506;21.601,69;612249016;12.276,41;528647276;12.166,93;6590000101;12.180,00;1181790540;12.328,70;997126179
2002-01-10;12.517,21;5303246942;11.006,74;3806349277;21.532,30;610282244;12.257,36;525599030;12.125,30;6567450238;12.157,09;1179467577;12.303,97;989926304
2002-01-11;12.528,40;5307988349;11.026,91;3819391606;21.548,53;607341774;12.260,73;525743518;12.146,24;6578791049;12.168,00;1127181517;12.313,09;990660279
2002-01-12;12.528,40;5307988349;11.026,91;3819391606;21.548,53;607341774;12.260,73;525743518;12.146,24;6578791049;12.168,00;1127181517;12.313,09;990660279
2002-01-13;12.528,40;5307988349;11.026,91;3819391606;21.548,53;607341774;12.260,73;525743518;12.146,24;6578791049;12.168,00;1127181517;12.313,09;990660279
2002-01-14;12.538,55;5310518326;11.037,49;3838300376;21.567,58;607878603;12.267,54;526035640;12.157,33;6551581204;12.179,48;1128172455;12.313,49;990730888
2002-01-15;12.543,78;5921156311;11.038,09;4282916776;21.576,72;607523780;12.298,21;527350387;12.160,59;7152083525;12.193,01;1129426369;12.334,97;1022703919
2002-01-16;12.555,06;5926119206;11.062,45;4292673212;21.609,99;608460601;12.297,62;527421144;12.178,46;7162594297;12.201,49;1130211801;12.331,24;1022395024
2002-01-17;12.556,97;5927018412;11.059,93;4291765601;21.610,11;608463977;12.291,08;527170020;12.177,84;7189586720;12.195,16;1129673273;12.331,04;1022810244
2002-01-18;12.548,75;5922139401;11.036,35;4209576564;21.565,76;607215378;12.294,49;527315923;12.162,72;7180594835;12.195,01;1129658729;12.321,66;1022055553
2002-01-19;12.548,75;5922139401;11.036,35;4209576564;21.565,76;607215378;12.294,49;527315923;12.162,72;7180594835;12.195,01;1129658729;12.321,66;1022055553
2002-01-20;12.548,75;5922139401;11.036,35;4209576564;21.565,76;607215378;12.294,49;527315923;12.162,72;7180594835;12.195,01;1129658729;12.321,66;1022055553
2002-01-21;12.558,50;5926741858;11.041,58;4211570829;21.571,59;607379499;12.292,86;527502774;12.164,35;7180994984;12.192,01;1129513134;12.322,70;1022142232
2002-01-22;12.557,63;5965504434;11.040,64;4267925467;21.573,36;607429369;12.305,15;528030218;12.167,50;7181227550;12.192,19;1129749808;12.326,94;1023024088
2002-01-23;12.566,89;5969904392;11.056,41;4274022829;21.592,65;607972393;12.307,50;528130972;12.182,42;7200816145;12.211,15;1131680523;12.335,78;1024096989
2002-01-24;12.575,12;5973813564;11.062,21;4276205550;21.599,09;608153667;12.311,89;528663775;12.184,93;7202300149;12.219,92;1132858627;12.346,74;1025018109
2002-01-25;12.599,79;5989106537;11.085,07;4288167873;21.620,01;609293786;12.332,45;529546586;12.206,48;7215042409;12.238,75;1134601186;12.366,24;1026636548
2002-01-26;12.599,79;5989106537;11.085,07;4288167873;21.620,01;609293786;12.332,45;529546586;12.206,48;7215042409;12.238,75;1134601186;12.366,24;1026636548
2002-01-27;12.599,79;5989106537;11.085,07;4288167873;21.620,01;609293786;12.332,45;529546586;12.206,48;7215042409;12.238,75;1134601186;12.366,24;1026636548
2002-01-28;12.602,45;5997160388;11.080,19;4286279069;21.612,54;609264120;12.315,46;528998224;12.204,52;7204864134;12.227,51;1133559031;12.354,99;1025702582
2002-01-29;12.597,26;5995324144;11.067,32;4281300111;21.603,72;609156912;12.308,42;528792389;12.190,72;7196717484;12.219,38;1132792070;12.346,42;1025220161
2002-01-30;12.577,81;5986696106;11.053,22;4279200106;21.595,40;609812969;12.306,11;528693297;12.178,19;7223449832;12.205,88;1131609577;12.346,36;1025215534
2002-01-31;12.574,17;5986379570;11.051,47;4306306885;21.594,74;609948662;12.307,56;528755665;12.181,16;7225201297;12.210,07;1132138947;12.345,37;1025132819
2002-02-01;12.597,77;5997614819;11.069,18;4313210865;21.611,73;610428528;12.331,58;529787437;12.202,46;7237837444;12.236,67;1134506389;12.372,91;1027419942
2002-02-02;12.597,77;5997614819;11.069,18;4313210865;21.611,73;610428528;12.331,58;529787437;12.202,46;7237837444;12.236,67;1134506389;12.372,91;1027419942
2002-02-03;12.597,77;5997614819;11.069,18;4313210865;21.611,73;610428528;12.331,58;529787437;12.202,46;7237837444;12.236,67;1134506389;12.372,91;1027419942
2002-02-04;12.603,48;6000332140;11.067,95;4312730473;21.621,46;610703261;12.335,92;529973772;12.208,26;7241273027;12.239,24;1134744215;12.369,30;1027329807
2002-02-05;12.597,66;5997562148;11.068,25;4217351564;21.620,86;610686495;12.326,61;529574049;12.207,48;7240813012;12.238,72;1134696111;12.369,79;1027370704
2002-02-06;12.615,61;6006107908;11.088,38;4225023173;21.643,36;611321868;12.333,45;529867636;12.224,26;7250766417;12.249,24;1135671047;12.389,33;1028993250
2002-02-07;12.642,85;6019368369;11.106,66;4231988272;21.669,36;612056186;12.347,88;530487655;12.235,95;7220685202;12.267,35;1137350598;12.408,69;1030601824
2002-02-08;12.641,25;5985123919;11.110,11;4229783570;21.682,43;612425502;12.363,40;531154485;12.243,35;7181310457;12.275,03;1131784488;12.423,71;1031848733
2002-02-09;12.641,25;5985123919;11.110,11;4229783570;21.682,43;612425502;12.363,40;531154485;12.243,35;7181310457;12.275,03;1131784488;12.423,71;1031848733
2002-02-10;12.641,25;5985123919;11.110,11;4229783570;21.682,43;612425502;12.363,40;531154485;12.243,35;7181310457;12.275,03;1131784488;12.423,71;1031848733
2002-02-11;12.635,33;5982321088;11.103,70;4108486317;21.675,82;610373299;12.364,90;529084476;12.240,73;7074989416;12.274,01;1215137565;12.423,43;1031825921
2002-02-12;12.632,32;5980293105;11.090,55;4161193764;21.656,63;609832956;12.352,55;528555723;12.228,96;7067945281;12.262,04;1213952093;12.399,98;1024641933
