
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2019-02-09;41.664,85;3715650148896;43.817,04;4939896580383;44.519,24;5600426875003;43.063,02;1103700511413;40.533,95;407708171753;43.215,81;3808234551720
2019-02-10;41.664,85;3715650148896;43.817,04;4939896580383;44.519,24;5600426875003;43.063,02;1103700511413;40.533,95;407708171753;43.215,81;3808234551720
2019-02-11;41.526,13;3705076040216;43.666,31;4925379780809;44.366,08;5585494946442;42.915,16;1101261178388;40.397,27;406585366916;43.067,69;3797031575235
2019-02-12;41.724,30;3725201274434;43.870,18;4952094115956;44.566,77;5615787855559;43.123,34;1108016444150;40.589,89;408687033178;43.274,99;3817613917363
2019-02-13;41.941,08;3748412941138;44.114,81;4986716952640;44.818,09;5652075621229;43.362,24;1116479667122;40.806,59;411414237396;43.513,24;3843422131910
2019-02-14;42.079,51;3765684937650;44.257,42;5009437935063;44.964,92;5676622502966;43.515,37;1122312089716;40.935,55;413462243809;43.652,62;3863110284473
2019-02-15;42.279,98;3787548535353;44.474,41;5023369962273;45.186,70;5713719369323;43.732,03;1130425808268;41.147,40;416222742389;43.872,19;3871910079078
2019-02-16;42.279,98;3787548535353;44.474,41;5023369962273;45.186,70;5713719369323;43.732,03;1130425808268;41.147,40;416222742389;43.872,19;3871910079078
2019-02-17;42.279,98;3787548535353;44.474,41;5023369962273;45.186,70;5713719369323;43.732,03;1130425808268;41.147,40;416222742389;43.872,19;3871910079078
2019-02-18;42.226,66;3799023921572;44.424,22;5019842474764;45.140,54;5722274861914;43.698,09;1131725627614;41.093,49;415803992147;43.808,49;3867860338387
2019-02-19;42.177,63;3796330533127;44.369,84;5016079408192;45.085,94;5718555620705;43.657,20;1131252423975;41.039,61;415466401723;43.757,13;3863327135056
2019-02-20;42.139,99;3795085276328;44.332,63;5013273786877;45.048,78;5715683705228;43.615,12;1130453085261;41.000,80;415211333092;43.717,32;3858194809423
2019-02-21;42.139,00;3795747657431;44.328,91;5013625584243;45.046,79;5715970389347;43.622,68;1130797522166;40.995,70;415260941298;43.717,24;3858102855365
2019-02-22;42.110,60;3800673496130;44.291,32;5010122737271;45.015,35;5711731119246;43.579,40;1130631153602;40.965,36;414978210986;43.674,07;3854087386617
2019-02-23;42.110,60;3800673496130;44.291,32;5010122737271;45.015,35;5711731119246;43.579,40;1130631153602;40.965,36;414978210986;43.674,07;3854087386617
2019-02-24;42.110,60;3800673496130;44.291,32;5010122737271;45.015,35;5711731119246;43.579,40;1130631153602;40.965,36;414978210986;43.674,07;3854087386617
2019-02-25;42.220,38;3814534531723;44.417,04;5024159784856;45.135,47;5727378547020;43.700,78;1133300917830;41.068,83;416084578242;43.792,11;3863698143962
2019-02-26;42.321,04;3825085991564;44.517,15;5035448714589;45.248,59;5740055012010;43.796,79;1135015259027;41.158,09;416979957829;43.899,11;3873415200514
2019-02-27;42.262,34;3820383219657;44.460,85;5028971658892;45.181,60;5731620319117;43.740,56;1133397072306;41.104,53;416458017541;43.833,76;3867885201120
2019-02-28;42.117,74;3799755280086;44.306,21;5001079361337;45.027,63;5699661973537;43.590,56;1128020104336;40.957,76;414299131798;43.677,88;3845653606821
2019-03-01;41.984,09;3790151720162;44.166,92;4982868716573;44.885,34;5691985716440;43.443,33;1126267039951;40.837,18;412636029346;43.537,42;3828839297612
2019-03-02;41.984,09;3790151720162;44.166,92;4982868716573;44.885,34;5691985716440;43.443,33;1126267039951;40.837,18;412636029346;43.537,42;3828839297612
2019-03-03;41.984,09;3790151720162;44.166,92;4982868716573;44.885,34;5691985716440;43.443,33;1126267039951;40.837,18;412636029346;43.537,42;3828839297612
2019-03-04;42.269,65;3816828217520;44.474,21;5018210616312;45.192,89;5732181698926;43.745,79;1134722582120;41.118,75;415261270350;43.841,98;3855984949082
