
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2020-01-01;45.106,29;5450922451067;47.050,64;5942116740321;42.999,50;8740404826785;46.485,24;2012846281005;72.866,39;847425822015;43.046,89;4638031641612;47.769,80;9681650217
2020-01-02;45.105,36;5442978544262;47.039,25;5933201066048;43.006,82;8734015755429;46.480,60;2007178550652;72.865,25;843518521577;43.045,15;4623312953522;47.762,21;11651365150
2020-01-03;45.249,20;5461879631988;47.187,64;5953832899281;43.136,26;8754878062101;46.634,99;2015362325870;73.099,41;846306556666;43.193,55;4638040143127;47.901,05;11824483556
2020-01-04;45.249,20;5461879631988;47.187,64;5953832899281;43.136,26;8754878062101;46.634,99;2015362325870;73.099,41;846306556666;43.193,55;4638040143127;47.901,05;11824483556
2020-01-05;45.249,20;5461879631988;47.187,64;5953832899281;43.136,26;8754878062101;46.634,99;2015362325870;73.099,41;846306556666;43.193,55;4638040143127;47.901,05;11824483556
2020-01-06;45.315,69;5484256254567;47.260,68;5969004116007;43.212,72;8775617073217;46.693,64;2020056225675;73.206,97;847485068287;43.262,71;4648636839708;47.950,46;12166272625
2020-01-07;45.378,23;5497600362829;47.323,43;5976658716345;43.260,97;8790603126796;46.739,27;2022714058303;73.293,86;848131917019;43.318,59;4655568750691;47.992,09;12208235274
2020-01-08;45.391,20;5488903133250;47.326,23;5985453970510;43.279,75;8788503641686;46.737,02;2023684224733;73.301,94;848117923540;43.325,42;4657371038958;47.991,49;12120194845
2020-01-09;45.348,86;5519544699546;47.272,72;5998960028125;43.239,53;8802044576454;46.702,22;2025729789513;73.222,77;847455837924;43.288,71;4663253949538;47.936,07;12198452533
2020-01-10;45.308,37;5571834276338;47.233,94;6008603090793;43.192,63;8816747967063;46.635,05;2026490801744;73.141,80;847670296789;43.261,10;4661192866022;47.888,01;12253268465
2020-01-11;45.308,37;5571834276338;47.233,94;6008603090793;43.192,63;8816747967063;46.635,05;2026490801744;73.141,80;847670296789;43.261,10;4661192866022;47.888,01;12253268465
2020-01-12;45.308,37;5571834276338;47.233,94;6008603090793;43.192,63;8816747967063;46.635,05;2026490801744;73.141,80;847670296789;43.261,10;4661192866022;47.888,01;12253268465
2020-01-13;45.173,59;5554441671262;47.114,83;5990008909345;43.077,05;8786665645606;46.503,77;2024275699903;72.914,19;845358664350;43.130,07;4649422918051;47.757,26;12372455666
2020-01-14;45.226,36;5567396654755;47.163,30;5998870910845;43.123,72;8797025017313;46.562,07;2030601060259;73.008,96;847286703085;43.166,06;4660412826430;47.829,63;12614158852
2020-01-15;45.242,06;5324806350194;47.183,55;5675918428284;43.145,29;8390652748596;46.591,73;1910537267781;73.046,03;828802001135;43.185,50;4537247725887;47.832,46;15101290334
2020-01-16;45.308,56;5121114096658;47.264,46;5466903978851;43.194,79;7959446416745;46.667,31;1836911509020;73.162,38;820573219950;43.250,05;4475246900360;47.907,45;14819800437
2020-01-17;45.388,69;5052367655260;47.358,27;5413022879788;43.267,62;7662285600982;46.757,99;1807404894173;73.293,97;817744770451;43.325,55;4449122758350;47.982,48;14726636322
2020-01-18;45.388,69;5052367655260;47.358,27;5413022879788;43.267,62;7662285600982;46.757,99;1807404894173;73.293,97;817744770451;43.325,55;4449122758350;47.982,48;14726636322
2020-01-19;45.388,69;5052367655260;47.358,27;5413022879788;43.267,62;7662285600982;46.757,99;1807404894173;73.293,97;817744770451;43.325,55;4449122758350;47.982,48;14726636322
