
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2019-01-01;37.844,23;8537339803329;44.098,49;8453698281202;43.369,03;13994649832943;42.044,94;1721602065390;76.220,17;1456620050496;37.129,25;13301794772639
2019-01-02;37.881,96;8593144826628;44.136,10;8530470532384;43.418,00;14138594928054;42.096,70;1794883064309;76.309,04;1463485545475;37.176,20;13330382768312
2019-01-03;37.974,61;8646750932255;44.227,75;8597547815575;43.499,15;14285114228159;42.157,10;1850346202021;76.447,29;1469177533919;37.258,29;13371791596781
2019-01-04;37.992,07;8655187034049;44.250,61;8606444007544;43.526,10;14309228528525;42.175,44;1859291109774;76.500,23;1470815720870;37.267,98;13378735160604
2019-01-05;37.992,07;8655187034049;44.250,61;8606444007544;43.526,10;14309228528525;42.175,44;1859291109774;76.500,23;1470815720870;37.267,98;13378735160604
2019-01-06;37.992,07;8655187034049;44.250,61;8606444007544;43.526,10;14309228528525;42.175,44;1859291109774;76.500,23;1470815720870;37.267,98;13378735160604
2019-01-07;38.073,15;8675460528931;44.332,25;8626937369679;43.595,10;14337821752325;42.275,45;1867381458561;76.641,13;1473933529865;37.352,56;13410150065013
2019-01-08;38.033,71;8665079292371;44.282,49;8616389015755;43.556,72;14322410730040;42.263,58;1868174796377;76.579,99;1472861940770;37.319,27;13397966488811
2019-01-09;38.151,28;8691674863368;44.416,14;8640345166839;43.688,27;14362597826080;42.370,75;1874037625054;76.820,38;1477837420009;37.439,40;13440670322445
2019-01-10;38.276,05;8718664444903;44.560,83;8661585182605;43.839,97;14406775813960;42.528,92;1882203184322;77.104,49;1483663021313;37.576,00;13488178390525
2019-01-11;38.305,49;8723695356351;44.596,75;8670042188788;43.858,77;14406939641250;42.554,36;1885190959260;77.157,93;1485189171001;37.597,96;13500016807762
2019-01-12;38.305,49;8723695356351;44.596,75;8670042188788;43.858,77;14406939641250;42.554,36;1885190959260;77.157,93;1485189171001;37.597,96;13500016807762
2019-01-13;38.305,49;8723695356351;44.596,75;8670042188788;43.858,77;14406939641250;42.554,36;1885190959260;77.157,93;1485189171001;37.597,96;13500016807762
2019-01-14;38.327,71;8734912838214;44.623,69;8676394909519;43.885,16;14421391807296;42.576,00;1890882133498;77.193,77;1487718630624;37.620,86;13517710094096
2019-01-15;38.273,96;8734580998159;44.559,31;8660640101477;43.819,95;14431954682235;42.517,23;1894822110340;77.079,34;1494929438853;37.565,62;13510269969155
2019-01-16;38.363,04;8756108794885;44.656,41;8679531822196;43.916,61;14470696794122;42.614,15;1900009600521;77.244,65;1501394831731;37.654,34;13544234634169
2019-01-17;38.423,73;8769510198892;44.732,41;8695843674112;43.985,32;14492938442479;42.674,98;1902185683561;77.361,81;1503182113693;37.714,75;13563894353693
2019-01-18;38.408,08;8766936272892;44.715,94;8688440528063;43.973,21;14490328735812;42.671,98;1901891067560;77.334,60;1502877729782;37.701,68;13559910307636
2019-01-19;38.408,08;8766936272892;44.715,94;8688440528063;43.973,21;14490328735812;42.671,98;1901891067560;77.334,60;1502877729782;37.701,68;13559910307636
2019-01-20;38.408,08;8766936272892;44.715,94;8688440528063;43.973,21;14490328735812;42.671,98;1901891067560;77.334,60;1502877729782;37.701,68;13559910307636
2019-01-21;38.482,90;8785754835637;44.807,39;8706214927573;44.056,81;14515287272785;42.772,51;1905742547526;77.489,30;1505888936230;37.779,09;13586428030345
2019-01-22;38.489,75;8790486272481;44.819,00;8707374844877;44.062,88;14519137799135;42.778,79;1906512963117;77.511,45;1505671220848;37.781,42;13587738605287
2019-01-23;38.339,99;8759165426991;44.642,71;8673926504116;43.902,72;14464741589193;42.620,48;1899486246240;77.248,87;1500133799821;37.636,55;13535648418458
2019-01-24;38.391,98;8722308644287;44.700,87;8603626267010;43.959,50;14313888823906;42.661,10;1831525264699;77.324,46;1497692763535;37.686,61;13529909113151
2019-01-25;38.482,10;8713003842579;44.809,15;8565790593330;44.063,23;14237752568851;42.771,33;1792302287143;77.497,81;1497707551343;37.783,76;13548859963481
2019-01-26;38.482,10;8713003842579;44.809,15;8565790593330;44.063,23;14237752568851;42.771,33;1792302287143;77.497,81;1497707551343;37.783,76;13548859963481
2019-01-27;38.482,10;8713003842579;44.809,15;8565790593330;44.063,23;14237752568851;42.771,33;1792302287143;77.497,81;1497707551343;37.783,76;13548859963481
2019-01-28;38.588,08;8727173758717;44.928,82;8576951303230;44.190,83;14257562075812;42.883,11;1790600120742;77.702,15;1501425606902;37.888,51;13583126053938
2019-01-29;38.637,28;8734468678261;44.978,51;8579789544570;44.238,44;14264285756975;42.916,29;1787949841772;77.788,17;1501728120541;37.933,10;13598754182586
2019-01-30;38.624,27;8733508905339;44.966,00;8581306939234;44.208,59;14265224423455;42.889,78;1786590545833;77.752,15;1501390151897;37.922,75;13594643536285
2019-01-31;38.598,89;8706914604788;44.940,06;8568526226949;44.174,96;14241572813855;42.875,51;1787080645937;77.705,75;1496092713664;37.897,73;13550636962527
2019-02-01;38.644,62;8711677123612;44.980,45;8577753196414;44.252,24;14282376378180;42.940,63;1796877649765;77.779,71;1501099570559;37.952,14;13559859301910
2019-02-02;38.644,62;8711677123612;44.980,45;8577753196414;44.252,24;14282376378180;42.940,63;1796877649765;77.779,71;1501099570559;37.952,14;13559859301910
2019-02-03;38.644,62;8711677123612;44.980,45;8577753196414;44.252,24;14282376378180;42.940,63;1796877649765;77.779,71;1501099570559;37.952,14;13559859301910
2019-02-04;38.687,29;8720783026105;45.018,08;8584184452869;44.293,59;14294984410741;42.968,39;1798102538296;77.859,10;1502779414755;37.981,61;13570342524526
2019-02-05;38.724,54;8730714659140;45.066,26;8589409223461;44.337,41;14312114557374;43.007,58;1799666139275;77.913,10;1503518439751;38.017,95;13583002060992
2019-02-06;38.770,82;8741596765823;45.124,36;8597122266865;44.395,82;14333470349732;43.058,70;1802092498787;78.028,24;1505822578428;38.067,09;13601975597927
2019-02-07;38.739,95;8735610310762;45.094,57;8593145306323;44.372,23;14325256889334;43.035,51;1801528603233;77.981,44;1505127829562;38.038,99;13591980844605
2019-02-08;38.646,89;8713827823273;44.980,83;8575177258689;44.262,25;14288374660817;42.915,13;1797129166710;77.800,40;1501947071501;37.944,82;13556284949238
2019-02-09;38.646,89;8713827823273;44.980,83;8575177258689;44.262,25;14288374660817;42.915,13;1797129166710;77.800,40;1501947071501;37.944,82;13556284949238
2019-02-10;38.646,89;8713827823273;44.980,83;8575177258689;44.262,25;14288374660817;42.915,13;1797129166710;77.800,40;1501947071501;37.944,82;13556284949238
2019-02-11;38.592,07;8704709059555;44.908,60;8557324422712;44.191,94;14272288630142;42.841,94;1795230805608;77.677,11;1499947324192;37.890,71;13538867363448
2019-02-12;38.730,85;8734313724067;45.078,14;8590403650460;44.344,99;14323602358900;42.984,98;1803215159906;77.968,43;1506469187628;38.036,06;13594470114212
2019-02-13;38.797,49;8754650301116;45.160,90;8611709413314;44.423,18;14354798291957;43.060,84;1809818297300;78.095,64;1511023274059;38.100,63;13625234802719
2019-02-14;38.851,81;8773165016606;45.223,81;8630878068286;44.493,52;14382929860076;43.134,56;1815883142738;78.219,82;1515994343951;38.153,84;13655102996991
2019-02-15;38.977,56;8817049447591;45.372,86;8653894237618;44.633,94;14456774235332;43.263,71;1832141759980;78.479,75;1528218856287;38.282,17;13689907323750
2019-02-16;38.977,56;8817049447591;45.372,86;8653894237618;44.633,94;14456774235332;43.263,71;1832141759980;78.479,75;1528218856287;38.282,17;13689907323750
2019-02-17;38.977,56;8817049447591;45.372,86;8653894237618;44.633,94;14456774235332;43.263,71;1832141759980;78.479,75;1528218856287;38.282,17;13689907323750
2019-02-18;38.911,00;8802586912039;45.293,60;8636581669228;44.550,73;14436671833660;43.209,75;1829702405839;78.331,17;1525361529974;38.207,96;13663050642197
2019-02-19;38.901,47;8802215182362;45.280,57;8630688456190;44.545,23;14434221980933;43.201,26;1829981589255;78.319,13;1524250063162;38.198,84;13660072250819
2019-02-20;38.918,78;8806632636320;45.308,56;8636134809123;44.557,36;14442628604572;43.199,91;1829677405194;78.336,06;1523985790848;38.214,44;13664749709817
2019-02-21;38.923,25;8807713665682;45.315,74;8640109799454;44.566,24;14441929461279;43.227,50;1830522677673;78.342,81;1523975609354;38.221,88;13666510266799
2019-02-22;38.908,25;8808361522406;45.293,28;8638844173458;44.550,67;14446158195957;43.216,34;1830156382887;78.312,58;1523273625554;38.203,41;13659872354405
2019-02-23;38.908,25;8808361522406;45.293,28;8638844173458;44.550,67;14446158195957;43.216,34;1830156382887;78.312,58;1523273625554;38.203,41;13659872354405
2019-02-24;38.908,25;8808361522406;45.293,28;8638844173458;44.550,67;14446158195957;43.216,34;1830156382887;78.312,58;1523273625554;38.203,41;13659872354405
2019-02-25;38.965,36;8821386896471;45.364,69;8652679054380;44.610,88;14468694910434;43.285,74;1832948535499;78.419,87;1525451842227;38.258,71;13679767579633
