
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2008-01-01;26.261,32;1878252764730;25.906,70;3038634350613;25.210,86;2854475784665;23.808,76;318218236183;26.485,19;3607566772011;24.824,60;1240281585495
2008-01-02;26.293,37;1880514671284;25.938,57;3042147188951;25.241,78;2857615747712;23.836,68;318591393752;26.521,81;3612592080674;24.853,68;1241546561009
2008-01-03;26.256,40;1870525057629;25.895,91;3049502084861;25.211,47;2851176590280;23.801,20;311378541977;26.467,35;3627835240595;24.807,10;1235407377073
2008-01-04;26.054,86;1856413404747;25.680,96;3023458388496;25.004,55;2828194393949;23.600,04;313489348437;26.286,00;3600082210764;24.610,23;1225780911266
2008-01-05;26.054,86;1856413404747;25.680,96;3023458388496;25.004,55;2828194393949;23.600,04;313489348437;26.286,00;3600082210764;24.610,23;1225780911266
2008-01-06;26.054,86;1856413404747;25.680,96;3023458388496;25.004,55;2828194393949;23.600,04;313489348437;26.286,00;3600082210764;24.610,23;1225780911266
2008-01-07;25.866,30;1843112037968;25.504,90;3002029226686;24.822,55;2807793673139;23.407,76;310965429433;26.069,89;3570803994170;24.418,64;1216738864614
2008-01-08;25.630,08;1826630486491;25.273,62;2974154401834;24.578,19;2781058031026;23.182,17;307955411089;25.854,24;3542622442301;24.207,40;1205971718877
2008-01-09;25.502,38;1817238538136;25.155,24;2960289593176;24.501,11;2771653717259;23.100,04;306896021347;25.749,97;3527555902413;24.077,31;1199441483763
2008-01-10;25.384,00;1808009484083;25.021,49;2944737748380;24.359,77;2754691901462;22.954,68;304949549191;25.661,58;3515122111327;23.973,15;1194254266140
2008-01-11;25.400,72;1808471984903;25.051,57;2947637965488;24.403,67;2759871377047;22.994,84;305483854740;25.702,08;3520044300895;23.979,09;1194572743612
2008-01-12;25.400,72;1808471984903;25.051,57;2947637965488;24.403,67;2759871377047;22.994,84;305483854740;25.702,08;3520044300895;23.979,09;1194572743612
2008-01-13;25.400,72;1808471984903;25.051,57;2947637965488;24.403,67;2759871377047;22.994,84;305483854740;25.702,08;3520044300895;23.979,09;1194572743612
2008-01-14;25.332,04;1803691870211;24.968,40;2936834042497;24.336,39;2751026220673;22.916,23;304392400628;25.605,69;3506360556289;23.887,92;1188130036161
2008-01-15;25.190,06;1795642000544;24.805,52;2921906206968;24.194,82;2738008928349;22.773,60;297586445082;25.464,49;3488029001134;23.754,16;1187517578168
2008-01-16;24.865,93;1773910626308;24.503,26;2887481434846;23.888,72;2704971547863;22.449,49;293345544826;25.134,67;3448979661350;23.432,44;1172703370993
2008-01-17;24.375,93;1738156640909;24.052,39;2832025705695;23.394,24;2650073307255;21.986,83;290424482266;24.659,00;3382009411416;22.981,22;1150847358584
2008-01-18;24.205,28;1727162420661;23.846,87;2805299371671;23.225,77;2629035045115;21.799,57;288221463155;24.437,95;3350707138404;22.787,65;1142315041297
2008-01-19;24.205,28;1727162420661;23.846,87;2805299371671;23.225,77;2629035045115;21.799,57;288221463155;24.437,95;3350707138404;22.787,65;1142315041297
2008-01-20;24.205,28;1727162420661;23.846,87;2805299371671;23.225,77;2629035045115;21.799,57;288221463155;24.437,95;3350707138404;22.787,65;1142315041297
2008-01-21;24.039,92;1715324722426;23.666,27;2787051804449;23.038,83;2609043188543;21.627,63;285970538297;24.257,54;3325041027174;22.640,09;1134878292709
2008-01-22;23.478,69;1676080534204;23.127,17;2722821998632;22.463,87;2539049425840;21.059,67;278498121912;23.732,61;3248574528969;22.153,55;1106907388327
2008-01-23;23.155,17;1646747433298;22.808,14;2682395523282;22.156,29;2497195147371;20.787,26;274851349251;23.401,25;3197130475697;21.836,82;1091363238504
2008-01-24;23.117,48;1639634425501;22.780,52;2673878447580;22.171,19;2491983481910;20.752,47;274377106829;23.362,27;3185456361375;21.819,11;1090543636587
2008-01-25;23.472,21;1656239411723;23.132,18;2707326915353;22.570,94;2525281288706;21.172,90;278973249959;23.774,74;3231310118386;22.144,21;1107016301460
2008-01-26;23.472,21;1656239411723;23.132,18;2707326915353;22.570,94;2525281288706;21.172,90;278973249959;23.774,74;3231310118386;22.144,21;1107016301460
2008-01-27;23.472,21;1656239411723;23.132,18;2707326915353;22.570,94;2525281288706;21.172,90;278973249959;23.774,74;3231310118386;22.144,21;1107016301460
2008-01-28;23.846,67;1676273168603;23.487,03;2739321155252;22.925,26;2553780165365;21.491,53;283240018321;24.095,20;3267752683242;22.498,84;1114942068847
2008-01-29;23.678,99;1662906588583;23.337,90;2710435380782;22.728,59;2528230593570;21.292,05;280677595867;23.919,79;3240863216771;22.349,25;1107581817086
2008-01-30;23.835,60;1672163925012;23.480,61;2708583796806;22.941,55;2549716377122;21.478,39;279860155779;24.101,13;3263174343121;22.477,44;1113981443577
2008-01-31;23.866,69;1671875966272;23.519,10;2710857547847;22.969,07;2548834165847;21.502,45;280039629841;24.118,02;3265558812056;22.518,28;1115412333650
2008-02-01;23.865,74;1667940492380;23.527,15;2713581621409;22.960,92;2542969562616;21.498,66;276001714216;24.140,33;3278065021398;22.538,54;1114646774589
2008-02-02;23.865,74;1667940492380;23.527,15;2713581621409;22.960,92;2542969562616;21.498,66;276001714216;24.140,33;3278065021398;22.538,54;1114646774589
2008-02-03;23.865,74;1667940492380;23.527,15;2713581621409;22.960,92;2542969562616;21.498,66;276001714216;24.140,33;3278065021398;22.538,54;1114646774589
2008-02-04;24.157,46;1688945678865;23.795,97;2743162762035;23.252,46;2574759189394;21.791,83;279767659384;24.450,01;3316962652791;22.820,13;1125550094464
2008-02-05;24.367,78;1703720438879;24.009,94;2765761940488;23.464,70;2598123959614;22.024,08;285026318590;24.638,92;3343578597299;23.040,51;1136629954387
2008-02-06;24.162,14;1689087450500;23.815,82;2742847120264;23.241,93;2573388957502;21.815,54;282315961968;24.369,34;3307096172632;22.824,22;1125873625018
2008-02-07;23.950,99;1674088031306;23.608,92;2719733245873;22.993,09;2546057724240;21.587,21;278764095395;24.163,72;3278937222935;22.611,26;1115248390288
2008-02-08;23.804,99;1664028256263;23.457,28;2701723034547;22.855,59;2530831928738;21.426,82;276723531672;24.045,78;3262372471051;22.482,00;1108845659177
2008-02-09;23.804,99;1664028256263;23.457,28;2701723034547;22.855,59;2530831928738;21.426,82;276723531672;24.045,78;3262372471051;22.482,00;1108845659177
2008-02-10;23.804,99;1664028256263;23.457,28;2701723034547;22.855,59;2530831928738;21.426,82;276723531672;24.045,78;3262372471051;22.482,00;1108845659177
2008-02-11;23.824,60;1664862599771;23.458,57;2701068187142;22.878,94;2533209913627;21.439,75;276890194488;24.056,35;3263550648527;22.484,18;1107808997555
2008-02-12;23.746,51;1660188210228;23.380,17;2691685812581;22.815,49;2526351279630;21.355,26;275610989820;23.996,10;3254648139471;22.432,70;1105263584112
2008-02-13;24.017,45;1679341492417;23.644,10;2721656110527;23.099,70;2557252372012;21.647,47;279371023536;24.289,02;3294449632389;22.695,13;1118135403012
2008-02-14;24.181,15;1691094533140;23.809,23;2740315669647;23.256,32;2575757775227;21.804,07;281436092488;24.454,51;3319032139434;22.865,11;1127301037438
2008-02-15;24.350,22;1704027600265;23.965,22;2763603262124;23.399,55;2593191989621;21.961,16;276838078650;24.584,84;3338327882294;23.014,46;1131888901689
2008-02-16;24.350,22;1704027600265;23.965,22;2763603262124;23.399,55;2593191989621;21.961,16;276838078650;24.584,84;3338327882294;23.014,46;1131888901689
