fecha,fondo,administradora,valor cuota,valor patrimonio
2020-01-15,A,CUPRUM,53888.62,5523535820256.0
2020-01-15,A,HABITAT,54722.65,6493861245407.0
2020-01-15,A,MODELO,53254.79,1327853977510.0
2020-01-15,A,PLANVITAL,50026.78,547246543224.0
2020-01-15,A,PROVIDA,53827.4,4542695721641.0
2020-01-15,A,UNO,55298.6,14697970869.0
2020-01-16,A,CAPITAL,51285.18,4562486659064.0
2020-01-16,A,CUPRUM,53737.15,5627715893096.0
2020-01-16,A,HABITAT,54591.64,6718414738944.0
2020-01-16,A,MODELO,53113.55,1387401191255.0
2020-01-16,A,PLANVITAL,49893.38,552993175237.0
2020-01-16,A,PROVIDA,53669.94,4574596136750.0
2020-01-16,A,UNO,55130.64,15007762212.0
2020-01-17,A,CAPITAL,51515.32,4636147350633.0
2020-01-17,A,CUPRUM,53957.08,5685910514381.0
2020-01-17,A,HABITAT,54793.67,6905539096666.0
2020-01-17,A,MODELO,53328.3,1421589116365.0
2020-01-17,A,PLANVITAL,50101.0,559318004932.0
2020-01-17,A,PROVIDA,53886.9,4616533946220.0
2020-01-17,A,UNO,55361.59,15201539772.0
2020-01-18,A,CAPITAL,51515.32,4636147350633.0
2020-01-18,A,CUPRUM,53957.08,5685910514381.0
2020-01-18,A,HABITAT,54793.67,6905539096666.0
2020-01-18,A,MODELO,53328.3,1421589116365.0
2020-01-18,A,PLANVITAL,50101.0,559318004932.0
2020-01-18,A,PROVIDA,53886.9,4616533946220.0
2020-01-18,A,UNO,55361.59,15201539772.0
2020-01-19,A,CAPITAL,51515.32,4636147350633.0
2020-01-19,A,CUPRUM,53957.08,5685910514381.0
2020-01-19,A,HABITAT,54793.67,6905539096666.0
2020-01-19,A,MODELO,53328.3,1421589116365.0
2020-01-19,A,PLANVITAL,50101.0,559318004932.0
2020-01-19,A,PROVIDA,53886.9,4616533946220.0
2020-01-19,A,UNO,55361.59,15201539772.0
2020-01-20,A,CAPITAL,51582.21,4665254049725.0
2020-01-20,A,CUPRUM,54006.72,5709364886852.0
2020-01-20,A,HABITAT,54854.54,6945560518433.0
2020-01-20,A,MODELO,53391.41,1431818851098.0
2020-01-20,A,PLANVITAL,50153.55,561790315931.0
2020-01-20,A,PROVIDA,53951.6,4632590234378.0
2020-01-20,A,UNO,55401.26,15345509929.0
2020-01-21,A,CAPITAL,51469.33,4674035779693.0
2020-01-21,A,CUPRUM,53890.77,5708827861537.0
2020-01-21,A,HABITAT,54754.41,6949742406915.0
2020-01-21,A,MODELO,53269.56,1431905159342.0
2020-01-21,A,PLANVITAL,50047.31,561338940257.0
2020-01-21,A,PROVIDA,53845.37,4627680981677.0
2020-01-21,A,UNO,55277.49,15463538798.0
2020-01-22,A,CAPITAL,50930.92,4476278207311.0
2020-01-22,A,CUPRUM,53351.36,5501065724057.0
2020-01-22,A,HABITAT,54217.22,6657209354289.0
2020-01-22,A,MODELO,52746.15,1349650014631.0
2020-01-22,A,PLANVITAL,49537.63,544728269034.0
2020-01-22,A,PROVIDA,53309.68,4530007068183.0
2020-01-22,A,UNO,54702.93,14702145670.0
2020-01-23,A,CAPITAL,51103.82,4408476703479.0
2020-01-23,A,CUPRUM,53524.7,5428271637327.0
2020-01-23,A,HABITAT,54399.4,6476880180789.0
2020-01-23,A,MODELO,52882.34,1304866591201.0
2020-01-23,A,PLANVITAL,49720.39,540606912666.0
2020-01-23,A,PROVIDA,53496.93,4492773450574.0
2020-01-23,A,UNO,54845.02,14420064972.0
2020-01-24,A,CAPITAL,50807.19,4330871404278.0
2020-01-24,A,CUPRUM,53217.36,5353900555171.0
2020-01-24,A,HABITAT,54086.38,6298319749458.0
2020-01-24,A,MODELO,52576.88,1277268180982.0
2020-01-24,A,PLANVITAL,49430.87,533701482972.0
2020-01-24,A,PROVIDA,53176.62,4443837668187.0
2020-01-24,A,UNO,54534.73,14065542245.0
2020-01-25,A,CAPITAL,50807.19,4330871404278.0
2020-01-25,A,CUPRUM,53217.36,5353900555171.0
2020-01-25,A,HABITAT,54086.38,6298319749458.0
2020-01-25,A,MODELO,52576.88,1277268180982.0
2020-01-25,A,PLANVITAL,49430.87,533701482972.0
2020-01-25,A,PROVIDA,53176.62,4443837668187.0
2020-01-25,A,UNO,54534.73,14065542245.0
2020-01-26,A,CAPITAL,50807.19,4330871404278.0
2020-01-26,A,CUPRUM,53217.36,5353900555171.0
2020-01-26,A,HABITAT,54086.38,6298319749458.0
2020-01-26,A,MODELO,52576.88,1277268180982.0
2020-01-26,A,PLANVITAL,49430.87,533701482972.0
2020-01-26,A,PROVIDA,53176.62,4443837668187.0
2020-01-26,A,UNO,54534.73,14065542245.0
2020-01-27,A,CAPITAL,50960.85,4315819195695.0
2020-01-27,A,CUPRUM,53398.1,5344172119954.0
2020-01-27,A,HABITAT,54276.28,6276633404496.0
2020-01-27,A,MODELO,52739.65,1269852054061.0
2020-01-27,A,PLANVITAL,49584.0,533384945849.0
2020-01-27,A,PROVIDA,53350.19,4446701628602.0
2020-01-27,A,UNO,54619.56,13989085917.0
2020-01-28,A,CAPITAL,50723.55,4288702948989.0
2020-01-28,A,CUPRUM,53179.43,5315894004044.0
2020-01-28,A,HABITAT,54074.48,6243888172801.0
2020-01-28,A,MODELO,52480.86,1261709893619.0
2020-01-28,A,PLANVITAL,49373.35,530819928395.0
2020-01-28,A,PROVIDA,53119.48,4425644515803.0
2020-01-28,A,UNO,54527.37,14018308168.0
2020-01-29,A,CAPITAL,50938.87,4297464480277.0
2020-01-29,A,CUPRUM,53392.58,5331688656548.0
2020-01-29,A,HABITAT,54281.0,6256544632243.0
2020-01-29,A,MODELO,52698.77,1264428237664.0
2020-01-29,A,PLANVITAL,49562.99,532294136648.0
2020-01-29,A,PROVIDA,53343.11,4440301718931.0
2020-01-29,A,UNO,54662.84,14023763172.0
2020-01-30,A,CAPITAL,50862.48,4277824697255.0
2020-01-30,A,CUPRUM,53311.36,5318656630618.0
2020-01-30,A,HABITAT,54184.24,6231093507467.0
2020-01-30,A,MODELO,52641.21,1261312684156.0
2020-01-30,A,PLANVITAL,49480.23,531087765341.0
2020-01-30,A,PROVIDA,53252.78,4430129145568.0
2020-01-30,A,UNO,54534.41,13870917869.0
2020-01-31,A,CAPITAL,50977.64,4245763069506.0
2020-01-31,A,CUPRUM,53452.83,5280989138307.0
2020-01-31,A,HABITAT,54344.44,6200217546052.0
2020-01-31,A,MODELO,52758.89,1257485689465.0
2020-01-31,A,PLANVITAL,49595.3,529778518521.0
2020-01-31,A,PROVIDA,53342.46,4416531889719.0
2020-01-31,A,UNO,54747.92,13825153025.0
2020-02-01,A,CAPITAL,50977.64,4245763069506.0
2020-02-01,A,CUPRUM,53452.83,5280989138307.0
